car,move
J,-1
A,-1
B,-1
I,2
C,-1
G,-1
L,-1
H,1
E,1
B,1
E,-1
G,-1
E,1
L,-1
J,-2
D,-1
D,1
E,2
D,-1
D,1
H,-1
I,-1
D,-1
I,-2
I,3
I,-2
I,-1
H,1
E,-1
E,1
E,-1
E,1
E,-2
J,1
J,1
J,-1
J,2
E,2
L,1
E,-2
X,1
E,2
X,1
X,-2
H,-1
X,2
X,-1
L,1
L,-1
H,1
X,-1
H,-1
I,1
X,3
D,1
G,1
G,-1
L,1
H,-1
X,-2
X,-1
X,3
D,-1
D,1
X,-2
X,-1
X,3
X,-1
X,-1
X,2
D,-1
X,-1
X,1
D,1
G,1
B,-1
D,-1
B,1
A,1
H,1
L,-1
I,-1
I,1
D,1
L,1
D,-1
F,1
K,-1
A,-1
D,1
A,1
K,1
K,-1
A,-1
K,1
F,-1
H,-1
H,1
A,1
H,-1
H,1
A,-1
L,-1
B,-1
D,-1
I,-1
L,1
F,1
K,-2
B,1
K,2
K,-2
B,-1
K,2
I,1
I,-2
X,1
