move
6391
512
12102
3888
13237
2492
9392
674
9843
14920
1634
3155
2815
10242
1988
6187
4540
1843
9297
8433
2324
2685
3644
1415
8570
4183
18903
3079
3297
686
357
3559
9574
4979
4871
2025
5380
17473
5365
5075
659
5573
1275
10149
9402
2185
1150
7782
4163
588
1581
886
9069
5437
815
4522
1107
12611
730
5930
1846
5376
7949
226
1299
14738
4342
5234
1687
4185
3288
1382
3805
5996
12595
5551
908
5867
2418
3704
3280
6971
4674
1315
7936
2648
9722
4521
5416
1901
1322
2894
635
8965
4038
1098
2341
3200
9738
15846
3661
1192
7139
3923
2829
4208
2162
23512
13358
10046
2362
18631
1415
2739
1180
960
8081
3241
11601
5260
7507
5420
3920
1658
14528
4142
12341
16441
6563
4300
3643
11400
792
5619
13198
1303
16679
540
4224
6449
5112
4522
14288
12759
3209
2775
3407
5406
9149
5069
10060
4409
5425
7704
975
5633
4497
2314
5559
368
3325
2053
5787
5231
3721
554
5226
579
2995
5484
10309
949
4526
10132
10958
4838
10639
6500
802
2713
7396
865
5260
6574
1609
5985
1796
2408
3133
2589
4069
3506
2706
5893
6652
2631
2432
23260
1460
3574
4865
362
6335
2794
1302
3893
3938
1978
6316
3997
8163
5350
3516
842
1681
3945
845
16362
7176
856
10948
2290
6161
17860
2652
9951
806
6411
1598
3036
3536
211
2956
3667
1214
5660
990
4904
15487
5683
4749
9663
692
17806
4590
4459
11860
8819
1108
11271
8875
2781
1422
3730
5982
794
3365
4299
1077
17736
7069
2829
10029
2755
595
2950
1009
17153
1393
14455
2953
3847
9402
2206
4579
2061
2372
4612
3513
1439
6375
1589
9626
13020
1049
1121
3817
480
1904
1865
7845
2650
843
1385
3697
6720
8645
6688
8055
2933
4990
2191
3191
1265
6986
2097
10460
8844
3461
5698
1579
7078
4897
3355
5317
1559
12549
2283
6347
16891
9346
28495
7043
10004
477
5778
450
1210
1337
6489
5612
4260
808
5612
15632
9902
2897
6302
336
3832
6036
2881
2742
6688
23211
16550
11612
3689
584
5069
8461
3893
4500
2005
3781
317
3011
3007
11671
4366
909
3738
13239
7126
18810
512
2078
2778
288
4266
909
6409
1267
4393
1454
2256
584
774
1188
9730
3385
2006
2605
2869
272
8157
15068
9067
2464
7311
3102
1673
674
3662
9568
1377
8711
24621
236
4510
6414
10269
6261
3149
3270
468
4574
3960
12723
2201
639
910
29295
1455
23406
425
663
12698
3630
18461
4725
2708
16468
15597
2800
1347
10028
6118
8772
567
2474
3535
3113
1073
2288
9175
10883
1262
3901
5209
6162
4684
526
6717
2276
6992
23336
1154
4791
5184
2155
2996
1080
10893
731
2287
2008
4397
9438
2549
1422
11042
6669
3100
2565
1030
2925
3534
8311
4622
2645
3364
10011
995
3483
9615
12766
1871
16388
8059
3109
7091
2517
5910
699
10267
10894
1065
1058
4615
27028
19272
335
21404
4763
5993
830
2438
3217
8242
8624
5969
376
19558
3267
5648
904
3304
1994
4348
12762
9673
32552
4378
2448
14070
17157
23506
6710
8157
6194
1364
913
2739
2035
22650
4414
15771
11329
7045
1502
4236
4303
2075
524
1907
6498
4209
4586
1357
5805
5873
345
6059
