,car,move
491,E,-1
492,E,2
493,E,-2
494,E,1
495,E,-1
496,E,2
497,E,-1
498,E,1
499,H,-1
500,H,1
501,E,-2
502,J,3
503,E,2
504,L,2
505,F,1
506,E,-2
507,X,1
508,J,-1
509,F,-1
510,F,1
511,K,-1
512,K,-1
513,J,1
514,E,2
515,K,2
516,X,2
517,X,-2
518,K,-1
519,K,1
520,K,-2
521,K,2
522,K,-1
523,K,-1
524,X,1
525,K,1
526,K,-1
527,K,1
528,H,-1
529,X,-1
530,X,2
531,K,1
532,X,-1
533,F,-1
534,H,1
535,L,-1
536,L,1
537,F,1
538,K,-1
539,F,1
540,K,1
541,K,-2
542,F,-1
543,X,1
544,K,2
545,F,1
546,G,1
547,G,-1
548,F,-2
549,E,-1
550,X,-1
551,X,1
552,E,1
553,E,-1
554,X,-2
555,F,1
556,X,-1
557,F,-1
558,X,3
559,E,1
560,G,1
561,H,-2
562,H,2
563,G,1
564,H,-1
565,H,1
566,D,-1
567,E,-1
568,E,1
569,H,-1
570,I,1
571,D,2
572,G,-1
573,L,-1
574,L,1
575,F,1
576,B,-1
577,K,-1
578,K,1
579,K,-2
580,D,-1
581,D,1
582,B,1
583,D,-1
584,D,1
585,K,2
586,K,-2
587,A,1
588,K,1
589,D,-1
590,D,1
591,K,-1
592,K,2
593,K,-1
594,K,1
595,F,-1
596,D,-1
597,G,1
598,D,-1
599,D,1
600,C,1
601,D,1
602,D,-1
603,A,-1
604,I,-1
605,C,-1
606,H,1
607,H,-1
608,D,-1
609,A,1
610,I,1
611,D,2
612,D,-2
613,D,1
614,D,1
615,G,-1
616,G,1
617,C,1
618,C,-1
619,D,-2
620,I,-1
621,I,1
622,D,1
623,C,1
624,C,-1
625,C,1
626,A,-1
627,A,1
628,A,-1
629,B,-1
630,I,-1
631,H,1
632,I,-1
633,X,6
