car,move
A,-1
B,-1
C,-1
J,-1
I,2
G,-1
H,-1
H,1
H,1
L,-1
H,-1
I,-2
I,2
H,1
B,1
G,-1
H,-1
H,1
E,1
L,1
L,-2
J,-2
J,2
L,2
X,1
F,1
E,-1
X,-1
E,1
G,1
K,-1
K,1
B,-1
D,-1
F,-1
