car,move
E,-3
E,2
E,-1
E,1
B,-2
E,1
B,3
E,-4
E,2
E,1
B,-3
B,1
E,-2
A,1
D,-1
E,1
E,-2
E,1
C,1
C,2
X,2
D,1
D,-4
B,3
X,-2
C,-2
B,-3
C,2
X,2
C,-1
X,-2
E,1
B,2
X,2
D,3
B,-2
B,3
D,-2
E,-1
X,-1
X,1
B,-2
C,1
B,2
B,-2
B,1
E,-1
X,2
