car,move
P,-1
X,-1
X,1
P,1
X,-1
P,-1
P,1
X,1
X,-1
X,1
P,-1
X,-1
P,1
X,1
P,-1
E,1
F,-1
X,-1
F,-1
G,-1
G,-2
F,2
E,-1
P,1
P,-1
P,2
D,1
O,1
A,-1
B,-1
C,-1
A,-1
B,-1
C,1
B,2
B,-1
B,1
B,-1
B,-1
B,1
B,1
A,1
B,-1
B,1
A,1
A,-1
A,1
A,-2
B,-2
C,-1
B,1
C,1
C,-1
A,1
A,-1
B,-1
G,-1
X,2
