,car,move
491,I,2
492,I,-2
493,J,1
494,G,-1
495,L,-1
496,B,1
497,L,1
498,A,1
499,A,-1
500,G,1
501,C,1
502,J,-1
503,I,1
504,I,1
505,H,1
506,H,-1
507,C,-1
508,G,-1
509,I,-2
510,F,1
511,I,2
512,I,-1
513,K,-1
514,G,-1
515,K,1
516,X,1
517,I,1
518,I,-2
519,I,2
520,K,-2
521,K,1
522,H,1
523,K,1
524,K,-1
525,X,-1
526,K,1
527,X,1
528,F,1
529,F,-1
530,H,-1
531,I,-1
532,I,-1
533,I,2
534,H,1
535,F,-1
536,H,-2
537,I,-2
538,X,-1
539,H,1
540,I,1
541,L,-1
542,I,-1
543,L,1
544,L,-2
545,I,1
546,J,-2
547,I,1
548,I,-1
549,J,2
550,I,1
551,J,-2
552,J,1
553,J,-1
554,I,-1
555,J,2
556,J,-2
557,I,1
558,I,-2
559,J,1
560,J,2
561,J,-3
562,J,2
563,L,1
564,G,1
565,J,1
566,A,1
567,L,1
568,J,-1
569,G,1
570,J,1
571,G,-1
572,A,-1
573,F,1
574,B,-1
575,F,-1
576,G,1
577,B,1
578,C,1
579,A,1
580,J,-1
581,A,-1
582,J,1
583,B,-1
584,C,-1
585,B,1
586,J,-1
587,A,1
588,C,1
589,C,-1
590,J,1
591,A,-1
592,J,-1
593,I,1
594,I,1
595,B,-1
596,I,-2
597,I,1
598,I,-1
599,I,1
600,B,1
601,I,-1
602,I,1
603,G,-1
604,I,1
605,A,1
606,G,1
607,G,-1
608,I,-1
609,I,-1
610,J,1
611,A,-1
612,J,-1
613,L,-1
614,G,-1
615,I,2
616,L,-1
617,L,2
618,X,1
619,L,-1
620,I,-1
621,I,1
622,I,-1
623,I,1
624,I,-1
625,I,1
626,I,-1
627,L,1
628,X,-1
629,L,-1
630,I,1
631,I,-1
632,L,-1
633,L,1
634,G,1
635,A,1
636,I,1
637,I,-1
638,I,1
639,I,-1
640,L,1
641,G,1
642,C,1
643,I,-1
644,A,-1
645,J,1
646,J,-1
647,J,1
648,B,-1
649,J,-1
650,C,-1
651,I,2
652,I,-2
653,G,-1
654,L,-1
655,I,1
656,I,-1
657,J,1
658,L,1
659,J,-1
660,I,1
661,H,-1
662,I,-1
663,I,2
664,H,1
665,I,-1
666,I,-1
667,I,1
668,B,1
669,B,-1
670,B,1
671,I,-1
672,G,-1
673,G,1
674,L,-1
675,I,2
676,H,1
677,G,-1
678,L,1
679,F,2
680,F,-2
681,G,2
682,H,-1
683,G,-1
684,F,1
685,F,-1
686,G,1
687,I,-1
688,G,-2
689,G,2
690,G,-2
691,X,1
692,L,-1
693,L,1
694,H,-1
695,I,1
696,I,-1
697,X,-1
698,G,1
699,I,1
700,A,1
701,A,-1
702,H,2
703,L,-1
704,E,1
705,L,1
706,G,-1
707,G,2
708,D,-2
709,D,2
710,G,-1
711,A,1
712,L,-1
713,D,-1
714,L,1
715,L,-1
716,A,-1
717,B,-1
718,L,1
719,G,1
720,G,-1
721,B,1
722,L,-1
723,L,1
724,G,1
725,B,-1
726,B,1
727,C,1
728,D,1
729,A,1
730,C,-1
731,A,-1
732,G,-1
733,B,-1
734,B,1
735,B,-1
736,F,1
737,F,-1
738,L,-1
739,B,1
740,B,-1
741,L,1
742,E,-1
743,H,-2
744,H,2
745,F,2
746,F,-2
747,L,-1
748,H,-1
749,I,-2
750,L,1
751,L,-1
752,I,1
753,B,1
754,B,-1
755,I,-1
756,I,1
757,B,1
758,L,1
759,H,-1
760,H,1
761,I,-1
762,H,-1
763,I,1
764,I,1
765,G,-1
766,I,-1
767,G,1
768,I,-1
769,H,1
770,B,-1
771,I,2
772,F,1
773,K,-1
774,I,-1
775,B,1
776,K,1
777,F,-1
778,B,-1
779,F,1
780,K,-1
781,B,1
782,A,1
783,I,-1
