car,move
J,-1
I,2
A,-1
C,-1
G,-2
L,-1
X,1
L,1
H,-1
X,-1
H,2
F,2
K,-1
X,1
K,-1
K,2
F,-2
L,-1
X,-1
E,1
D,-1
L,1
F,1
K,-1
X,1
K,-1
K,2
F,-1
L,-1
D,1
L,1
X,-1
F,1
K,-1
E,-1
H,-1
K,1
X,1
K,-1
K,-1
I,-1
K,2
X,-1
F,-1
L,-1
X,1
L,1
H,-1
X,-1
I,-1
H,1
L,-1
X,1
L,1
F,1
X,-1
K,-1
I,1
X,1
I,-1
K,-1
J,1
K,2
X,-1
F,-1
L,-1
X,1
L,1
H,-1
J,-1
