,car,move
491,E,1
492,F,1
493,G,1
494,D,-1
495,D,1
496,G,-1
497,D,-1
498,G,1
499,K,-1
500,K,1
501,K,-1
502,G,-1
503,D,1
504,E,-1
505,K,1
506,K,-1
507,X,1
508,K,1
509,K,-1
510,F,1
511,F,-1
512,X,-1
513,E,1
514,X,1
515,E,-1
516,E,1
517,K,-1
518,K,2
519,E,-1
520,K,-1
521,H,-1
522,I,-2
523,K,-1
524,J,1
525,K,2
526,F,-1
527,L,-1
528,X,-1
529,J,-1
530,L,1
531,I,2
532,G,1
533,G,1
534,C,1
535,C,-1
536,C,1
537,H,1
538,A,1
539,E,1
540,A,-1
541,D,-1
542,D,1
543,E,-1
544,B,-1
545,B,1
546,E,1
547,B,-1
548,E,-1
549,B,1
550,C,-1
551,A,1
552,A,-1
553,H,-1
554,G,-1
555,L,-1
556,H,1
557,A,1
558,L,1
559,H,-2
560,H,2
561,E,1
562,G,1
563,D,-2
564,D,2
565,G,-1
566,G,1
567,E,-1
568,C,1
569,E,1
570,E,-1
571,H,-1
572,I,-1
573,C,-1
574,G,-1
575,A,-1
576,H,-1
577,B,-1
578,I,-1
579,H,1
580,L,-1
581,I,2
582,I,-2
583,B,1
584,G,-1
585,I,2
586,L,-1
587,J,-2
588,J,2
589,H,1
590,L,2
591,L,-2
592,J,-1
593,J,1
594,J,-2
595,E,3
596,E,-3
597,J,1
598,J,-1
599,E,3
600,E,-3
601,J,1
602,J,-1
603,J,2
604,H,-1
605,I,-2
606,J,-2
607,J,2
608,I,2
609,J,-2
610,J,1
611,I,-2
612,J,1
613,L,1
614,J,1
615,G,1
616,B,-1
617,L,1
618,L,-1
619,B,1
620,G,-1
621,L,1
622,J,-1
623,I,1
624,G,1
625,A,1
626,G,1
627,G,-1
628,H,-1
629,H,1
630,F,1
631,K,-1
632,K,1
633,A,-1
634,B,-1
635,I,1
636,I,-2
637,I,1
638,F,-1
639,G,1
640,G,-1
641,G,1
642,G,-1
643,I,1
644,B,1
645,B,-1
646,I,-1
647,G,1
648,C,1
649,I,-1
650,I,1
651,B,1
652,B,-1
653,I,-1
654,B,1
655,C,-1
656,A,1
657,C,1
658,A,-1
659,C,-1
660,B,-1
661,G,-1
662,F,1
663,B,1
664,K,-1
665,K,1
666,I,2
667,F,-1
668,H,1
669,F,2
670,A,1
671,F,-1
672,F,-1
673,G,1
674,H,-1
675,I,-2
676,A,-1
677,C,1
678,I,1
679,I,-1
680,I,2
681,H,1
682,B,-1
683,B,1
684,B,-1
685,C,-1
686,H,-1
687,I,-1
688,C,1
689,I,-1
690,I,2
691,I,-1
692,B,1
693,A,1
694,C,-1
695,C,1
696,C,-1
697,I,1
698,G,-1
699,A,-1
700,I,-1
701,G,-1
702,L,-1
703,X,1
704,L,1
705,L,-1
706,L,1
707,I,1
708,X,-1
709,L,-2
710,J,-1
711,H,1
712,E,1
713,D,-1
714,J,-1
715,J,2
716,J,-2
717,J,2
718,L,2
719,D,1
720,L,-2
721,L,1
722,L,-1
723,E,-1
724,L,2
725,H,-2
726,X,1
727,H,2
728,E,1
729,D,-1
730,X,-1
731,F,1
732,X,1
733,X,-1
734,X,1
735,F,-1
736,L,-1
737,L,1
738,F,1
739,K,-2
740,D,1
741,K,1
742,D,-1
743,X,-1
744,K,1
745,F,-1
746,X,1
747,X,-1
748,L,-1
749,L,1
750,L,-1
751,G,1
752,L,1
753,D,1
754,E,-1
755,L,-1
756,G,-1
757,G,1
758,H,-1
759,G,-1
760,X,1
761,L,1
