car,move
X,-1
X,1
X,-1
X,1
P,-1
E,1
X,-1
E,-1
X,1
E,1
X,-1
F,-2
F,2
F,-2
C,1
G,-3
G,2
G,1
C,-1
G,-3
G,3
G,-3
F,2
F,-2
F,2
F,-2
H,-1
G,1
G,2
G,-1
H,1
C,1
X,1
X,-1
C,-1
H,-1
G,-1
G,-1
G,1
H,1
H,-1
G,1
G,1
H,1
C,1
G,-3
G,1
C,-1
C,1
G,2
F,1
C,-1
H,-1
X,1
H,1
C,1
X,-1
F,-1
C,-1
C,1
C,-1
F,1
X,1
X,-1
H,-1
X,1
F,-1
G,-1
G,1
F,1
X,-1
X,1
F,-1
G,-1
H,1
G,1
F,2
F,-1
X,-1
C,1
X,1
C,-1
F,1
X,-1
F,-2
G,-2
G,2
X,1
G,-1
H,-1
H,1
H,-1
G,1
G,-1
G,1
F,1
X,-1
F,-1
X,1
X,-1
