car,move
P,-1
X,-1
X,1
P,1
P,-1
E,1
X,-1
X,1
X,-1
E,-1
E,1
F,-2
G,-2
G,2
C,1
X,1
X,-1
C,-1
F,2
F,-2
G,-2
G,1
G,1
F,1
X,1
F,-1
G,-1
X,-1
H,-1
X,1
X,-1
G,1
G,-1
G,1
G,-2
G,-1
H,1
C,1
C,-1
G,1
G,2
G,-1
G,-2
C,1
G,3
G,-3
C,-1
C,1
F,1
C,-1
F,1
E,-1
E,1
F,-2
F,1
F,1
E,-1
E,1
E,-1
P,1
P,-1
P,2
D,1
O,1
O,-1
D,-1
D,1
O,1
A,-2
B,-2
C,-1
G,-1
X,2
