car,move
J,1
G,-1
AA,-1
AH,1
AJ,-1
P,1
AF,-1
AG,-1
AG,1
AG,1
AD,1
AA,2
P,-1
N,-1
N,1
AD,-1
AF,1
AH,-1
H,1
AJ,1
AA,2
AH,1
P,2
H,-1
AA,-3
AF,-1
AE,1
AJ,-1
W,1
P,-1
AG,-1
AP,-1
N,-1
J,1
N,1
AO,1
AG,1
H,1
AG,-1
G,1
H,-1
J,-2
AB,-1
J,1
H,1
S,1
J,-1
Q,1
J,2
AB,1
AG,1
AH,-1
G,-1
AH,1
F,1
AB,-1
AL,-1
J,1
AH,1
AA,-2
AB,1
AO,-1
J,-1
AH,-1
AM,-1
J,1
H,-1
AA,1
AA,1
AA,-1
H,1
AH,-1
AA,2
F,-1
N,-1
P,-1
J,-1
AM,1
AP,1
H,-1
J,-2
AH,2
J,3
AP,-1
N,1
AO,1
L,1
AI,-3
H,1
AO,-1
Q,-1
F,1
AA,-2
AI,1
AG,-1
AG,1
AI,-1
E,1
S,-1
AE,1
W,2
AD,3
AB,-1
AP,1
K,1
AD,-2
AD,-1
AE,-3
C,1
AC,-1
AG,-2
P,1
V,1
AG,1
AE,2
V,-1
AA,1
C,-1
AC,1
AG,1
C,1
AJ,1
AE,-2
AE,3
AA,-5
Y,-1
AD,2
AA,5
AA,-1
AD,-1
AJ,-1
AA,1
AD,2
AD,-2
AC,-1
AD,-1
P,-1
K,-1
AA,-1
AA,1
AC,1
AC,-1
AD,1
AJ,1
AC,1
AD,-1
AD,1
Y,1
AA,-1
AE,-2
AA,1
P,1
AJ,-1
AC,-1
H,-1
AP,-1
AA,1
AC,1
AC,-2
C,-1
AF,1
AC,1
AO,1
C,1
AK,-1
P,-1
AA,-1
O,1
K,1
H,1
AR,-1
H,-2
AA,-1
AA,2
AR,1
H,2
AD,-1
AK,1
H,-2
AO,-1
K,-1
C,-1
P,1
C,1
AK,-1
AP,1
AA,-2
AC,-1
V,1
AK,1
AJ,1
H,1
AJ,-1
D,1
AC,1
AK,-1
C,-1
A,-1
AG,-1
P,-1
E,-1
P,1
AA,-1
AA,1
B,-1
AK,1
AG,1
AG,-1
F,-1
B,1
AC,1
AB,1
AD,1
B,-1
H,1
AA,1
AG,1
F,1
AJ,1
F,-1
K,1
V,-1
AA,2
AA,-2
AG,-1
K,-1
AB,-1
Y,-1
AC,-2
L,-1
J,-2
P,-1
J,-2
AC,1
L,1
L,-1
S,1
J,4
AD,-1
J,-1
AG,1
U,1
AA,2
B,1
AA,-3
AJ,-1
AE,-1
AA,1
U,3
A,1
N,3
J,-2
AG,-1
G,1
N,-2
P,2
A,-4
B,-2
Y,1
AC,-1
S,-1
AQ,-2
B,2
AJ,1
A,-1
AJ,-1
A,1
AQ,2
A,1
G,1
B,-1
AK,-1
AK,1
J,-1
AK,-1
J,2
J,-2
AA,-2
B,-2
AJ,1
AC,1
A,-1
J,1
B,2
AC,-1
A,2
AE,1
S,1
AJ,-1
Y,-1
B,1
AD,1
H,-1
Q,1
AC,-1
A,1
AD,-1
H,1
B,-1
A,-1
N,1
AA,1
AE,-1
AC,1
Q,-1
B,-1
AA,1
B,1
U,-1
Q,1
P,-1
AC,1
P,-1
A,-1
A,-1
J,-1
AC,-1
N,-1
AJ,1
G,-1
Y,1
D,-1
G,1
J,4
P,1
AC,1
B,1
AA,-2
B,-1
AG,1
D,1
B,1
Q,-1
A,-2
S,-1
B,-1
Y,-1
B,-1
G,-2
AA,5
U,-1
J,-3
AA,-2
J,3
B,2
N,-2
A,1
B,-4
J,-2
B,4
B,-2
J,1
AA,2
J,-2
N,3
S,1
N,-2
J,1
S,-1
F,1
B,2
AG,-1
J,1
U,-1
B,-2
U,-1
AR,-1
B,-1
J,-2
H,-1
D,-1
J,-1
J,1
L,1
U,3
L,-1
B,2
U,-3
F,1
B,-2
E,1
U,4
E,1
C,1
N,4
R,-2
S,1
B,3
B,-1
P,-1
B,-1
R,2
S,-1
M,1
AQ,-1
B,2
E,-1
A,-2
B,-1
E,1
R,-1
R,-1
A,2
N,-2
AC,-1
P,2
B,-2
M,-2
A,-1
M,2
X,-1
AE,1
C,-1
R,1
AD,1
S,1
AR,1
AD,-1
H,1
P,-2
R,-1
B,3
X,1
J,2
Q,-1
R,1
B,-3
H,-1
AR,-1
Q,1
B,2
AQ,1
B,-2
H,1
J,1
M,-1
C,1
R,1
J,-3
N,-2
N,3
A,1
B,3
L,1
AG,1
R,-1
B,-1
R,-2
AA,-3
R,2
M,1
P,2
P,-2
X,-1
R,-2
S,-1
N,-1
L,-1
AA,2
AC,-1
P,2
J,1
AR,1
J,-2
X,1
Y,1
J,1
R,1
P,-1
Y,-1
J,2
J,-3
M,-2
T,-1
A,-1
T,-1
AA,1
T,2
AD,1
M,2
P,1
X,-1
B,-1
B,1
F,1
E,1
AD,-1
Y,1
J,2
AR,-1
A,-1
AR,1
A,2
M,-2
N,-1
AR,-1
T,-1
AE,-1
P,-1
AA,-1
Y,-1
AB,1
E,-1
U,-3
AR,1
J,1
G,2
S,1
B,-2
AR,-1
G,-2
C,-1
J,-1
Q,-1
J,-2
I,-1
F,-1
T,-1
A,-1
H,1
X,1
U,1
F,2
U,-1
P,-1
J,1
P,1
N,-2
S,1
X,1
AR,1
P,1
A,1
U,3
Y,1
B,1
O,-1
X,7
