car,move
AL,-1
P,1
AA,-1
AL,1
AF,-1
AL,-1
AL,1
AG,-1
L,1
L,-1
AA,-1
AH,1
L,1
K,1
H,1
AL,-1
AJ,-1
AD,1
AP,-1
AD,-1
G,-1
AA,1
AH,-1
AP,1
AJ,1
AG,1
AG,-1
AA,-4
AA,3
AA,-2
AH,1
AA,1
G,1
AH,-1
AL,1
AH,1
AA,2
K,-1
AA,1
H,-1
AH,-1
AA,-1
AA,-1
AH,1
K,1
AA,2
AH,-1
AQ,-1
AL,-1
AQ,1
AG,2
AH,2
AI,-2
AA,-3
AA,5
P,-1
G,-1
K,-1
H,1
AN,-1
AB,-1
AC,-2
L,-1
AI,1
AA,-2
AN,1
F,1
AN,-1
AM,1
H,-1
F,-1
AE,-1
AA,3
AI,-2
AI,2
AM,-1
H,1
AA,-4
H,-1
J,3
J,-1
AN,1
AE,3
W,1
AC,1
S,1
G,1
AC,-1
Q,1
AC,2
J,-1
AC,-2
Q,-1
AE,-1
AI,-1
AG,-1
G,-1
AQ,-2
S,-1
W,-1
AE,-2
AI,-1
AE,2
W,3
AQ,2
AQ,-1
J,-1
AC,-1
AC,1
L,1
S,1
P,1
V,1
AQ,1
AE,-2
AF,1
O,1
AC,2
H,1
AC,-2
AK,-1
H,-1
AG,1
AA,1
V,-1
V,1
Q,2
AA,1
P,-1
P,1
P,1
AK,1
D,1
AC,1
Q,-2
AA,-2
AK,-1
A,-1
AA,1
G,1
B,-1
AC,-1
P,-1
S,-1
A,-1
B,-1
AA,3
AE,1
AA,-4
K,1
J,-1
AG,-1
A,-3
AC,1
I,-1
H,2
AC,-2
AQ,-1
V,-1
B,-3
P,1
AB,1
AD,1
Y,-1
AA,-3
J,1
B,2
AD,-1
AR,-1
P,-2
H,-1
S,1
P,1
B,1
Q,1
B,-2
AD,1
H,1
AQ,-1
J,-1
AD,-1
U,1
U,-1
A,1
AA,2
A,-1
AA,-1
AA,2
AJ,-1
AJ,1
J,1
H,-2
I,1
AR,1
I,-1
G,-1
K,-1
L,-1
J,1
B,1
H,1
F,1
J,-1
E,1
AQ,1
H,-1
C,1
B,1
AE,-1
A,-1
J,1
D,-1
J,2
Q,-1
F,1
Y,1
E,1
I,1
AA,-1
R,-1
AK,1
AA,1
I,-1
J,-3
S,-1
J,2
B,-1
AJ,-1
S,1
C,-1
AQ,-1
AQ,2
Q,1
H,1
P,-1
A,1
I,1
R,-1
M,-1
AQ,-1
A,-1
T,-2
J,-1
C,2
AQ,-1
T,2
H,-1
J,-2
AJ,1
X,-1
AJ,-1
C,-2
T,-1
J,4
T,1
J,-4
J,2
J,1
C,1
B,2
A,-1
P,1
J,-3
A,2
A,-1
J,1
J,-1
J,4
AE,1
J,-4
M,1
Y,-1
H,1
L,1
H,-1
AQ,1
B,-2
B,1
AB,-1
R,1
AQ,1
AA,-1
U,1
K,1
B,1
J,1
R,-1
M,-1
X,1
U,-1
AB,1
AA,1
B,1
X,-1
AB,-1
A,-1
AC,2
X,1
C,1
B,-3
AA,1
AA,-1
A,2
AK,-1
A,-1
AA,-2
AP,-1
U,1
B,1
AC,-2
C,-2
N,1
B,-1
AD,1
C,2
T,-1
AA,2
J,-1
N,-1
AK,1
A,-1
C,-1
B,1
C,1
U,-1
AK,-1
AA,-2
AR,-1
T,-1
AC,1
AQ,-2
U,1
S,1
A,1
X,-1
P,1
B,-1
X,2
X,-1
AR,1
AC,-1
J,1
AD,-1
B,2
AK,1
N,1
AB,1
AQ,2
AG,1
AD,1
AG,-1
T,1
H,1
J,-1
A,-1
AQ,-1
AA,-1
S,-1
B,-2
I,-1
A,2
I,1
I,-1
AB,-1
T,-1
AQ,1
AC,1
AQ,-2
I,1
P,-2
B,2
S,1
B,-2
J,1
B,2
X,-1
AP,1
X,2
AK,-1
P,2
R,-1
AA,-1
AP,-1
K,-1
AQ,1
B,-2
AP,1
C,-1
AD,-1
AR,-1
C,1
AQ,-1
R,1
C,-1
AP,-1
J,-1
K,1
P,-1
AO,1
Q,-1
AA,2
AO,1
H,-1
AO,-2
B,2
S,-1
AA,2
N,-1
S,-1
AA,1
AO,1
AO,2
H,1
H,-1
X,1
B,-1
P,1
AP,1
A,-1
AA,-2
X,-3
AQ,1
AC,1
AC,-1
N,1
H,1
X,2
A,1
AD,1
H,-1
H,1
A,-1
N,-1
AA,-3
N,1
S,2
B,-1
AC,1
P,-1
C,-1
AA,1
AJ,1
AA,-1
AA,3
AA,1
AA,-3
AA,4
AJ,-1
S,-1
AD,-1
X,-1
AC,-1
AD,1
X,1
Q,1
X,-2
T,1
P,1
AA,-4
P,-1
T,-1
T,1
AA,3
C,2
AC,1
B,2
P,1
AC,-1
AA,-5
T,1
C,-1
C,-1
A,1
AC,-1
T,-1
C,1
AP,-1
B,-1
B,1
H,-1
AP,1
A,-2
K,-1
Q,-1
T,1
T,-2
K,1
AJ,1
AJ,-1
Q,1
C,1
X,2
AC,2
P,-2
C,-1
A,2
A,-1
C,1
AC,-2
AC,1
C,-2
X,-1
AQ,-1
B,-1
X,-1
S,1
AP,-1
AQ,1
N,-1
AP,1
A,1
Q,-2
Q,1
C,1
AQ,-1
R,-1
X,1
AJ,1
X,-1
S,-2
X,2
P,2
N,1
S,1
P,-1
P,-1
X,-1
N,-1
C,-1
AJ,-1
Q,1
AC,-1
AC,1
X,-1
AJ,1
Q,-1
P,1
J,1
X,2
I,-1
S,-1
Q,-1
P,-1
R,1
A,-1
J,-1
S,1
K,-1
H,2
Q,2
P,2
C,2
H,-1
AJ,-1
N,1
H,1
AP,-1
AO,-1
AO,-1
AO,-1
AQ,2
C,-1
N,-1
AQ,-2
AQ,1
X,-2
X,2
A,-1
C,1
AC,1
U,-1
X,-2
U,1
H,-2
N,1
AC,-2
AO,3
A,2
AB,1
R,-1
AO,-2
AD,-1
T,2
T,-1
R,1
AQ,-1
T,1
H,2
AO,2
X,1
F,2
P,-1
A,-2
F,-2
N,-1
T,-1
AQ,1
AO,-2
AO,2
T,-1
K,1
K,-1
P,1
F,1
X,2
AD,1
E,1
X,-3
AO,-3
A,2
F,1
O,-1
X,9
