car,move
J,1
AA,-1
AG,1
AH,1
AL,-1
AD,1
AL,1
P,1
J,-1
AF,-1
H,1
AE,1
AJ,-1
AE,1
H,-1
AA,1
G,-1
N,-1
N,1
AA,-2
AE,-2
AG,-2
AJ,1
J,2
AA,1
AG,1
J,1
AB,-1
F,1
J,-3
AJ,-1
AA,1
AN,-1
H,1
AD,-1
AA,-1
J,3
AC,-2
AO,-1
J,-1
AG,1
J,1
AC,-1
AC,1
AD,1
J,-2
J,2
AJ,1
H,-1
AA,1
P,-1
J,-2
AA,1
J,-1
AA,-1
AJ,-1
J,2
AC,2
J,-2
P,1
AC,-2
AA,-2
AA,2
AC,1
AJ,1
AC,-1
AA,1
AC,1
P,1
AA,-1
E,1
AA,3
AK,-1
AA,-1
AA,-1
P,-2
J,1
AD,-1
AH,-1
AO,1
J,1
AA,-2
AN,1
AE,1
AJ,-1
AP,-1
AO,1
J,-2
H,1
AH,1
AK,1
AE,-1
AK,-1
H,-1
AN,-1
AD,1
AK,1
AA,1
P,2
AK,-1
AL,-1
AL,1
AA,-1
AG,-1
AO,-2
P,-2
AO,1
J,2
AP,1
J,-2
AJ,1
AD,-1
P,1
AH,-1
AH,1
AM,1
AC,-2
P,1
P,-1
AM,-1
L,1
AC,2
E,-1
P,-1
F,-1
AQ,-1
AQ,1
L,-1
J,1
AE,-1
J,2
AO,-1
AJ,-1
L,1
AO,1
N,-1
M,1
AA,1
L,-1
AE,1
AO,-1
AP,-1
AG,1
M,-1
AD,1
N,1
AO,1
AK,1
AL,-1
G,1
AL,1
AP,1
AL,-1
AM,1
AG,-1
P,1
H,1
AC,1
AL,2
AA,-1
AC,-3
AD,-1
AQ,-2
J,-2
AD,1
P,1
AJ,1
AK,-1
AK,1
H,-1
J,-1
AB,1
P,-2
J,3
AL,-2
AD,-1
AM,-1
AQ,2
J,-2
J,-1
AE,-1
AO,-1
AJ,-1
AL,1
AB,-1
J,2
AC,2
AC,-1
AC,-1
AE,1
G,-1
AJ,1
AJ,-1
AP,-1
AD,1
AC,2
AA,1
J,-2
N,-1
P,2
AK,-1
AO,1
AO,-1
L,1
AQ,-1
AC,-1
AQ,-1
AL,-1
P,-1
AO,3
AM,3
AH,1
P,1
L,-1
AM,-2
AO,-1
AI,-3
AQ,2
AQ,-2
AI,1
AO,-1
AK,1
M,1
J,1
AO,2
AI,1
AA,-1
P,-1
P,1
P,-1
AM,-1
AO,-3
AQ,2
J,2
AC,2
AI,-1
AQ,-1
H,1
AB,1
AP,1
AB,-1
AO,1
AN,1
AI,1
H,-1
AB,1
J,-3
AG,-1
J,3
J,-2
AG,1
AQ,1
