car,move
G,-1
L,1
AH,1
AE,-1
AJ,-1
AB,-1
AA,-1
AB,1
L,-1
AQ,-1
P,1
AP,-1
AL,-1
AF,-1
J,2
P,-1
AM,-1
H,1
AM,1
J,-2
AH,1
P,1
AI,-3
AO,2
G,1
AG,-1
AO,-1
AO,1
H,-1
AO,-2
AI,2
AA,1
AI,-1
AO,2
AG,1
AF,1
AO,-2
L,1
G,-1
AA,-1
G,1
AI,-1
H,1
AA,-1
AQ,1
AE,1
AQ,-1
L,-1
AF,-1
AQ,1
G,-1
AE,1
AE,-1
J,1
J,1
AA,2
J,-1
AO,1
P,-1
J,1
J,1
AD,1
AG,1
AG,-2
AP,-1
G,1
J,-3
P,2
AQ,-1
AP,1
AI,2
H,-1
P,-1
L,1
AI,-1
P,-1
AO,1
AO,-1
AO,-1
AG,1
AN,-1
P,1
K,1
AO,1
AI,2
AH,-1
AA,-2
AL,1
AA,-1
P,1
P,-1
AL,-1
AH,1
AD,-1
AD,1
AI,-3
AQ,1
AM,2
P,1
AA,3
AB,-1
AC,-2
AK,-1
AC,1
AI,1
K,-1
AQ,-1
P,-1
P,1
AI,2
K,1
P,-2
P,2
H,1
AR,-1
AM,-1
AO,-1
AD,-1
AA,-3
AA,2
AI,-2
AC,-2
P,-2
AB,1
H,-1
AI,1
P,1
AE,-1
AR,1
AP,1
AQ,-1
P,1
AA,-1
AE,1
AI,-2
AE,-1
AB,-1
AI,1
AP,-1
AE,1
AO,1
AQ,2
AI,-1
AM,1
AM,-1
P,-1
AG,1
P,1
AC,1
AA,2
AA,-1
AR,-1
AM,-1
AN,1
AA,-2
AE,-1
AE,3
P,-1
W,3
W,-1
AR,1
AA,2
AO,-1
G,-1
AA,1
W,-2
AD,2
AI,3
N,-1
P,-1
AK,1
AP,1
H,1
U,-1
AK,-1
AC,1
AD,-1
AC,-1
P,2
AC,1
AI,-3
AE,-1
AI,2
AA,-5
AA,3
W,1
AP,-1
AA,3
AP,1
AC,-1
AP,-1
AC,1
W,-1
AA,-6
AA,3
K,-1
AK,1
AC,1
AA,3
U,1
AC,-2
N,1
AC,2
AB,1
AI,-1
AP,1
AI,1
AP,-1
AD,1
AA,-1
P,-1
AO,1
P,-1
AI,1
AA,1
G,1
AI,-3
AI,1
AB,-1
AI,2
AI,-3
K,1
AA,-2
H,-1
AD,-2
P,1
H,1
K,-1
AD,1
P,-1
H,-1
AD,-1
P,1
AC,-2
AE,1
G,-1
AD,3
