car,move
P,1
AF,-1
AA,-1
AA,1
AB,-1
J,2
G,-1
J,1
AG,-1
AB,1
AQ,-1
AA,-1
AQ,1
G,1
J,-2
AL,-1
AB,1
AB,-1
AM,-1
AJ,-1
AG,1
AB,-1
AM,1
AC,-3
AC,2
AQ,-1
AC,-1
AP,-1
J,-1
AE,1
AO,2
P,-1
AM,-1
AA,1
AQ,-1
W,1
J,2
AO,-1
AM,1
AQ,2
AO,-1
AH,2
J,-1
AO,1
W,-1
AK,-1
AR,-1
AC,1
P,1
AD,2
H,1
AC,-1
G,-1
J,2
AI,-2
G,1
AO,-1
P,-1
AI,1
AA,-1
AC,-1
P,1
AC,2
AG,1
AC,-1
AA,1
AI,-2
AA,-1
AE,1
J,-1
AR,1
P,-1
P,1
J,1
AC,-1
AP,1
AJ,1
P,-1
L,1
L,-1
AD,-2
AC,1
AI,1
AA,1
G,-1
AA,-1
AK,1
AI,-1
AD,3
G,1
P,1
AC,1
G,-1
J,-2
G,1
AC,1
AI,3
AH,-2
G,-1
G,1
AH,2
AJ,-1
AJ,1
P,1
AB,1
AH,-1
AD,-2
P,-1
J,-1
AD,2
AM,-1
J,2
P,-1
AJ,-1
AJ,1
J,-2
AD,-2
AM,1
AJ,-1
AD,2
P,2
J,1
AA,1
AH,1
AB,-1
AP,-1
AA,-1
P,-1
AC,-3
AB,1
AD,-2
AI,-3
AB,-1
AD,1
AB,1
J,-1
AK,-1
G,-1
J,3
AI,3
AE,-1
J,-3
AI,-3
AB,-1
AI,2
AA,-1
AD,-1
N,-1
AR,-1
AC,1
AI,1
AD,-1
AE,1
J,2
AD,2
H,-1
AH,-1
AD,-2
AH,-1
H,1
W,1
M,1
J,-1
P,1
AM,-1
AP,1
AM,1
AC,1
AC,-1
AE,-1
AP,-1
H,-1
M,-1
AL,1
AG,-1
AP,1
N,1
AA,2
S,1
Q,1
AA,-1
AG,1
AP,-1
AA,1
G,1
P,-1
G,-1
N,-1
AA,-2
AC,-1
AC,2
AA,1
M,1
AC,-2
AB,1
AO,1
AO,-1
P,-1
P,1
J,-1
L,1
Q,-1
P,-1
AP,1
AJ,1
AB,-1
AC,1
AR,1
AG,-1
AJ,-1
AA,1
AP,-1
H,1
AQ,-1
H,-1
P,2
AQ,1
AG,1
Q,1
AO,1
AE,1
P,-2
L,-1
P,1
P,-1
L,1
L,-1
J,3
AC,1
P,1
AK,1
M,-1
Q,-1
N,1
AC,1
N,-1
AC,-2
P,-1
M,1
AC,1
J,-1
AK,-1
M,-1
H,1
Q,1
AH,1
AE,-1
AA,-1
AC,-1
Q,-1
AA,1
P,1
P,-1
AO,-1
S,-1
AE,1
AR,-1
J,-1
U,-1
AE,-1
J,-1
J,2
AD,1
AA,1
U,1
J,1
H,-1
P,1
N,1
AP,1
H,1
W,-1
AL,-1
F,1
F,-1
AA,-2
AA,-1
AG,-1
H,-1
AP,-1
AG,1
AM,-1
AC,-1
J,-2
W,1
H,1
AC,1
W,-1
AC,-1
AC,2
J,-1
G,1
AR,1
AE,-1
H,-1
L,1
AF,1
AD,-1
AH,-1
H,1
AC,-1
AC,1
AP,1
AG,-1
K,1
H,-1
AG,1
H,1
AR,-1
O,1
AP,-1
H,-1
AO,1
D,1
H,1
AA,2
H,-1
D,-1
H,1
AA,-1
AG,-1
D,1
AA,-4
AG,1
AA,2
G,-1
F,1
AA,1
AR,1
K,-1
AO,-1
AA,2
AA,1
AR,-1
L,-1
D,-1
J,2
AP,1
AH,1
P,-1
E,1
AR,1
AM,1
AC,-1
O,-1
Q,-1
Q,1
P,1
AJ,1
AA,-3
AA,3
AJ,-1
AA,-2
AL,1
P,-1
O,1
F,1
AD,1
AA,2
J,-2
E,1
AD,-1
P,1
AC,1
AP,-1
R,-3
Q,-1
J,1
X,-1
AE,-1
AA,-1
W,-1
J,-1
AA,-1
J,1
AE,1
AR,-1
H,-1
AR,1
M,-1
P,-1
W,1
T,-1
AA,1
AC,-1
AO,1
J,1
X,-1
AH,-1
AO,-1
AA,1
T,1
AK,1
T,-1
J,-1
R,1
AL,-1
AH,1
T,-1
AC,1
AM,-1
H,1
X,1
J,-1
AC,1
R,-1
R,1
X,-1
AP,1
J,3
R,-1
W,-1
J,-2
AC,-2
R,1
J,1
AC,2
AH,-1
H,-1
AJ,1
AM,1
AM,-1
J,-1
T,1
AM,1
AC,-2
P,2
AL,1
AL,-1
AL,1
R,-1
T,1
AA,-3
AA,1
AA,-1
J,-1
AC,-1
AA,1
AA,-1
X,1
T,-2
AC,1
AC,1
AG,-1
Y,-1
U,1
H,1
H,-1
R,1
AC,-2
J,1
U,-1
U,1
T,1
AC,2
AH,1
Q,1
T,1
N,1
AA,2
Q,-1
AC,-1
AD,1
X,-1
N,-1
T,-1
AG,1
AL,-1
R,-1
R,1
AA,1
AA,2
AH,1
AC,-1
P,-2
AB,1
AD,-1
P,2
P,-2
T,1
AI,-1
T,-2
T,1
U,-1
P,1
P,1
AB,-1
AD,1
Y,1
X,1
AC,1
AI,1
AC,2
T,-1
AA,-4
H,1
AA,4
AA,-4
R,-1
AB,1
Q,1
AH,-1
AM,-1
AA,1
AG,-1
C,1
P,-1
AM,1
AD,-1
F,1
C,-1
AM,-1
F,-1
AA,-1
