car,move
G,-1
J,3
O,1
AL,-1
F,1
F,-1
AA,-1
G,1
L,1
O,-1
AF,-1
H,1
K,1
AQ,-1
AJ,-1
AB,-1
AQ,1
AN,-1
AG,1
AM,1
AH,1
H,-1
AC,-2
AK,-1
P,1
AA,-1
AM,-2
AH,-1
AC,-1
AM,1
AB,1
AH,1
AB,-1
AC,2
AA,3
AE,-1
AO,-1
AA,-1
AA,1
AK,1
AP,-1
AE,1
AO,1
AC,1
G,-1
F,1
AP,1
AB,1
AN,1
AN,-1
AL,1
AM,1
H,1
AL,-1
F,-1
K,-1
AA,-1
AA,-1
K,1
H,-1
F,1
AB,-1
P,-1
AL,2
AA,2
AL,-1
AH,-1
E,1
E,-1
AH,1
AL,-1
AC,-1
K,-1
AC,1
AL,1
AJ,1
AC,-1
F,-1
L,-1
P,1
L,1
AD,1
H,1
AA,-2
F,1
AA,3
AA,-4
H,-1
AA,2
AC,-1
P,-1
E,1
AG,-1
L,-1
AM,-1
J,-3
E,-1
J,3
AG,1
AJ,-1
P,1
AM,1
AC,1
AD,-1
AD,1
AM,-1
AP,-1
AC,1
AA,-2
J,-2
J,-1
L,1
AD,-1
AN,1
AD,1
AC,-1
AC,-1
AF,1
H,1
AC,2
AB,1
O,1
F,-1
AO,1
AA,1
P,1
N,-1
AA,1
AL,-1
U,-1
P,-1
D,1
AA,-1
AB,-1
D,-1
U,1
AL,1
U,-1
AG,-1
L,-1
AC,-3
AL,-1
AC,2
H,-1
AA,-1
P,1
U,1
M,1
AM,-1
D,1
AD,-1
AG,1
AC,1
AO,-1
AC,-3
AG,-1
AP,1
AE,-1
P,-1
P,1
P,-1
A,-1
B,-1
J,1
AG,1
B,1
AC,3
AA,1
AM,1
AP,-1
AA,1
AH,1
AP,1
M,-1
P,1
AB,1
AI,-3
AE,1
H,1
AD,1
B,-1
J,-2
AA,1
L,1
AI,3
K,1
AA,-6
AA,2
AB,-1
AB,1
P,-1
J,1
AA,-2
AA,6
J,-1
AD,-1
AI,-2
AJ,1
AA,-3
AI,2
P,1
N,1
H,-1
AE,-1
N,-1
AA,5
AI,-2
AA,-5
AB,-1
M,1
AB,1
K,-1
AB,-1
AA,5
K,1
M,-1
AA,-3
AA,-1
J,1
K,-1
AJ,-1
AC,-1
AI,2
B,1
AJ,1
AG,-1
H,1
AG,1
AI,-3
AI,1
AK,-1
AI,1
AI,1
AC,-2
AC,1
AA,2
AC,1
AA,1
AC,-2
AC,2
P,-2
AI,-1
AA,1
AA,-3
K,1
AK,1
AI,-1
N,1
G,1
H,-1
A,-5
H,1
B,-1
A,2
J,-1
A,1
B,-1
AC,-1
AE,1
AC,1
AK,-1
A,-2
A,3
AE,-1
K,-1
AE,1
J,1
A,-2
D,-1
B,-1
H,-2
AA,1
B,1
I,-1
K,1
AA,-2
H,3
AA,4
AR,-1
K,-1
A,-2
AA,-3
H,-2
AI,-1
H,2
L,-1
P,1
AC,-1
AA,-1
AC,-1
AB,1
H,-3
L,1
AB,-1
AI,2
AI,1
H,1
AC,1
H,2
P,-1
AA,4
AC,1
J,-1
AD,1
AI,-1
AA,-4
AI,-1
B,-1
H,-2
B,1
P,2
O,-1
L,-1
AI,2
AA,4
J,2
G,-1
AF,-1
B,-1
B,1
AD,-1
AE,2
G,1
P,-1
A,2
J,-2
AD,1
AE,-1
AG,-1
AI,-3
J,1
AD,-1
B,-1
AG,1
AE,-2
AA,-5
AA,1
A,-2
AE,2
B,1
AD,2
AD,-2
AE,-1
J,3
AN,-1
AA,-1
AI,3
AR,1
AA,1
AH,-1
AN,1
AE,-1
AC,-1
AG,-3
A,1
H,3
AQ,-1
H,-3
AM,-1
AM,1
H,2
B,-1
AA,1
J,-2
AG,1
AC,1
H,-2
AE,1
AL,1
AD,1
J,-1
H,2
AL,-1
G,-1
N,-1
AG,1
AE,1
AQ,1
AC,-1
M,1
W,1
L,1
K,1
AR,-1
AJ,-1
H,-1
AH,1
H,-1
AD,-1
K,-1
S,1
AI,-1
P,-1
A,-1
H,1
S,-1
AR,1
AA,-1
AI,1
P,2
B,1
W,-1
M,-1
AG,1
AI,-2
M,1
AA,1
B,-1
P,-1
AR,-1
AD,2
A,1
P,-1
AC,1
AD,-2
B,1
M,-1
AC,-1
AD,2
AR,1
AD,-1
W,1
AC,1
AP,-1
AD,-1
AP,1
H,1
AK,1
AC,-1
AG,-1
A,-1
H,-1
A,1
N,1
AI,2
AA,-1
S,1
AC,1
F,1
S,-1
I,1
AC,1
K,1
B,-1
AD,1
H,-1
AG,1
P,1
AD,-1
K,-1
AI,-1
H,1
A,-1
P,1
AA,-1
AC,-1
AG,-1
AC,1
S,1
AA,1
H,-1
AC,-3
AQ,-1
J,-1
AD,1
AI,-2
H,1
F,-1
AQ,1
N,-1
B,1
N,1
A,1
AB,1
AI,3
K,1
I,-1
K,-1
AI,-2
P,-2
AB,-1
AI,1
AG,1
K,1
AC,3
AB,1
B,-1
F,1
P,2
AB,-1
J,1
AC,-2
A,-1
AA,-2
AD,-1
AA,4
AC,1
AD,1
AI,1
P,-2
AJ,1
H,-1
AA,-1
AG,-1
J,-1
AK,-1
K,-1
A,1
F,-1
AG,1
AI,-3
P,1
AA,2
H,1
AC,-1
AC,1
W,1
S,-1
W,-1
I,1
AR,-1
W,2
F,1
I,-1
AA,1
AA,-2
V,1
H,1
AD,-1
AE,-2
J,1
E,1
A,-1
V,-1
E,-1
K,1
K,-1
AR,1
AA,-1
J,-1
B,1
P,1
H,-1
AE,3
J,1
AR,-1
S,1
AE,-2
AA,3
AF,1
J,-1
K,1
H,2
AA,-2
F,-1
AA,-3
Q,1
H,-3
AJ,-1
P,-1
AC,-1
AD,1
A,1
O,1
AG,-1
I,1
Q,-1
AA,2
AA,-1
AA,-2
AA,1
D,1
V,1
S,-1
AP,-1
AA,1
B,1
H,1
AO,1
AC,-1
K,-1
AQ,-1
H,-1
H,1
AC,1
F,1
AC,1
K,1
B,-2
S,1
I,-1
H,1
H,1
AO,2
Q,3
B,-1
AA,-3
H,-2
AC,-2
AO,-2
AQ,1
Q,-1
AO,-1
AO,1
AQ,-1
AO,-1
B,2
AA,1
AB,1
Q,-2
V,-1
H,-1
A,-1
AO,1
AA,2
AD,-1
AQ,-1
H,1
AQ,2
AQ,-1
F,-1
AO,1
AA,-3
B,-2
AA,1
V,1
AA,2
V,-1
H,2
AR,1
Y,-1
F,1
AA,-2
P,1
AR,-1
H,-3
AO,-2
U,1
Q,1
Q,-1
B,2
AO,1
AO,2
N,1
E,1
C,1
AO,-1
H,1
I,1
N,-1
B,-2
AD,1
AO,1
S,-1
C,-1
E,-1
AA,-1
J,1
AD,-1
B,3
B,-1
I,-1
B,-2
P,-2
P,1
E,1
C,1
B,1
P,-1
AE,-1
J,-1
AO,-3
N,1
H,2
B,1
C,-1
AQ,-1
H,-1
AB,-1
H,1
A,1
N,-1
B,-2
E,-1
H,-2
N,1
AP,1
AQ,1
B,1
AA,-1
AC,2
U,1
J,1
AP,-1
U,-1
AO,2
N,-1
K,-1
AE,1
E,1
P,2
Q,-1
AC,-2
AO,-1
N,1
J,-1
I,1
B,-1
B,3
D,-1
AR,1
S,1
D,1
S,-1
AC,1
Q,1
AA,-1
P,-2
P,1
AC,-1
AQ,1
P,-1
AE,-1
AC,2
P,1
N,-1
K,1
AK,1
AQ,-1
S,1
S,-1
U,2
N,1
AA,6
N,-1
AQ,1
AK,-1
AG,1
AA,-4
N,3
B,-2
AA,1
N,-3
AC,-2
E,-1
J,1
I,-1
AR,-1
AO,-1
U,-1
AA,-2
AC,1
B,1
H,1
AA,2
AC,1
A,-1
AA,3
AA,-1
AP,1
AA,-3
U,-2
H,-1
AA,-2
I,1
K,-1
S,1
H,-1
U,1
N,1
U,1
L,-1
B,2
P,-1
AR,1
S,-1
U,2
F,-1
F,1
F,-1
AP,-1
G,2
N,1
N,2
J,1
J,-1
G,-2
AC,-2
AP,1
G,3
B,-1
G,1
AB,1
A,2
AP,-1
AG,-1
A,1
J,2
AP,1
AJ,1
A,-2
B,-1
AB,-1
G,-2
AJ,-1
I,-1
G,-2
J,1
AJ,1
D,-1
AC,2
N,-3
AC,-1
J,-3
N,3
F,1
AR,-1
M,1
AC,-1
AQ,-2
J,3
F,1
E,1
AJ,-1
H,1
L,1
C,1
A,-2
AC,1
N,-1
P,1
K,1
H,-1
H,3
F,2
AJ,1
F,-1
AQ,1
AE,1
AJ,-1
H,-2
AC,1
AP,-1
AC,-2
P,-1
A,2
AO,1
A,-2
S,1
H,2
F,2
AR,1
E,1
AB,1
E,2
AO,1
A,1
S,-1
AQ,-1
AO,-1
AD,1
E,-1
S,1
F,-2
Q,1
M,-1
AD,-1
C,1
AO,-1
N,-1
AR,-1
E,-2
G,3
F,2
AA,1
P,1
E,3
AA,3
AP,1
N,1
K,-1
B,-1
R,-1
N,-1
X,-1
AB,-1
E,1
AQ,2
AR,1
C,-1
B,1
AC,1
E,-1
X,1
K,1
K,-1
K,1
C,1
AA,-3
P,-1
C,-2
AC,-1
AA,-1
AD,1
AC,2
AQ,-1
Q,-1
E,1
Q,-1
AK,1
R,-1
E,-2
AA,2
AP,-1
Y,1
E,1
AP,1
Y,-1
M,-1
E,-1
Y,1
AD,-1
O,-1
T,-2
AK,-1
AQ,1
O,1
E,-1
AQ,-1
Y,-1
Y,1
V,1
AR,-1
AJ,1
Q,2
AA,-1
AE,-1
Q,1
C,1
K,-1
X,-1
AR,1
C,1
AC,-1
AC,-1
AQ,1
E,1
S,1
M,-1
AE,1
X,1
AG,1
D,1
L,-1
A,1
AC,1
A,-1
E,-1
A,4
L,1
X,1
C,-2
L,-1
G,-2
S,-1
R,-1
N,-2
X,-1
AJ,-1
C,1
N,1
AR,-1
S,1
R,1
J,-1
AE,-1
S,1
A,-2
AC,-1
J,1
AR,1
M,1
R,-1
AG,-1
U,-1
AC,1
AC,-1
P,1
AG,1
AB,1
P,-1
T,1
G,1
S,-2
D,-1
P,1
L,1
T,-1
AG,-1
O,-1
L,-1
S,2
AA,-1
AQ,-2
AB,-1
C,2
P,-1
AR,-1
AQ,2
L,1
X,-1
G,-1
P,1
N,-1
AP,-1
AO,1
R,1
AA,1
A,-3
C,-2
X,2
X,4
L,-1
AR,1
U,1
X,-4
X,-1
AQ,-2
Q,-1
X,1
A,1
Q,-1
Q,2
J,-1
AA,-1
X,4
P,-1
G,-1
C,2
S,-1
A,-1
S,-1
T,2
N,2
AO,1
U,-1
F,-1
N,-1
J,1
A,1
A,1
P,1
C,-3
AO,-2
C,1
F,1
T,-1
N,-2
T,1
AQ,1
O,1
M,-1
J,-1
F,-2
AR,-1
AO,2
N,2
R,-1
C,1
F,2
F,-1
U,1
T,-2
S,1
AO,1
C,-1
D,1
J,1
N,1
G,2
G,1
AC,1
T,1
AC,-1
G,-2
G,-1
E,1
AE,1
H,-1
J,-1
C,1
C,-2
R,1
C,1
J,-2
AD,1
AO,-3
N,-2
S,-1
AD,-1
AE,-1
J,3
AP,1
AC,1
U,-1
M,1
AP,-1
S,1
AC,-1
AR,1
D,-1
P,-1
H,1
Q,-1
AC,1
F,1
A,-1
Q,-1
AO,2
F,-2
L,1
T,-1
AK,1
E,-1
S,-2
T,2
G,1
P,1
T,-1
T,1
H,-1
A,-1
AC,-1
P,-1
M,1
H,-1
M,-1
AC,3
A,3
K,1
A,-3
A,3
AC,-2
AC,2
AC,-2
U,1
AC,-1
H,2
AC,3
R,-1
AE,1
F,1
S,1
V,-1
T,-2
AE,-1
N,1
AE,1
C,-1
C,1
N,-1
AC,-1
S,2
AC,1
AB,1
T,1
AB,-1
F,-1
F,2
O,-1
AA,2
Q,1
AB,1
AA,-2
T,-1
O,1
AD,1
AO,-2
AO,1
N,1
AQ,1
F,-1
N,-1
H,-1
P,1
S,-1
S,1
N,1
T,1
D,1
AG,1
C,1
C,-2
Q,-1
P,-1
C,1
X,2
S,-2
A,-1
A,1
S,-1
S,2
S,1
P,1
AO,-1
S,-2
K,-1
S,2
AG,-1
S,-2
C,-1
T,-1
D,-1
Q,-1
X,-1
A,-1
AD,-1
H,1
A,1
X,-1
AO,1
L,-1
S,2
G,1
F,1
T,1
AE,-1
S,-1
U,-1
F,-2
AO,-1
AO,1
U,1
S,1
S,-1
J,-1
X,3
