car,move
AJ,-1
P,2
AQ,-1
AF,-1
P,-1
J,1
AH,1
P,1
AE,1
AP,-1
AB,-1
G,-1
J,-1
AE,-2
AC,-2
AA,-1
AK,-1
AF,1
AQ,1
J,1
AL,-1
O,1
P,-2
AL,1
P,2
AC,-1
AR,-1
G,1
D,1
A,-1
G,-1
N,-1
AC,2
A,1
AQ,-1
AC,-1
P,-2
P,2
AC,-1
AO,3
P,-1
AC,1
AO,-2
AA,1
AQ,-1
M,1
AE,1
H,1
AQ,2
AE,-1
AG,1
P,-1
AR,1
J,1
P,1
AO,-1
AE,1
A,-1
AO,1
AC,1
A,1
AG,-1
D,-1
H,-2
AK,1
AK,-1
J,1
AQ,-1
AH,-1
AC,-1
AH,1
AC,1
AO,1
AO,-1
J,-3
AA,-1
P,-1
AA,1
P,2
AC,-1
AC,1
H,1
M,-1
P,-2
AA,-1
J,3
P,1
H,1
AO,1
AO,-1
AD,1
AR,-1
O,-1
AF,-1
J,-3
J,2
AO,1
P,-1
AL,-1
AO,1
AD,-1
AO,-2
AC,-2
AR,1
AF,1
AL,1
AH,-1
AR,-1
P,1
AL,-1
O,1
P,-1
AR,1
O,-1
AF,-1
H,-1
J,-2
AO,-1
P,1
AQ,1
AE,1
AC,1
J,1
J,1
AQ,-1
M,1
AQ,-1
H,1
AM,-1
AA,1
J,-1
AH,1
M,-1
AQ,2
AQ,-2
P,-1
AO,1
AE,-2
N,1
AQ,2
AE,2
N,-1
AD,2
AC,1
N,1
N,-1
AR,-1
N,1
J,-1
J,1
F,1
AG,1
AE,1
AD,-1
AD,1
AC,-1
AR,1
AA,-1
AC,-1
AC,1
P,2
AA,-1
AE,-1
AC,1
AO,-1
J,-1
AC,-1
J,1
AA,1
AD,-2
P,-1
AE,-2
AC,1
AA,2
AC,-1
AM,1
AP,1
AE,2
H,-1
J,1
E,1
E,-1
AC,1
AD,2
AK,1
AJ,1
AD,-1
AD,1
J,1
AD,-1
P,-1
J,-1
AD,-1
AD,2
AJ,-1
H,1
AJ,1
H,-1
AA,-1
AL,1
AA,-1
J,-1
P,2
AA,3
AL,-1
AC,-2
P,-1
AK,-1
AC,1
AA,-1
J,2
J,-3
AA,2
J,3
P,-1
H,1
P,1
AA,-3
H,-1
J,-1
J,1
AA,2
L,1
H,1
K,1
AM,-1
F,-1
H,-1
AA,-5
AK,1
AM,1
AC,2
AG,-1
AA,3
AL,1
AA,-2
H,1
H,-1
AQ,-1
AC,-3
AK,-1
AA,-1
AB,1
AA,1
AB,-1
H,1
AA,-1
AB,1
AJ,-1
AQ,1
AA,1
AA,-3
AA,2
AA,2
AJ,1
P,-1
AQ,-2
AQ,2
F,1
AG,1
F,-1
AR,-1
G,1
P,1
AJ,-1
AG,-1
K,-1
AG,1
AG,-1
AD,-1
AJ,1
AD,1
K,1
AA,-4
K,-1
AQ,-2
AJ,-1
AR,1
AB,-1
AJ,1
AB,1
AJ,-1
AL,-1
AP,-1
AQ,2
AD,-1
AE,-1
AG,-1
L,-1
AL,1
P,-1
AG,2
L,1
AL,-1
AL,1
AP,1
AP,-1
AP,1
G,-1
L,-1
AN,-1
AO,-1
AO,1
AL,-1
N,-1
J,-3
AL,1
AM,1
M,1
P,1
AB,-1
AP,-1
M,-1
J,3
J,-1
AD,-1
P,-1
J,1
AC,2
AH,-1
U,-1
AP,1
L,1
K,1
AG,-1
U,1
AL,1
AP,-1
AO,1
P,1
AA,4
N,1
AL,-2
AH,1
AK,1
N,-1
K,-1
U,-1
AQ,-1
AO,-1
P,-1
AK,-1
AO,1
H,-1
L,-1
AD,1
P,1
AM,-1
AH,1
H,1
AM,1
AD,-1
J,-1
AI,-3
AR,-1
AI,2
U,1
AA,1
AI,-2
J,1
AA,-1
AM,-1
N,1
AC,-1
AA,-1
H,-1
AC,-1
AA,1
AA,-1
N,-1
AM,1
AC,1
H,1
AM,1
AM,-2
L,1
K,1
AO,-1
AO,2
AQ,-1
H,-1
AN,1
AQ,1
AF,1
M,1
K,-1
AI,2
AD,1
AF,-1
AQ,-1
AR,1
AI,-1
AK,1
L,-1
AD,-1
AA,2
AI,-1
AI,2
H,1
AI,-2
P,-1
J,-1
M,-1
P,1
AI,3
U,-1
J,-2
P,-1
J,1
U,1
AG,-1
AH,-2
AH,1
AD,1
AA,-1
J,1
J,1
P,1
AA,-1
AO,-1
H,-1
U,-1
AQ,1
J,-3
AQ,1
AM,-1
AO,-1
AM,1
J,1
AG,1
J,2
AK,-1
AR,-1
AG,-1
AC,-1
AM,-1
AB,1
AG,1
AO,1
AG,-1
AQ,-1
AO,2
AG,1
J,-3
AF,1
L,1
H,1
L,-1
AF,-1
AB,-1
J,2
AC,1
AE,1
AE,-1
AA,2
AA,-1
AC,1
J,-1
AP,1
AM,1
U,1
AJ,1
AD,-1
H,-1
AE,-1
