car,move
J,1
AA,-1
P,1
AA,1
G,-1
AH,1
J,2
AA,-1
G,1
AQ,-1
J,-2
AH,-1
AH,1
H,1
AD,1
AF,-1
AL,-1
AM,-1
AD,-1
AA,-1
AG,-1
G,-1
AA,1
J,2
N,-1
AM,1
AG,1
J,-3
M,1
L,1
AN,-1
AE,-1
AN,1
AA,1
AE,1
AF,1
AM,-1
AD,1
AA,-2
AF,-1
P,1
AJ,-1
AF,1
AA,2
AP,-1
AA,-1
AB,-1
L,-1
AC,-3
O,1
M,-1
M,1
AP,1
AC,1
P,-2
AA,1
AK,-1
AP,-1
M,-1
H,-2
AD,-1
AH,-1
AH,1
AE,-1
AO,2
AA,-1
AO,-2
H,2
AK,1
N,1
AQ,1
AE,1
AQ,-2
AA,1
AK,-1
F,1
AP,1
H,-1
E,1
O,-1
AF,-1
AE,-1
AQ,2
P,2
AJ,1
J,1
P,-2
AQ,-2
AQ,1
J,-1
P,2
AN,-1
AK,1
C,1
AM,2
L,1
P,-2
AH,1
AI,-2
AQ,1
AQ,-1
AA,-1
K,1
AI,2
AJ,-1
AI,-3
AQ,1
AI,2
AJ,1
AC,-1
AJ,-1
P,1
AM,-1
K,-1
AC,3
AJ,1
C,-1
AM,1
AA,1
AI,-1
L,-1
AA,-1
AC,-2
J,1
AE,1
E,-1
AD,1
J,1
AM,-1
AK,-1
J,1
AI,1
AA,1
J,-1
AK,1
AC,2
E,1
AO,-1
AD,-1
AE,-1
AC,-1
Q,-1
AA,-2
J,1
J,-3
AI,1
AI,-3
P,1
AI,3
AG,1
P,-1
AI,-1
H,1
P,1
AG,-1
AQ,-1
J,1
AI,-2
AI,3
AK,-1
AQ,1
AJ,-1
AI,-3
AK,1
AI,2
AI,-2
AI,2
AO,1
AC,-1
AC,1
AC,1
AM,1
AA,1
Q,1
AJ,1
AI,1
AH,-1
AA,-1
AC,-1
AC,1
AJ,-1
AL,1
AG,1
AC,-1
AA,2
AL,1
AL,-2
P,-2
AK,-1
AC,-1
AM,-1
AK,1
AP,-1
Q,-1
AM,-1
H,-1
AO,-2
AG,-1
AG,1
H,1
AK,-1
AG,-1
AK,1
AO,2
J,2
L,1
AO,-2
P,1
Q,1
E,-1
AK,-1
K,1
H,-1
AC,1
K,-1
AA,-2
AG,1
AE,1
AO,2
F,-1
F,1
L,-1
AM,1
AC,-2
AA,1
E,1
AC,1
Q,-1
AN,1
AK,1
AL,1
AL,-1
AM,-1
J,-3
P,1
AA,1
AA,1
AE,-1
AA,-2
AC,2
AC,-2
Q,1
P,-1
E,-1
AN,-1
L,1
AM,2
AC,1
AE,1
AA,2
AM,-2
