car,move
G,-1
AF,-1
P,2
AN,-1
N,-1
P,-1
M,1
M,-1
L,1
H,1
AJ,-1
AB,-1
AC,-2
AQ,-1
AQ,-1
N,1
H,-1
H,1
K,1
AA,-2
AA,-2
AO,-1
AJ,1
P,1
N,-1
AA,1
AA,1
AQ,2
AA,2
AA,-4
AH,1
M,1
AE,-1
AO,1
AE,1
AA,4
AA,-2
AG,1
AA,-1
AL,-1
AK,-1
AE,-1
AL,1
AA,1
AA,-1
AJ,-1
AO,-1
AG,-1
AC,1
AA,-1
AA,4
AE,1
AA,-2
AC,-1
AO,1
AO,-1
AC,1
AA,1
AH,-1
AH,1
P,-2
AO,1
K,-1
AC,-1
AM,1
AC,1
P,1
P,1
AK,1
AJ,1
AL,1
AD,1
AC,-1
AK,-1
AG,1
AA,2
K,1
AC,1
AK,1
AA,2
M,-1
U,-1
AA,-6
AA,3
AC,1
AG,-1
AA,-1
AA,-1
AA,1
AD,-1
H,-1
AC,-3
AA,-2
H,1
AA,-1
AL,-1
AG,1
AE,-1
AL,1
AC,1
AA,-1
AK,-1
AL,-2
P,-2
AL,1
AG,-1
K,-1
AR,-1
AE,1
AD,1
AL,1
P,1
AG,1
K,1
AJ,-1
AA,6
AL,-1
AL,-1
AL,2
AA,-3
AG,-1
AA,2
H,-1
AA,-3
AC,-1
AQ,-2
AL,-2
AD,-1
AQ,1
AQ,-1
AM,-1
AA,1
AM,1
AA,-1
AE,-1
AR,1
AA,2
P,-1
K,-1
AH,1
P,1
AR,-1
AP,-1
AI,-2
AE,1
K,1
AI,1
U,1
N,1
AD,1
AO,1
AQ,2
AG,1
F,1
AC,1
E,1
E,-1
AA,-1
AA,1
P,1
AC,1
AC,-2
AG,-1
H,1
AR,1
H,-1
AC,1
AM,-1
AD,-1
AO,-2
AA,-2
AI,-2
AI,2
AC,-1
F,-1
AA,1
AQ,-1
F,1
AI,-2
AQ,1
AE,-1
AC,2
H,1
AA,1
P,-2
AK,1
E,1
AI,3
E,-1
K,-1
AE,1
AA,1
AH,-2
H,-1
K,1
AM,-1
AQ,-1
P,1
AK,-1
AO,3
AM,1
AK,1
AO,-2
H,1
AH,1
AN,1
H,-1
AC,-1
AE,1
P,-1
AD,1
AO,2
AC,2
AB,1
AD,-1
K,-1
K,1
P,1
P,1
AM,-1
AA,-1
P,-2
AB,-1
F,-1
AC,-1
W,1
AM,1
W,-1
AM,-1
P,2
AO,-1
AD,2
AC,-2
AO,1
AB,1
AD,-2
AA,-2
AO,-2
AO,1
AK,-1
AM,1
P,-1
AB,-1
AQ,1
AR,-1
AG,1
AG,-1
AH,-1
AH,2
AH,-1
AR,1
AK,1
AH,1
F,1
AD,2
AA,2
AD,-2
E,1
AI,-3
AQ,-1
AC,1
AD,2
AI,2
E,-1
F,-1
AC,2
AC,-3
F,1
AC,2
P,-1
AI,-1
H,1
AC,1
AC,-1
AC,-1
AO,-1
AQ,-1
AI,-1
AQ,1
AD,-1
AD,-1
W,2
AC,2
AO,2
AO,-2
AA,1
AC,-1
AK,-1
AO,1
W,1
AQ,1
AA,-1
AG,1
AO,-1
AA,2
K,-1
V,1
W,-1
AA,-1
AR,-1
S,1
AD,1
AC,-1
L,-1
W,1
AE,1
Q,2
AD,2
AD,-2
AD,1
H,-1
P,1
L,1
Q,1
Q,-2
H,1
Q,-1
AA,-2
P,1
Q,2
AD,1
F,-1
AC,1
G,1
AP,1
AD,-1
AA,1
G,-1
AC,-2
F,1
P,-2
AC,1
AJ,1
P,2
AR,1
H,-1
E,1
AD,-2
Q,-1
AD,1
Q,1
AC,1
P,-1
AA,-1
C,3
AK,1
P,1
K,1
AD,-1
E,-1
AE,-3
AG,-3
AA,2
P,-2
AJ,-1
AQ,-1
AP,-2
AO,1
AC,-1
AP,1
H,1
F,-1
AQ,-1
AQ,2
AG,2
AC,2
F,1
AQ,-1
AQ,1
F,-1
AB,1
AG,-1
