car,move
G,-1
P,1
P,1
AL,-1
G,1
O,1
AJ,-1
AM,-1
P,-2
AJ,1
L,1
H,1
AA,-1
L,-1
H,-2
L,1
AH,1
L,-1
AM,1
AH,-1
AM,-1
J,1
AA,1
AA,-1
J,2
H,1
J,-1
J,-2
AJ,-1
AP,-1
AG,1
D,1
A,-3
A,-1
A,-1
AA,2
P,1
B,-2
J,1
AM,1
AL,1
A,1
A,-1
B,-2
J,1
AL,-1
J,-2
I,-1
P,1
AO,1
AA,-1
J,1
P,-1
B,2
AG,-1
A,-1
AG,1
A,3
AM,-1
A,-2
G,-1
J,-2
H,2
AG,-1
J,1
AA,-2
P,1
AG,1
A,-1
N,-1
U,-1
A,1
AA,2
D,-1
D,1
A,-1
A,1
B,-1
H,-2
A,-1
AA,-1
AB,-1
AO,-1
AC,-3
AH,1
H,1
P,-1
AD,1
H,-1
J,2
AG,-1
A,1
AQ,-1
J,-1
AO,1
U,1
J,-1
AQ,-1
AO,1
J,1
J,-2
A,-1
B,-1
P,1
H,1
P,-2
J,3
N,1
AK,-1
H,1
J,-1
P,1
H,-1
H,1
J,-1
A,1
G,1
AO,-2
AQ,2
AC,1
AM,1
AA,-1
AG,1
J,2
A,1
A,-2
B,-2
AC,-1
AK,1
AC,1
AA,2
AA,-1
AO,1
J,-1
AM,-1
AC,1
B,2
H,-2
AA,2
I,1
AO,-1
A,1
AC,1
AC,-1
G,-1
F,1
B,3
J,-2
AA,-1
AC,1
P,1
AB,1
L,1
A,-1
B,-2
L,-1
AM,1
AB,-1
AB,1
F,-1
P,-1
AA,-1
N,-1
N,1
B,1
I,-1
H,3
AD,-1
L,1
H,-3
P,1
A,1
L,-1
AM,-1
AA,-1
AB,-1
AA,1
G,1
B,-2
AA,2
L,1
AA,-2
AC,-2
AH,-1
B,-1
H,3
L,-1
B,3
H,-1
B,-2
AP,1
AJ,1
AA,1
AA,2
A,1
AM,1
AA,-4
H,-1
A,-1
H,-1
AA,5
AC,2
I,1
B,-1
B,2
B,1
B,-3
AG,-1
B,2
P,-1
B,-2
J,2
P,1
AH,2
AD,1
AH,-1
AC,-2
AD,-1
P,-2
AG,1
AM,-1
P,2
J,-2
AA,-2
B,2
B,2
J,2
G,-1
J,-1
B,1
P,-2
D,-1
AA,2
J,3
AA,-1
H,-1
H,2
O,-1
L,1
AE,-1
O,1
F,2
K,1
AA,-2
E,2
AC,1
AM,1
R,-3
AC,1
AA,2
B,-3
AA,1
AC,-3
M,-1
X,-1
B,3
AL,1
F,1
AC,2
AL,-1
K,-1
L,-1
AA,-2
X,1
G,1
J,-2
T,-2
R,1
B,-2
A,-1
J,-1
T,1
AA,2
T,1
M,1
X,-1
M,-1
AL,1
AC,-1
P,2
I,-1
AC,-1
AG,-1
G,-1
AC,2
J,1
AL,-1
J,-2
Q,-1
AC,-2
F,-1
B,-1
I,1
AL,1
F,1
AK,-1
F,-1
T,-2
B,1
Q,1
AB,1
B,1
T,2
B,-1
AQ,-2
AL,-1
B,-1
P,-2
AK,1
H,-1
AQ,1
P,1
AB,-1
AQ,1
P,-1
P,1
AB,1
I,-1
AG,1
L,1
M,1
AA,-1
C,1
P,-1
A,1
K,1
R,1
AL,1
A,-2
AA,1
P,1
H,1
H,-1
I,1
A,2
P,1
J,1
AL,-1
B,2
R,-2
W,-1
B,1
K,-1
W,1
K,1
B,-1
B,-1
P,-1
I,-1
W,-1
AH,1
AB,-1
AE,1
AA,-1
Y,-1
P,-1
AK,-1
H,2
P,2
AH,-1
AH,-1
H,-2
Y,1
AC,1
AR,-1
H,2
AA,-6
AA,-1
W,1
M,-1
B,-1
T,-1
AJ,-1
T,-1
T,1
AR,1
AK,1
AH,1
T,-1
AL,1
K,-1
T,1
AP,-1
AH,-1
K,1
AG,-1
AC,2
AC,-1
AA,5
AA,-4
C,-1
J,-1
AC,-1
AH,1
AC,-1
AC,3
W,-1
W,1
C,1
P,-2
W,-1
W,1
X,1
AC,-1
T,-1
C,-1
X,-1
H,1
AK,-1
AL,-1
T,1
AH,1
P,1
AP,1
AC,-1
AA,1
AQ,-2
AA,1
AI,-2
AA,-3
AI,-1
AI,2
C,1
P,1
AI,1
AP,-1
T,-1
AR,-1
AA,5
AA,-4
AO,3
AA,-1
AC,-1
AA,4
AI,-2
AA,-3
H,-1
W,-1
AA,1
H,1
AB,1
V,1
C,-1
H,-1
AA,-2
J,1
AA,3
AI,1
AP,1
T,2
B,1
F,1
AI,-2
AQ,1
B,-1
AA,1
Q,-1
AI,2
H,-1
AE,-1
J,-1
B,1
K,-1
AQ,-1
J,1
AQ,1
AA,-1
F,-1
AA,1
T,-1
J,-1
L,-1
J,1
AA,-1
AB,-1
AQ,-1
L,1
V,-1
AI,-2
AJ,1
P,-1
Y,-1
AE,1
X,-1
B,-1
AI,3
T,-1
AI,-3
F,1
J,-1
F,-1
J,1
U,1
T,2
T,-1
AI,3
K,1
AQ,1
AA,-2
AJ,-1
P,1
N,1
AE,-1
AI,-2
B,1
N,-1
AC,1
AI,2
AI,-2
U,2
T,-1
X,1
Q,1
AC,-1
U,-1
AA,1
U,1
AA,2
AA,-5
T,2
AA,5
I,1
AI,-1
AC,2
K,-1
L,-1
T,-2
P,-1
R,1
N,2
N,-1
AC,-2
U,1
AB,1
C,1
F,1
B,-1
N,-1
I,-1
P,-1
AI,1
U,-1
C,-1
I,1
G,1
J,1
AB,-1
AJ,1
U,-1
AI,1
B,3
AI,-1
J,-1
B,-1
J,1
R,-1
AJ,-1
J,-1
AI,1
AP,-1
AC,1
B,-1
AC,1
Q,-1
G,-1
B,-1
J,1
AA,1
F,-1
H,-1
AI,-1
B,3
J,-1
AI,-1
AP,1
J,1
J,1
Q,1
U,2
AE,1
AP,-1
J,1
Y,1
B,-2
AI,1
J,-3
J,2
R,1
AE,-1
V,1
C,1
P,1
AP,1
AC,-1
AA,-1
J,-3
J,2
AP,-1
AP,1
AC,1
AC,-1
J,1
AJ,1
T,2
I,-1
AC,1
P,-1
C,-1
AA,1
M,1
A,-1
H,1
AC,-1
AI,-1
I,1
Q,-1
AA,-1
AJ,-1
J,-2
B,1
AE,1
