car,move
AB,-1
AA,-1
AQ,-1
P,1
L,1
AB,1
O,1
P,-1
D,1
A,-5
A,2
B,-1
H,1
AB,-1
AC,-3
P,1
A,2
AC,1
AK,-1
AJ,-1
K,1
AH,1
AR,-1
AC,1
AA,1
P,-1
H,-1
P,1
AD,1
AQ,1
AA,-3
AR,1
AC,-1
AP,-1
A,-3
AA,1
P,1
AR,-1
AR,1
A,1
AO,1
B,-1
AG,1
B,1
P,-1
AG,-1
AG,1
AL,-1
B,1
A,-2
G,-1
AK,1
AH,1
AA,1
AC,-1
B,-1
A,-1
B,-1
AG,-1
F,1
B,1
B,-2
AQ,-2
D,-1
I,-1
AA,-2
F,-1
AH,-1
F,1
AH,1
AI,-3
AI,1
AD,-1
H,1
J,-1
AI,1
AI,-1
D,1
AD,1
H,-1
H,2
AA,-2
AQ,2
AB,1
AQ,-2
H,-1
AQ,2
AA,2
F,-1
I,1
H,-1
P,1
I,-1
H,2
N,-1
AK,-1
D,-1
AR,-1
AA,1
H,1
N,1
F,1
A,1
AA,-1
D,1
AA,-1
H,-2
F,-1
AI,2
P,-1
P,1
P,-1
AG,1
P,1
N,-1
AI,-1
AO,-1
J,1
B,-1
I,1
M,1
I,-1
P,-2
AI,1
A,-1
B,1
I,1
M,-1
AI,-1
AP,1
B,3
B,-2
P,1
AR,1
AJ,1
AI,1
AI,-1
I,-1
AA,1
AG,-1
AG,1
J,-1
AK,1
N,1
A,1
AI,-2
B,-2
N,-1
B,2
AJ,-1
J,1
AA,2
AI,3
AA,-3
AP,-1
U,-1
AA,1
AI,-2
AA,-1
P,-1
AA,-1
AO,1
AK,-1
H,1
D,-1
AA,1
A,-1
U,1
AA,-2
H,-3
AI,-1
AG,-1
H,1
A,1
K,-1
AD,-1
N,1
A,-1
AG,1
AI,1
K,1
D,1
N,-1
AI,2
AH,-1
AL,1
P,1
I,1
P,-1
AD,1
AL,-1
K,-1
I,-1
AH,1
H,1
K,1
AB,-1
AC,1
U,-1
I,1
AD,-1
B,2
B,-1
AD,1
AI,-2
AO,-1
AK,1
D,-1
B,-1
I,-1
J,-1
K,-1
AD,-1
AP,1
AA,1
AI,1
H,2
AI,-1
K,1
AI,-1
K,-1
P,1
H,-2
O,-1
AE,-1
H,1
AA,-1
AI,1
AC,-1
H,1
AI,1
H,-2
H,2
AC,3
AC,-3
L,-1
H,-2
AC,2
AK,-1
L,1
O,1
AE,1
D,1
AR,-1
H,1
AD,1
P,-1
AP,-1
AO,1
L,-1
H,1
AG,-1
A,1
H,-1
H,-1
AC,-2
AR,1
AO,-1
AB,1
AI,-1
U,1
P,1
AI,2
AD,-1
D,-1
AQ,-1
P,1
H,-1
M,1
AI,-2
AB,-1
AO,2
D,1
J,2
P,-2
J,2
AR,-1
L,1
H,2
AO,-1
AQ,-1
AI,2
AA,1
AI,-1
AI,1
D,-1
AI,-3
K,1
AA,1
AB,1
AI,2
AR,1
P,1
D,1
M,-1
AA,-1
AI,-2
A,-1
AA,2
AA,1
AA,1
B,-2
B,2
AA,-4
AI,2
A,1
AQ,1
B,-1
AO,-1
AO,2
M,1
D,-1
AE,-1
AE,1
P,-1
B,1
AB,-1
AR,-1
AA,1
AD,1
D,1
AI,-1
AD,-1
M,-1
P,1
U,-1
AO,-1
AA,1
AB,1
AA,2
AA,-3
AQ,1
AQ,-1
B,-2
AQ,-1
H,-1
AI,-1
P,-1
AA,-1
AO,2
AQ,1
H,1
AO,-1
AI,2
AD,1
A,-1
U,1
A,1
AB,-1
AI,-1
B,1
AI,1
AB,1
AD,-1
AB,-1
N,1
AO,1
AC,1
AI,-1
H,-1
B,-1
AC,1
N,-1
H,1
AO,-1
P,1
B,1
P,-1
U,-1
AO,1
B,-1
AI,1
B,2
AE,-1
AE,1
AI,1
H,-1
AC,-2
AA,1
B,-2
AH,-1
AE,-1
U,1
AL,1
P,1
P,-1
P,1
AA,2
AA,1
AA,-2
AE,1
AH,-1
B,1
AL,-1
A,-1
AA,-1
AL,1
AC,1
AL,-1
N,1
AH,1
AA,3
AC,1
G,1
AE,-1
I,1
B,2
AM,-1
A,1
H,-1
B,-2
AP,1
AC,-2
A,-1
G,-1
F,1
AB,1
B,-1
A,1
AB,-1
B,3
E,1
D,-1
AC,1
AC,-1
AC,1
AM,1
P,-1
E,-1
O,-1
A,-1
A,1
AP,-1
B,1
AC,-1
AC,1
AH,1
F,-1
AF,-1
K,-1
L,-1
AI,-3
AE,2
AO,-1
AI,2
AO,-1
J,-3
J,1
A,-1
AQ,1
AG,1
N,-1
B,-3
AR,1
J,2
AE,1
B,3
AI,-1
AD,3
N,1
AD,-3
AR,-1
B,-1
AD,1
J,-1
H,1
P,1
AI,-1
W,3
AR,1
AD,-1
AD,3
B,-1
AC,-1
F,1
B,-1
E,1
A,1
J,1
AC,1
I,-1
L,1
S,1
AC,1
I,1
Q,1
AR,-1
AD,-1
Q,-1
AD,-1
AC,-2
AR,1
AK,1
AB,1
E,-1
E,1
Q,-1
AD,-1
V,1
AK,-1
AE,-2
Q,3
AK,1
B,1
Q,-2
AG,-2
AA,-1
S,-1
AB,-1
AP,-1
Q,-1
AB,1
AO,-1
S,1
Q,1
AQ,-2
V,-1
V,1
Q,2
AO,1
B,-1
Q,-2
L,-1
A,-1
A,1
V,-1
Q,-1
AQ,2
AQ,-1
B,3
AP,1
AA,1
P,-1
J,-1
B,-1
AO,1
AK,-1
AB,-1
A,-1
AO,-1
Q,1
AG,1
P,1
A,1
AC,1
J,-2
B,-2
Y,-1
AD,1
B,1
L,1
S,-1
A,-1
C,1
AF,1
L,-1
B,2
O,1
A,-1
A,2
J,3
B,-1
Y,1
C,-1
J,-1
F,2
V,1
AA,-1
AA,2
AQ,1
E,2
J,-2
B,-2
P,-1
R,-1
R,-1
B,1
AC,1
AO,-1
