car,move
AQ,-1
P,2
AA,-2
AH,1
J,1
J,-1
H,1
AF,-1
AE,1
AJ,-1
AL,-1
AL,1
H,-1
W,1
AJ,1
P,-1
J,3
AQ,1
AG,1
H,1
H,-1
AG,-1
AL,-1
AH,1
H,1
J,-3
J,2
J,1
J,-1
G,-1
J,-1
AJ,-1
P,1
N,-1
AH,-1
AL,1
AG,1
M,1
M,-1
M,1
P,-1
AH,-1
AA,3
M,-1
H,-1
AA,-2
P,-1
N,1
AL,-1
AG,-1
AJ,1
AA,1
AJ,-1
AH,2
J,2
H,1
AJ,1
N,-1
AI,-2
AA,-1
L,1
L,-1
AI,1
AA,1
U,-1
AI,-1
AI,-1
W,-1
L,1
H,-1
AB,-1
AD,1
AC,-1
AI,3
P,1
AD,1
L,-1
AC,1
AB,1
U,1
L,1
AI,-3
AD,-1
AI,3
AG,1
AE,-1
AG,-1
AJ,-1
U,-1
AJ,1
AI,-3
AB,-1
AI,2
AI,-2
L,-1
L,1
AI,1
AA,-1
AI,1
L,-1
AI,1
AE,1
P,-1
J,-1
AE,-1
AC,-3
AB,1
J,-2
P,1
AB,-1
AE,1
P,-1
AJ,-1
J,1
J,2
J,-1
AK,-1
AJ,1
AI,-1
H,1
AE,-1
AG,1
J,-2
AF,1
AK,1
AC,1
P,2
AA,4
AI,-1
AA,-4
AK,-1
AI,1
AA,4
AA,-2
P,-2
AK,1
O,1
H,-2
AI,-2
AI,3
AA,2
AI,-2
AI,2
AI,-2
U,1
AI,-1
AI,1
J,2
AA,-3
AC,2
U,-1
AC,-2
AD,-1
U,1
AA,1
J,-2
P,2
AI,2
P,-1
AA,-2
J,3
AA,2
J,-1
J,1
J,-2
J,2
AA,-3
AH,-2
J,-3
AA,3
N,1
J,3
AA,-2
AL,1
AA,2
AL,-1
H,2
J,-1
AK,-1
O,-1
AR,-1
H,-1
J,-2
J,1
AA,-3
AA,4
AC,-1
AH,1
J,2
J,-2
AB,1
AB,-1
AC,1
J,2
H,1
AR,1
N,-1
H,-1
AA,1
N,1
AA,-3
AA,1
AA,-1
L,1
AD,1
AC,1
AK,1
AA,-1
AC,-2
AA,-1
O,1
AC,3
K,1
AA,-1
AC,-1
AH,1
AA,1
AK,-1
AD,-1
F,1
F,-1
H,-1
AA,1
AA,4
P,-1
AI,-2
AI,-1
AA,-3
AI,1
H,2
AI,2
F,3
AC,-1
F,-3
AD,1
H,-1
AI,-2
AI,-1
AK,1
AA,-1
AA,1
P,1
AC,2
O,-1
AA,-3
AA,5
G,1
O,1
D,1
AA,-2
AI,3
G,-1
AA,3
D,-1
AA,-2
AJ,-1
AA,-4
AC,-1
AI,-3
AA,4
AI,3
AI,-3
K,-1
AC,-1
AD,-1
D,1
AK,-1
AK,1
P,-1
P,1
G,1
K,1
A,-4
A,4
K,-1
A,-6
G,-1
B,-4
A,1
H,1
AE,-1
N,-1
AP,-1
AO,1
B,2
AA,-3
B,-1
AG,-1
AI,1
AC,-1
AO,-1
H,-1
D,-1
AQ,-2
AQ,1
AO,2
H,-1
B,2
AO,-2
B,1
B,-2
AC,1
AQ,-1
B,-1
M,1
AC,-1
AI,2
AI,-3
A,-1
AI,3
AH,-1
AM,-1
K,1
H,1
AA,-1
AP,1
M,-1
AQ,1
AA,2
AA,-2
AJ,1
AA,1
B,1
K,-1
AC,2
AC,-1
AC,-1
B,2
AQ,1
AQ,-1
A,1
AA,1
U,-1
D,1
H,1
K,1
B,-3
AC,2
AA,1
B,-1
AE,1
U,1
AE,-1
B,4
AK,-1
B,-2
AA,-3
D,-1
AM,1
I,-1
AA,3
AC,-1
AA,-6
AK,1
AA,5
AJ,-1
AA,1
AQ,-1
H,-1
AH,1
D,1
AJ,1
I,1
AE,1
M,1
B,-2
M,-1
A,-1
P,-1
AE,-1
M,1
B,1
AI,-2
AI,2
H,1
M,-1
B,-1
B,3
U,-1
A,1
AK,-1
A,-1
AE,1
AR,-1
B,-1
U,1
AQ,1
AJ,-1
H,-1
AJ,1
AI,-2
B,2
A,1
H,1
B,-2
AI,1
AD,1
AQ,1
K,-1
AA,-1
AJ,-1
AD,-1
AR,1
B,-2
B,2
B,-2
B,2
K,1
AC,1
AG,1
AA,1
AI,-2
AK,1
P,1
AG,-1
AA,-6
AJ,1
AA,2
AI,3
AA,-2
AC,1
AI,-1
AA,5
AB,1
B,2
AA,-4
D,-1
AA,-1
AA,1
AE,-1
B,-1
AA,2
AQ,-1
AI,1
AH,-1
O,-1
AA,2
AA,-4
AF,-1
AQ,1
AA,-1
AM,-1
AF,1
A,-1
AA,3
M,1
AA,2
M,-1
AF,-1
M,1
H,-1
AQ,-1
H,1
AE,2
AH,-1
AA,-2
AA,1
AA,-1
B,-1
B,2
H,-1
AE,-1
AM,1
B,-3
B,1
AA,3
M,-1
AH,1
AA,-3
B,1
H,1
B,1
