car,move
L,1
AF,-1
G,-1
AN,-1
AJ,-1
L,-1
AJ,1
F,1
AB,-1
AG,1
J,2
AL,-1
AM,-1
AO,-2
J,-2
J,1
J,2
AC,-1
AJ,-1
J,-1
AJ,1
H,1
AC,-1
J,-1
H,-1
AO,1
AA,1
J,2
L,1
AO,-1
AA,-2
E,1
AA,3
AC,2
AA,-3
AA,3
L,-1
AO,2
AA,-3
AJ,-1
AA,1
AM,2
AA,-1
J,-2
AL,2
AJ,1
AC,-1
J,-1
AG,-1
L,1
AL,-2
AG,1
AK,-1
AK,1
L,-1
AG,-1
J,2
AC,1
AM,-1
AH,2
AO,-1
AH,-2
E,-1
P,1
AG,1
AH,2
AA,1
AI,-3
AC,-1
H,1
AI,2
AA,1
AE,-1
H,-1
P,-1
AI,-2
AO,1
P,1
P,-1
AN,1
J,-2
H,1
AI,2
J,2
AI,-2
P,1
AE,2
H,-1
F,-1
W,1
AA,2
AD,1
AA,-3
W,-1
J,1
P,-1
G,1
AA,2
AA,-2
AE,-1
AA,1
AF,1
O,1
G,-1
AA,2
AG,-1
AQ,-1
O,-1
AI,1
AQ,1
N,-1
U,-1
AD,-1
AG,1
AD,1
AI,2
U,1
AI,-3
AA,-2
L,1
AA,-1
O,1
AA,1
AA,-2
L,-1
AA,4
O,-1
L,1
AC,-2
AC,3
U,-1
H,1
AF,-1
AI,3
H,-1
AE,2
AI,-1
W,1
AI,-1
W,-1
L,-1
AI,-1
J,-2
W,3
AE,-1
AA,-3
J,-1
W,-2
J,3
W,-1
W,1
H,1
AB,1
J,-1
S,1
J,-1
AI,1
S,-1
J,1
AB,-1
AA,2
AA,1
H,-1
AC,-2
AI,-1
W,1
P,1
P,-1
W,1
AA,-3
W,-2
W,2
P,1
AA,-2
AA,2
J,1
AA,3
J,-1
J,-1
J,-1
AD,-1
AK,-1
Y,-1
AG,-1
AE,-2
U,2
S,1
AN,-1
AK,1
M,1
AC,1
U,2
S,-1
AG,1
U,-1
AK,-1
AM,1
P,-1
AG,-1
U,2
AK,1
AC,-2
AQ,-1
AC,1
U,-1
U,-2
L,1
AE,1
AC,2
AM,-1
P,1
M,-1
AC,-2
N,1
L,-1
N,1
H,1
J,2
N,-2
AC,2
AB,1
AN,1
P,-1
U,-2
J,-2
AG,-1
AB,1
AB,-2
L,1
Y,1
AC,-1
S,1
P,2
AD,1
AC,-2
AQ,1
S,-1
AG,1
AF,1
S,1
AB,1
Q,1
AB,-1
AC,1
P,-2
L,-1
