car,move
AA,-1
AA,1
L,1
P,1
P,1
O,1
AQ,-1
L,-1
AA,-2
D,1
AA,1
L,1
D,-1
P,-2
H,-1
L,-1
AJ,-1
H,2
AJ,1
O,-1
AA,1
AA,-1
J,3
G,-1
N,-1
M,1
L,1
P,1
AA,-1
AQ,1
AB,-1
AF,-1
H,-1
AL,-1
AJ,-1
AN,-1
AB,1
AA,2
AM,-1
M,-1
AM,1
AJ,1
N,1
AN,1
AH,1
F,1
AA,-2
AQ,-1
AQ,1
F,-1
AM,-1
AM,1
F,1
AQ,-1
F,-1
AH,-1
AA,1
AL,1
AA,-1
AF,1
G,1
H,1
AL,-1
O,1
D,1
D,-1
O,-1
AM,-1
AJ,-1
AB,-1
AC,-2
AC,-1
O,1
AK,-1
AK,1
K,1
AK,-1
AA,1
AJ,1
AK,1
D,1
A,-5
B,-2
AA,-3
AA,1
AA,-2
B,-3
B,4
AM,1
B,1
A,5
AH,1
AA,1
AK,-1
AA,2
AJ,-1
A,-4
AK,1
K,-1
A,-1
B,-1
AC,2
D,-1
AD,1
AL,1
A,1
B,-1
AC,1
H,-1
AC,-3
AB,1
B,-1
B,1
B,1
AK,-1
O,-1
B,-2
A,-1
H,1
H,-1
AL,-1
K,1
B,1
B,1
AJ,1
A,1
AQ,-1
B,-1
AM,-1
O,1
AA,1
O,-1
B,-1
I,-1
O,1
H,1
H,-2
H,2
B,1
A,-2
I,1
A,1
AA,-3
B,-1
AR,-1
AQ,2
AJ,-1
AJ,1
AA,3
G,-1
AQ,-2
AA,-4
A,-1
I,-1
F,1
F,-1
N,-1
AR,1
AB,-1
A,1
O,-1
O,1
AQ,2
A,-1
P,-1
H,1
AQ,-2
N,1
K,-1
AD,-1
H,1
AH,-1
AM,1
AJ,-1
N,-1
AM,-1
U,-1
AM,1
L,-1
B,1
AQ,2
H,-1
AB,1
AG,1
J,-3
AH,1
P,1
L,1
L,-1
D,1
AE,-1
P,1
AP,-1
B,-1
AP,1
P,-2
D,-1
O,-1
AE,1
AJ,1
AH,1
AJ,-1
AB,-1
AC,2
AR,-1
AI,-3
U,1
AC,-2
J,3
AC,2
L,1
L,-1
L,1
N,1
AF,-1
N,-1
H,-1
AG,-1
H,2
AC,-1
H,-1
AI,3
H,1
AD,1
AC,1
N,1
G,1
AG,-1
AG,1
AQ,-1
AI,-1
AC,-1
B,1
AQ,1
AQ,-2
P,1
H,-1
AE,1
AD,1
A,1
AI,-1
AI,2
K,1
A,1
A,-1
H,1
H,-1
AA,2
AA,3
K,-1
H,-1
H,2
P,-1
B,-1
AJ,1
L,-1
AR,1
H,-3
AJ,-1
AI,-3
AD,-1
J,-3
J,2
J,-3
J,4
AD,-1
W,2
A,-1
AJ,1
W,1
H,3
W,-1
H,-3
A,2
H,2
H,-1
J,-2
J,-1
J,-1
L,1
AD,1
AD,-1
H,1
AK,1
A,-2
H,1
W,1
AE,-2
AG,-2
A,2
B,1
B,-1
AG,2
AG,-1
Y,-1
S,1
AK,-1
P,1
K,1
AQ,1
AR,-1
U,3
H,-1
U,-3
U,4
Y,1
AA,-3
AG,1
A,-1
AA,-1
AA,4
AA,-5
AF,1
P,-1
H,-1
AC,-1
AC,1
Q,1
P,1
A,-1
AC,-1
Y,-1
A,2
AC,1
AA,3
AA,-2
AA,3
AA,1
N,2
AQ,-1
G,2
A,-1
A,-1
AR,1
I,1
AA,-3
I,-1
H,2
G,-3
AA,3
G,3
U,-1
G,-2
U,-1
AA,-1
AQ,1
M,1
AR,-1
M,-1
G,2
P,-1
A,1
F,1
AA,1
O,1
AR,1
A,-1
AK,1
F,4
G,-3
E,1
AC,2
B,1
K,-1
E,4
N,-1
A,1
AQ,1
Q,-1
Q,-1
B,-1
AQ,-1
U,-1
L,-1
AB,1
R,-2
AB,-1
AE,1
AB,1
M,-1
B,1
R,-1
S,-1
Q,1
T,-2
X,1
AB,-1
N,-1
L,1
P,1
X,-1
L,-1
AC,-1
AA,-2
T,-1
B,-1
T,2
C,1
E,-3
B,1
E,1
E,2
R,1
S,2
E,-1
AA,1
C,-1
AD,1
AA,-1
E,-2
AK,-1
B,-1
O,-1
AK,1
X,-1
C,1
AA,2
S,-2
B,1
S,2
X,1
AC,-1
AA,-1
AJ,-1
P,-1
G,1
R,-1
O,1
S,-2
P,1
F,-2
R,1
U,-1
P,1
Y,1
AC,-1
A,-1
AK,-1
AQ,1
H,-1
AC,1
A,2
AC,1
AR,-1
AA,-1
AA,2
AA,-1
P,-2
P,1
X,-1
AD,-1
AG,1
AC,-1
AE,-1
AC,-1
J,2
T,-1
J,1
T,2
J,-3
AB,1
R,-1
V,1
F,1
A,-1
AJ,1
J,2
C,-1
AJ,-1
X,1
S,1
J,1
G,-1
V,-1
X,-1
E,1
O,-1
S,-1
R,1
AE,1
J,-2
X,1
B,-1
S,1
J,3
J,-1
R,-1
E,-1
AA,-1
