car,move
AQ,-1
H,1
AB,-1
AL,-1
H,-1
O,1
J,3
AA,-1
AJ,-1
O,-1
AQ,1
G,-1
AP,-1
L,1
AG,1
H,1
AB,1
AP,1
AH,1
AB,-1
AC,-2
F,1
AJ,1
O,1
AC,1
AH,1
D,1
AI,-3
F,-1
N,-1
P,1
H,-1
AA,3
P,-1
AA,-2
AI,2
M,1
AA,-1
D,-1
K,1
K,-1
D,1
AJ,-1
AA,2
AA,-1
AA,-1
AI,-2
AA,1
D,-1
H,1
AC,1
AC,-2
K,1
AA,-1
AE,-1
AI,3
K,-1
H,-1
L,-1
AP,-1
AC,-1
AO,1
AG,-1
AI,-2
J,-3
AI,1
J,1
AK,-1
H,1
AB,1
AQ,-1
AI,-1
AB,-1
AK,1
P,1
AC,2
AI,2
P,1
M,-1
AA,1
P,-1
AI,-1
H,-2
N,1
AQ,1
AE,1
AI,-1
N,-1
AI,1
J,1
AC,1
AO,-1
AA,-1
AE,-1
AO,1
P,-1
AE,1
AC,-3
AI,-1
H,2
AG,1
N,1
AI,1
N,-1
AC,2
H,-1
AG,-1
AQ,-1
H,1
AO,-1
AD,1
AP,1
H,-1
P,1
O,-1
AF,-1
N,1
AA,-1
AC,-2
AC,2
AK,-1
J,1
G,1
AA,1
H,1
L,1
AE,1
G,-1
AA,1
AI,1
AH,-1
AA,-1
AK,1
N,-1
AC,-2
AE,-1
AC,3
AA,-1
AF,1
AD,-1
AH,-1
H,-1
AA,1
AM,-1
AP,-1
AA,-1
AO,2
O,1
O,-1
M,1
AC,-3
O,1
AO,-2
AC,1
M,-1
AP,1
AK,-1
AP,-1
AO,1
H,-1
AO,-1
K,1
AR,-1
AA,-1
AA,2
AH,1
AD,1
U,-1
AA,-2
AA,1
AQ,1
AG,1
U,1
AC,-1
AP,1
AG,-1
H,1
AC,2
H,-1
AD,-1
H,1
AJ,1
AC,-2
AA,-1
H,-1
AA,1
AQ,-2
H,1
D,1
AJ,-1
H,1
AA,-2
U,-1
P,-1
AH,-1
D,-1
AH,1
AR,1
AM,1
U,1
AB,1
AL,1
D,1
U,-1
AA,-1
D,-1
O,-1
AH,-1
AL,-1
AF,-1
AB,-1
AM,-1
AB,1
AB,-1
AQ,1
AE,1
K,-1
AP,-1
U,1
AC,1
AH,1
AO,2
W,1
AK,1
AH,-1
AC,-1
AK,-1
AK,1
U,-1
AC,2
S,1
AM,1
AC,-1
AH,1
AH,-1
AC,-1
AC,3
AC,-2
AH,2
AC,2
AH,-1
AC,-3
AO,-2
AC,3
K,1
AD,1
AO,1
AC,-3
P,1
Q,1
AA,1
AA,3
AD,-1
AB,1
AH,-1
AK,-1
AH,2
AA,-3
AA,1
AQ,1
AQ,-2
H,-1
AI,-2
U,1
N,1
AK,1
AA,2
AI,-1
AA,-2
AQ,2
H,1
AA,2
AD,1
W,1
P,-1
W,-1
H,-1
AI,2
AQ,-2
K,-1
F,1
L,-1
E,1
Q,-1
AQ,2
S,-1
H,1
AI,-1
AI,2
E,-1
AQ,-1
S,1
J,-1
AI,-2
AI,1
AI,-2
AQ,-1
W,1
AD,-1
W,1
E,1
AD,2
J,1
S,-1
AK,-1
J,-2
AO,-1
Q,-1
Q,1
H,-1
AO,1
S,1
P,1
AO,-1
AB,-1
S,-1
E,-1
Y,-1
J,2
AK,1
AQ,1
AD,-1
AQ,1
F,-1
AC,2
P,-1
H,1
J,-1
H,-1
H,1
AK,-1
AO,1
AO,-1
N,-1
AA,1
W,-1
J,-1
AG,1
J,-1
W,1
AR,-1
U,1
AG,-1
N,1
U,-1
J,1
N,-1
J,-1
U,1
H,-1
AD,-1
J,2
AE,-1
H,1
AA,-1
AD,1
AD,-1
AD,1
J,-1
H,-1
J,-1
AF,1
AC,-1
S,1
AC,-1
AO,1
AC,1
U,-2
S,-1
S,1
AQ,-2
U,2
L,1
L,-1
O,1
Q,1
AO,-1
P,2
L,1
K,1
AA,-1
N,1
AC,-1
AQ,1
AA,-1
H,1
AO,3
O,-1
AC,1
AA,-2
G,1
K,-1
AQ,-1
O,1
AQ,1
D,1
AO,-3
AC,-1
K,1
N,1
A,-4
P,-2
Q,-1
AD,-1
AP,1
A,-1
AQ,-1
AQ,1
AE,-1
K,-1
B,-2
S,-1
A,2
A,-2
B,1
A,3
AB,1
AP,-1
P,1
U,3
N,1
B,1
G,1
A,-4
AR,1
G,-2
B,-4
B,4
P,-1
B,-3
A,1
B,3
D,-1
D,1
B,-4
AP,1
U,-2
P,1
P,1
G,3
J,-1
I,-1
AB,-1
G,-1
AB,1
B,2
P,-2
H,1
AP,-1
AP,1
AA,-1
AP,-1
J,1
G,-2
AB,-1
D,-1
AP,1
U,2
AC,2
AJ,1
O,-1
AA,1
M,1
AC,-1
AC,1
AR,-1
P,1
H,-1
P,-1
N,1
L,-1
J,3
U,-1
AC,-1
M,-1
N,-1
AQ,1
AJ,-1
J,-1
S,1
AF,-1
AJ,1
F,1
A,-1
S,-1
S,1
AA,-1
AN,-1
N,1
AQ,-2
H,-1
N,-1
M,1
AJ,-1
N,1
AO,-1
AQ,2
J,-3
J,3
H,2
E,1
E,-1
J,-1
AR,1
AC,1
AR,-1
AA,1
J,2
AC,-2
AA,-1
J,-1
AR,1
AQ,-2
AQ,1
AP,-1
J,1
AO,3
AM,2
AC,2
A,1
H,1
AM,-2
AC,-1
F,-1
AQ,-1
AR,-1
AN,1
L,1
AO,-1
AG,-1
AG,1
AO,1
H,-1
AA,1
AQ,1
H,1
AG,-1
AR,1
L,-1
AG,1
M,-1
N,-1
P,1
N,-1
H,-1
F,1
AK,1
AK,-1
AA,-1
AQ,-1
L,1
K,1
F,-1
H,-1
G,1
H,-1
AQ,1
U,-2
N,-1
AO,-1
AF,1
U,3
H,1
AA,2
U,-4
U,4
AA,2
U,-1
U,-3
I,1
Y,1
AA,2
AO,-1
I,-1
AP,1
AA,-2
H,-1
AC,1
AC,-1
AQ,-1
AE,1
G,-1
Y,-1
O,1
F,1
AC,-1
E,1
H,-1
AA,-1
Y,1
I,1
H,2
AC,1
AD,1
AA,1
AA,-1
C,1
B,1
AA,1
H,-1
AK,1
AC,-1
K,-1
O,-1
AB,1
B,1
K,1
Y,-1
C,-1
C,1
Y,1
C,-1
AP,-1
B,-1
V,1
AP,1
AF,-1
AD,-1
AE,1
S,-1
AB,-1
AD,1
H,1
AP,-1
AC,1
AA,2
AD,-1
AA,-2
W,-1
V,-1
C,1
AA,-1
AQ,2
S,1
H,-1
H,1
Y,-1
AA,3
AA,-5
AC,2
W,1
AD,2
AA,3
AB,1
AA,-3
AD,-1
Y,1
Y,-1
AQ,-1
AB,-1
AA,3
AO,1
AC,-2
Q,1
AC,2
AQ,1
AD,1
K,-1
AC,-1
AK,-1
B,1
AK,1
AC,-1
AC,-1
B,-1
B,-1
AA,1
H,-1
AK,-1
AR,-1
C,-1
AR,1
AD,-2
AQ,-2
C,2
AA,-1
AC,1
AE,-1
C,-1
I,-1
C,1
AF,1
O,1
H,2
O,-1
A,-1
AC,-1
H,-1
AO,1
Y,1
B,-1
AK,1
C,-2
AD,1
K,1
H,-1
H,3
H,-3
I,1
AA,-1
AQ,1
AD,-1
Q,-1
B,1
Y,-1
AO,-1
AF,-1
AB,1
AE,1
U,1
I,-1
N,1
AO,1
AO,-2
AA,1
H,1
H,2
AP,1
AA,-2
A,1
Q,1
N,-1
B,-1
A,-1
H,-2
AA,-1
P,-1
C,1
AD,2
I,1
AQ,-1
U,-1
AK,-1
Q,-1
B,2
A,1
Q,1
U,1
AQ,1
N,1
AA,-1
P,1
P,-1
C,1
P,1
AA,5
A,-2
AA,-2
N,-1
AA,-2
AP,-1
AA,1
AD,-1
AA,2
AK,1
N,1
H,-1
B,1
K,-1
AO,2
K,1
B,-1
AB,-1
AK,-1
AB,1
H,1
AD,1
A,2
AD,-2
AK,1
AE,-2
B,1
AF,1
H,-1
B,-2
AA,1
B,2
AB,-1
O,1
AB,1
AO,-2
D,1
AA,-1
U,3
AQ,1
U,-3
B,-2
AE,1
K,-1
A,-1
B,2
A,-1
C,-1
L,-1
H,1
C,1
A,2
B,-2
AQ,-1
B,-2
AQ,-1
B,4
J,-2
J,1
J,-2
A,-2
A,1
AK,-1
A,-1
B,-2
J,3
B,2
B,-3
B,-1
AP,1
AA,1
N,-1
B,3
B,-2
P,-1
J,-1
AB,-1
AJ,1
H,-1
AQ,1
A,1
AC,2
B,2
P,1
B,-2
D,-1
J,-1
AK,1
AA,-1
B,1
AC,-1
AQ,1
F,1
B,2
AC,2
F,-1
C,-2
Q,-2
O,-1
AC,-1
J,-1
H,1
Q,1
AC,-1
AJ,-1
B,-1
AK,-1
C,1
U,-1
Q,1
Y,1
AQ,-1
V,1
AE,-1
AC,-1
J,3
AP,-1
J,-3
B,-1
AQ,-1
AO,2
AO,-2
AA,1
B,1
AA,-1
B,1
A,1
C,1
P,1
AP,1
A,-1
AQ,2
P,-1
AP,-1
B,-2
I,-1
V,-1
AA,1
AQ,-1
I,1
P,-1
P,1
P,1
I,-1
B,-1
L,1
AP,1
AQ,-1
AE,1
O,1
C,-1
AP,-1
P,-2
AQ,1
AR,-1
J,-1
AD,1
AB,1
A,-1
L,-1
I,1
C,1
B,1
J,2
F,1
AQ,-1
AP,1
J,-2
J,1
B,-1
V,1
H,-1
J,-1
H,1
B,2
AP,-1
H,-1
J,3
