car,move
O,1
AL,-1
AA,-1
H,-1
H,1
H,1
H,-1
D,1
AL,1
H,1
J,2
A,-6
AQ,-1
B,-6
B,6
B,-5
AH,1
AE,-1
B,2
J,-2
A,1
AQ,1
H,-1
H,1
H,-1
AA,1
L,1
P,2
A,-1
AL,-1
AB,-1
B,-2
B,1
AJ,-1
L,-1
J,1
AB,1
H,1
A,2
I,-1
A,-1
AJ,1
I,1
AM,-1
J,-1
B,3
A,2
J,1
P,-2
AM,1
P,2
AG,1
B,-2
AM,-1
I,-1
AA,-1
AG,-1
H,1
P,-1
H,-2
AB,-1
J,-2
H,1
AC,-3
H,2
AJ,-1
AJ,1
H,-2
AB,1
H,1
H,1
AG,1
A,-1
A,1
AA,-1
B,1
H,-1
AM,1
AB,-1
A,-1
AA,1
A,-1
AJ,-1
AC,2
G,-1
AG,-1
AG,1
AH,1
AC,-1
F,1
AE,1
AE,-1
J,1
J,1
B,-2
A,-1
J,2
E,1
AH,-1
P,-1
AA,2
AE,1
J,-4
AC,1
AK,-1
J,2
AC,-1
J,-2
AJ,1
AJ,-1
AD,1
AK,1
AA,-2
AK,-1
E,-1
H,-1
J,2
AK,1
AA,1
AH,1
P,1
F,-1
J,1
B,1
B,1
AC,2
AH,-1
F,1
AL,1
AG,-1
AA,-1
I,1
F,-1
I,-1
A,1
H,1
AA,1
B,-1
P,-1
J,-2
AQ,-1
AP,-1
AD,-1
P,2
B,-1
F,1
AA,-2
B,1
AC,-1
AA,1
AC,-2
AK,-1
AL,-1
B,1
AK,1
B,-2
AA,-1
H,-2
AB,1
H,2
AB,-1
AE,-1
E,1
A,-1
AH,1
A,1
AQ,-1
AB,1
E,-1
B,1
AI,-1
AI,1
AE,1
D,-1
AI,-2
H,-1
AA,1
F,-1
H,-3
AQ,1
AA,-1
AI,1
AD,1
L,1
A,-1
AO,1
AB,-1
I,1
H,2
P,-1
AC,2
AQ,1
B,3
AC,1
B,-3
AC,-2
P,1
J,-1
AQ,-2
AA,1
AQ,2
AQ,-1
AD,-1
A,1
F,2
F,-1
AI,1
AH,-1
F,-1
AC,1
N,-1
AQ,1
H,-1
AL,1
AC,-1
H,1
N,1
H,-1
AK,-1
N,-1
H,2
B,1
U,-1
AA,1
O,-1
K,1
AE,-1
H,-1
A,-1
AE,1
B,1
AA,-1
AL,-1
AC,1
AM,-1
AR,-1
AM,1
AA,-1
P,-1
AF,-1
AQ,-1
AO,2
AA,1
AH,-1
AE,1
AP,1
AA,1
AA,-3
AH,2
B,-1
B,1
J,1
W,1
P,1
AA,1
H,1
AA,1
AH,-2
A,1
B,-2
I,-1
H,1
H,-2
AM,-1
A,-1
AP,-1
J,-1
J,1
A,1
S,1
A,-1
AH,1
H,2
H,-1
U,1
AC,-1
AC,1
AA,-1
I,1
J,-1
P,-1
AM,1
AM,-1
AH,-1
A,1
AA,-3
M,1
AH,1
AP,1
AA,2
AP,-1
AA,1
AA,-2
AA,1
AO,-3
AP,1
Q,1
AA,2
Q,-1
AJ,1
AD,1
AC,-2
B,1
AA,-2
B,-1
AQ,1
Q,1
AA,-2
AC,1
AQ,-2
P,-1
Q,-1
P,2
AR,1
AM,1
K,-1
AM,-1
AQ,1
P,-2
AQ,1
S,-1
AC,1
I,-1
I,1
K,1
AD,-1
B,2
J,1
AA,1
B,1
AR,-1
P,1
W,-1
AA,-1
B,-1
AQ,-1
AA,3
AQ,1
A,-1
AA,1
AH,-1
AC,-1
AH,1
AJ,-1
AA,-3
AD,2
AA,1
AG,1
B,1
AA,-2
P,-1
P,1
P,1
AD,-1
B,-1
AA,1
AA,2
W,1
AJ,1
AM,1
AA,-2
AA,2
AH,1
AH,-1
AJ,-1
P,-1
AM,-1
H,-1
AA,3
AA,-4
S,1
B,1
P,1
Q,1
AC,1
P,-1
AJ,1
AC,-2
AA,1
K,-1
K,1
AM,1
AD,-1
AG,-1
H,1
AH,1
AI,-1
AA,-4
AI,1
A,1
P,1
AA,4
A,-1
AH,-1
B,-1
B,-1
AA,-2
B,-1
AJ,-1
AJ,1
AA,2
AQ,-2
AA,1
AB,1
AJ,-1
Q,-1
