car,move
L,1
AB,-1
K,1
AC,-1
AJ,-1
AF,-1
AQ,-1
AL,-1
K,-1
AL,1
AQ,1
H,1
AJ,1
AE,1
L,-1
AH,1
J,1
J,-1
AJ,-1
AC,1
H,-1
AA,-1
J,1
AB,1
AB,-1
P,1
AD,2
AC,-1
J,-1
AC,-1
G,-1
AC,-1
AP,-1
L,1
AC,2
AA,1
AD,-2
AE,-1
AA,-2
P,1
N,-1
AE,1
P,-1
AO,1
AH,-1
AK,-1
AR,-1
AQ,-1
AH,1
K,1
M,1
AO,-1
AH,-1
K,-1
AC,-2
H,1
AC,1
AC,1
AC,-2
L,-1
AO,3
P,1
J,1
AC,1
AO,-2
AL,-1
AR,1
AR,-1
AA,2
AO,2
AM,-1
W,1
AP,1
AP,-1
AA,-1
W,-1
AC,-1
AO,-3
AC,2
AA,1
H,-1
AO,1
AM,1
P,-1
AH,1
J,-1
AO,2
J,2
AA,-2
M,-1
AO,-3
AD,1
N,1
AO,3
N,-1
AP,1
W,1
J,-1
AA,2
P,-1
AC,-1
J,-1
AL,1
AJ,1
J,2
U,-1
AQ,-1
AJ,-1
W,-1
AQ,1
U,1
N,1
P,1
AD,1
AA,-2
AQ,-1
AD,-1
G,1
AD,1
AL,-1
AP,-1
AO,-2
AO,-1
AA,1
AQ,1
J,-2
AC,1
AL,1
H,1
AO,3
J,2
AA,-1
G,-1
AL,-1
J,-2
AD,-1
AE,-1
G,1
AA,2
L,1
AN,-1
AM,4
AM,-5
AO,-3
P,-1
H,-1
AM,1
AA,-1
AP,1
AA,1
AQ,1
L,-1
AJ,1
J,2
AN,1
AN,-1
AH,1
AD,-1
AI,-2
AG,1
AI,2
AN,1
J,-2
AE,1
H,1
AE,1
W,1
AE,-1
P,1
AA,1
AA,-2
AA,1
P,1
H,-1
AG,-1
AG,1
AA,2
AI,-1
S,1
Q,1
H,1
L,1
AI,-2
AA,-1
AI,3
AA,2
AG,-1
AI,-2
H,-1
AG,1
AI,1
AE,1
K,1
AD,1
AC,-1
P,-2
AE,-1
AI,-1
AI,-1
W,2
AE,1
G,-1
G,1
AE,-2
AF,1
H,1
AA,-3
H,-1
P,2
AJ,-1
Q,-1
AG,-1
O,1
O,-1
P,-1
AF,-1
S,-1
AJ,1
P,1
H,1
AJ,-1
AF,1
AP,-1
G,-1
P,-1
AQ,-1
AA,-4
G,1
V,1
AP,1
AD,-1
AC,-1
AR,1
AC,2
S,1
O,1
AA,2
AP,-1
D,1
Q,1
A,-5
AR,-1
Q,1
Q,-1
A,2
A,3
AC,-1
A,-1
A,-5
AQ,-1
B,-3
V,-1
K,-1
AR,1
A,3
AC,-1
AQ,1
AA,1
AD,1
B,3
H,-1
AR,-1
A,1
A,-4
A,3
H,1
A,-1
AP,1
AQ,-1
Q,-1
AJ,1
Y,-1
A,-2
B,-6
AA,-1
U,1
L,-1
B,6
AD,-1
AE,-1
U,-1
AR,1
AK,1
B,-4
AC,1
A,2
J,1
AJ,-1
AP,-1
H,-1
U,4
J,-2
AO,2
J,3
U,-4
B,1
AO,-1
A,1
U,1
I,-1
AO,-1
J,-3
J,1
P,1
AC,-1
L,1
AO,1
H,2
B,1
K,1
P,-1
U,-1
U,4
A,1
N,2
N,-2
AA,-1
Q,1
U,-3
U,-1
Y,1
AA,2
V,1
A,-1
A,-1
A,1
AO,-1
AA,-5
AO,2
V,-1
AA,3
AA,-2
A,-1
A,2
AC,1
AA,1
AA,3
P,-1
A,-3
AQ,1
H,-2
AE,1
AC,1
AC,-2
H,1
H,1
AK,-1
AO,-2
J,-1
AK,1
V,1
G,-1
AE,-1
F,1
Q,-1
D,-1
A,-1
AC,3
Q,1
B,-1
P,2
AA,-4
AA,1
AO,1
AA,4
F,3
P,-2
AQ,1
E,1
D,1
AO,-1
AG,1
C,1
E,1
B,1
AP,1
B,-1
C,1
R,-2
R,1
R,-1
AA,1
A,-1
AP,-1
AE,1
B,-1
P,1
N,-1
AP,1
A,1
AP,-1
P,1
A,1
AA,-1
AD,1
AA,-2
AC,-3
V,-1
C,-1
X,-1
V,1
AC,3
AA,-1
V,-1
M,1
H,1
F,1
B,1
B,1
AA,3
P,-1
C,-1
X,1
V,1
AB,1
AD,-1
M,-2
Q,-2
AB,-1
AC,-2
AD,1
N,1
X,-2
AA,-2
V,-1
T,-1
AA,3
B,-1
AA,-4
S,1
AA,-1
E,1
T,-1
AK,-1
S,-1
D,-1
AR,-1
AC,-1
P,1
P,-2
V,1
X,1
AR,1
Q,1
Q,-1
T,2
T,-2
AK,1
AP,1
E,-1
X,-1
AP,-1
X,2
S,1
Q,2
AG,-1
AQ,-2
Q,-2
T,1
AD,-1
O,-1
P,1
AB,1
AQ,1
AQ,-1
AE,-1
O,1
B,1
D,1
AB,-1
S,-2
T,1
R,-1
P,1
G,1
AQ,2
B,-3
V,-1
B,3
G,-1
V,1
Q,1
AA,-2
R,1
X,-1
K,-1
V,-1
Y,-1
U,3
AK,-1
AQ,-2
C,1
C,-1
K,1
AK,1
Y,1
N,2
U,1
N,-2
P,-1
AC,1
P,-1
P,1
AA,3
P,1
AA,2
Y,-1
N,-1
Q,-1
N,3
AP,1
X,1
AE,1
F,-1
R,-1
N,1
AD,1
M,1
G,4
M,-1
Q,1
AJ,1
G,-4
B,-1
R,1
C,1
AA,-1
H,-1
N,-3
AK,-1
C,-1
Y,1
K,-1
V,1
AR,-1
AA,2
AJ,-1
R,-1
N,1
T,-2
S,1
N,-2
P,-1
AR,1
P,1
AP,-1
S,-1
B,1
AP,1
B,-1
T,2
AR,-1
AA,-1
N,3
B,1
AA,1
H,1
F,1
AQ,1
AQ,-1
M,2
E,1
AP,-1
AO,2
R,2
F,-1
P,-1
AA,-2
S,1
AQ,1
AA,2
Q,3
H,-1
A,-1
H,1
Q,-2
E,-1
AA,-1
M,-1
AO,-1
AC,-1
C,1
G,2
R,-1
P,1
AR,1
V,-1
AC,2
A,1
AA,1
B,-3
C,-1
L,-1
P,-1
C,2
C,-2
AR,-1
Q,-2
P,1
AR,1
V,1
AA,-2
A,-1
B,1
R,2
V,-1
S,-1
R,-2
X,-2
M,1
B,-2
B,4
G,-2
B,-1
AK,1
G,2
B,-2
A,1
AQ,1
L,1
L,-1
AO,-1
X,1
B,3
F,1
R,1
B,-1
R,-1
AC,-1
AD,-1
B,-2
AC,2
AC,-2
B,2
V,1
Q,1
AP,1
AQ,-2
B,1
R,-1
M,-2
T,-2
L,1
D,-1
T,2
AJ,1
AJ,-1
G,1
X,1
E,1
AA,1
A,1
T,-2
F,-2
X,-1
F,1
S,2
P,-1
AA,1
O,-1
O,1
R,1
AA,-2
AQ,2
Q,-1
E,-1
F,-2
AK,-1
V,-1
AC,-1
F,2
AC,2
K,1
A,-1
AA,-1
F,1
AA,-1
O,-1
Q,2
G,-1
AA,3
A,-1
X,1
AC,-1
AQ,-2
AA,-2
X,-1
P,1
AA,1
AA,-1
Y,-1
B,-1
C,1
AQ,1
AA,-2
S,-1
X,1
A,-1
AF,-1
AC,-1
AQ,-1
AC,1
N,1
AE,-1
G,-1
AE,2
AQ,2
AA,4
K,-1
A,1
S,1
AA,-1
N,-2
AD,1
AE,-1
F,-1
AA,1
AK,1
G,1
K,1
P,-1
AQ,-2
H,-1
S,-1
Q,-1
A,-1
AQ,2
AG,-1
S,1
G,-1
G,1
AQ,-1
AC,2
N,2
Q,1
P,1
AA,1
AG,1
Q,-1
A,2
AD,-1
S,-1
N,-1
G,-2
K,-1
K,1
R,-1
S,1
AC,-1
AJ,1
AD,1
H,1
R,1
N,-2
S,-2
P,-1
Y,1
S,3
R,-1
C,-1
X,1
N,1
P,1
AC,-1
AN,-1
H,-1
Q,1
AM,1
J,1
P,-1
C,1
AC,1
X,-1
N,-2
T,1
AM,-1
N,2
T,-1
X,1
X,-1
C,1
AA,-1
B,1
G,1
P,-1
AC,-2
T,1
C,-1
N,-1
S,-2
AC,3
Q,-1
AC,-3
AM,1
Q,1
V,1
AC,2
V,-1
T,1
C,1
AD,-1
AC,1
Y,-1
P,1
AE,-1
X,-1
B,-1
U,-3
AJ,-1
X,1
U,2
C,-1
A,1
J,-1
R,1
AA,-2
H,1
H,-1
P,1
T,-1
R,-1
R,1
C,-1
T,-1
Q,-2
U,-3
Y,1
T,2
AE,1
Y,-1
P,-1
A,-2
J,1
Y,1
X,-1
T,-2
Q,2
AM,-1
B,1
V,1
Q,-2
X,-1
AA,2
S,-1
AA,1
K,-1
AC,-2
V,-1
AA,-1
L,-1
AQ,1
AA,-1
AO,-1
X,1
V,1
X,-1
J,1
J,2
AP,-1
S,1
G,-1
S,1
X,2
AC,-1
AO,2
Q,3
AM,1
AB,1
Q,-2
H,1
AD,1
L,1
X,1
F,1
Q,3
F,-1
S,-1
L,-1
Q,-2
X,-2
C,2
AQ,-1
AM,-1
AO,-1
AK,-1
AO,1
AQ,-1
B,-1
E,1
T,1
AM,1
AR,-1
W,1
A,1
AI,3
AI,-3
L,1
B,1
AM,1
A,-1
AI,1
L,-1
AQ,1
J,-1
T,-1
S,1
F,1
B,-1
A,1
B,1
A,-2
AA,1
AM,-1
F,-1
Q,1
AO,-1
AA,-1
Q,2
AO,3
AA,1
AO,-3
Q,1
