car,move
O,1
G,-1
P,2
H,1
H,-2
H,1
AB,-1
AG,1
AG,-1
F,2
AA,-1
P,-1
F,-1
J,3
O,-1
AJ,-1
AC,-3
AG,1
AC,2
AC,-1
AA,-1
J,-2
AF,-1
AN,-1
AA,3
J,2
AC,2
AL,-1
AA,-2
AC,-3
J,-3
AC,1
J,3
AK,-1
AA,1
AG,-1
AN,1
AA,-2
AH,1
AA,1
AC,-1
J,-2
E,1
AA,-1
AH,-1
AG,1
AE,2
AR,-1
P,1
AC,1
AL,1
Q,-1
J,-1
AA,2
J,1
P,-1
P,-1
AH,1
AJ,1
P,2
AJ,-1
P,-1
AL,-1
AE,-1
AJ,1
J,2
AR,1
J,-2
AL,1
AE,-2
AF,1
AC,1
Q,1
AE,1
AF,-1
AF,1
AJ,-1
J,1
AD,1
H,1
J,1
AP,-1
E,-1
AP,1
H,-1
F,-1
H,1
AC,-1
G,1
O,1
AD,-1
AH,-1
P,-1
G,-1
F,1
F,-1
H,-2
AA,1
L,1
P,1
N,-1
AH,1
AR,-1
AA,-1
AC,1
AG,-1
AC,-1
AG,1
K,1
N,1
AR,1
AK,1
AE,-1
AP,-1
AO,1
P,-1
AA,-1
AA,1
AC,2
AG,-1
AC,-2
N,-1
AC,2
AG,1
H,2
M,1
AO,-1
M,-1
N,1
G,1
AG,-1
G,-1
K,-1
G,1
H,-2
H,2
AE,1
AO,1
AC,-1
P,1
AH,-1
H,-2
AG,1
H,1
AC,1
O,-1
K,1
AC,-2
K,-1
O,1
L,-1
L,1
K,1
AK,-1
AA,1
AA,-1
H,1
AG,-1
H,-1
AA,-2
AQ,-2
D,1
A,-4
B,-2
K,-1
B,-1
AL,-1
AH,1
A,1
AM,-1
AO,-1
A,-3
AH,-1
A,1
AR,-1
A,2
AH,1
B,2
B,-2
AO,3
I,-1
H,1
AO,-1
A,-3
A,1
B,-2
AC,-1
AA,1
K,1
B,2
AO,1
H,-1
H,3
G,-1
AA,-3
AD,1
B,1
AC,1
B,-2
AD,-1
F,1
AH,-1
P,-1
H,-2
AQ,1
B,2
I,1
B,-1
B,2
AH,1
E,1
AO,-2
AC,1
P,1
AO,1
AA,2
AC,-1
AA,-2
AC,-1
B,-1
AB,1
AO,1
P,-1
AP,1
AH,-1
AM,1
B,1
AB,-1
AA,-1
AL,1
AJ,1
E,-1
E,1
AA,1
B,-1
AA,-2
B,2
AJ,-1
AC,1
AA,2
B,-3
AC,-1
Q,-1
B,3
AH,1
AE,-1
AQ,-1
B,-2
I,-1
P,1
AA,-2
AA,1
P,-1
P,1
K,-1
Q,1
AP,-1
AE,1
L,-1
Q,-1
P,-1
AD,1
AO,-3
AB,1
P,1
H,2
AO,2
B,-1
AL,-1
J,-1
AM,-1
AO,-1
P,-1
J,1
AB,-1
AC,1
B,-1
Q,1
H,-1
B,2
AA,-1
AQ,1
A,-1
E,-1
E,1
Q,-1
AC,1
AO,-1
J,-2
J,1
AO,3
AC,-2
AP,1
H,1
D,-1
H,-3
AP,-1
AO,-1
AM,1
AO,1
AO,-2
AO,2
O,-1
P,1
AD,-1
AM,-1
H,3
AO,-1
P,-1
P,1
H,-1
Q,1
AM,1
AM,-1
A,1
Q,-1
AC,1
AD,1
J,1
AC,1
H,-1
AO,-1
A,-1
J,-2
AO,-1
P,1
AA,1
AO,3
AF,-1
AN,-1
AD,-1
AO,-4
J,-2
J,1
AO,3
AO,-1
AC,-2
AO,1
AA,-1
AO,-2
AQ,-1
AM,1
H,-1
AH,-1
AC,1
AH,2
Q,1
H,2
AD,1
AO,2
AO,1
C,1
A,1
AN,1
L,1
A,-1
AI,-1
AN,-1
A,-1
AP,1
AP,-1
H,-1
AP,1
AA,1
P,-1
H,1
AI,-1
AD,-1
AP,-1
AA,-1
AN,1
P,-1
AO,-3
AR,1
AD,1
AF,1
AO,2
AA,1
AC,-1
P,1
A,2
AO,-2
A,-1
AI,2
H,-1
AO,2
AD,-1
P,1
I,1
AH,-2
AH,2
O,1
B,1
AR,-1
A,1
D,1
AH,-1
K,1
AA,3
K,-1
B,1
AQ,1
AR,1
B,-4
AA,1
AB,1
P,-2
A,-2
B,3
AH,1
P,2
H,-1
B,-2
B,-1
AD,1
B,3
B,-3
H,1
AI,-2
AI,-1
B,2
AO,-1
P,-1
AR,-1
AA,-1
AR,1
K,1
B,2
B,-4
AR,-1
I,-1
AB,-1
H,-1
AA,-1
H,1
AO,2
AO,-1
B,2
AO,1
AQ,-1
AP,1
AI,3
AH,-1
J,-1
H,2
AC,1
AH,1
AA,-3
AI,-2
AA,5
AI,2
AA,-5
P,1
AD,-1
AA,2
AC,-1
A,2
AJ,1
AC,1
A,-1
P,-2
AC,-1
AE,-1
A,-1
AE,1
AH,-2
A,1
AA,-2
AB,1
C,-1
AL,1
AQ,1
AA,1
AJ,-1
P,2
A,1
AL,-1
AA,4
B,-1
B,-1
AJ,1
H,-3
AL,1
K,-1
B,2
B,-1
P,-1
AJ,-1
AA,-1
H,3
D,-1
L,-1
B,1
H,-3
D,1
P,1
E,-1
AQ,-1
I,1
B,-1
D,-1
L,1
P,-1
AP,-1
I,-1
AO,-2
P,1
J,1
J,-1
E,1
P,-1
I,1
L,-1
F,1
AB,-1
I,-1
AL,-1
J,1
P,1
Q,-1
B,1
H,2
AQ,2
AQ,-2
AO,1
A,-1
AM,-1
AR,1
J,-1
AC,1
AQ,1
L,1
B,-1
AK,1
AM,1
F,1
H,-1
AA,2
H,1
P,-1
E,2
P,1
AL,1
AQ,-1
B,1
P,-2
P,2
AK,-1
AL,-1
AL,1
R,-2
AH,1
X,-2
AD,1
E,-1
P,-2
AA,-1
AK,1
X,1
AQ,1
J,1
W,-1
AA,1
AC,1
R,1
K,1
AL,-1
AO,-2
AO,2
W,1
AO,-2
H,-1
AP,1
K,-1
AK,-1
AK,1
R,-1
M,-1
M,1
X,1
A,1
E,1
AK,-1
X,-2
AR,-1
AP,-1
AO,2
A,-1
A,1
E,-1
R,-1
AO,-1
AA,-1
AH,1
N,-1
AA,1
R,2
AO,2
X,1
P,2
AO,-2
J,-1
AI,-2
H,2
AO,1
P,-1
AO,-2
AO,1
R,-1
X,1
AO,2
AP,1
H,-1
R,-1
AI,-1
H,-1
R,2
N,1
E,1
E,-1
G,1
Q,1
AC,-1
H,1
Q,-1
L,-1
P,1
A,1
F,1
AI,1
R,-2
D,1
A,-1
X,-1
G,-1
L,1
J,1
L,-1
AC,1
D,-1
AI,-1
E,1
AI,2
W,-1
AA,-2
R,1
P,-1
E,-1
M,-1
X,-1
T,-2
AI,-2
F,-1
X,1
R,-1
T,1
B,-1
H,-1
AD,-1
AA,1
J,1
J,-1
AJ,1
V,1
AD,1
J,2
Q,1
J,-3
AI,3
AI,-1
AA,-1
E,1
AA,2
AA,-2
R,1
T,1
T,-2
AI,-2
A,-1
I,1
A,1
AI,3
J,3
J,1
Q,-1
X,-1
T,2
AH,-1
A,-1
AL,1
L,1
A,1
