car,move
AA,-1
AG,1
AA,2
AA,1
J,1
O,1
AA,-2
AA,1
J,1
D,1
AJ,-1
A,-1
J,-1
A,-3
A,-2
B,-1
P,2
A,3
A,-1
AB,-1
A,1
A,2
A,-3
A,-2
AA,-1
G,-1
B,-2
AA,-2
D,-1
AH,1
B,3
AL,-1
AH,-1
B,-2
B,1
AH,2
J,-1
AA,2
AB,1
AI,-3
AG,-1
AP,-1
AG,1
AI,1
P,-1
D,1
AB,-1
A,1
F,1
AD,1
AA,-2
E,1
H,1
AI,2
Q,-1
AI,-2
A,-1
Q,1
AA,3
AP,1
H,-1
C,1
AD,-1
AI,2
AC,-1
C,-1
J,3
J,-1
AC,-1
AI,-1
J,-3
B,-2
P,1
J,2
C,1
P,-1
J,2
B,1
A,-1
AP,-1
B,2
AC,1
AO,1
H,1
AC,1
AO,-1
AP,1
B,-4
B,3
B,-2
L,1
P,-1
AC,-2
D,-1
AD,1
D,1
B,-1
P,1
B,2
AP,-1
AC,2
B,-1
B,3
L,-1
J,-3
B,-3
J,3
AI,-2
AA,-3
A,1
AP,1
B,1
AC,-2
AC,2
AI,2
D,-1
B,-1
C,-1
AC,-3
J,-4
AK,-1
H,-2
A,1
AB,1
AI,1
H,1
B,2
AG,-1
L,1
AQ,-1
AJ,1
AQ,1
Q,-1
O,-1
AI,-2
AR,-1
AQ,-2
AA,1
Q,1
Q,-1
K,1
B,-1
P,-1
A,-1
J,1
AI,2
AI,-1
Q,1
P,2
O,1
I,-1
D,1
AI,1
AA,-1
H,2
AH,-1
AL,1
AA,-2
AA,-1
A,1
D,-1
AA,1
Q,-1
AR,1
P,-1
AD,-1
AH,-1
Q,1
AA,1
AR,-1
AQ,1
B,-1
AH,1
AR,1
O,-1
AK,1
AA,-1
Q,-1
AA,1
AJ,-1
AF,-1
AA,2
AB,-1
AL,-1
AD,1
AH,1
AP,-1
AC,3
AD,-1
AA,-3
AA,3
J,-1
A,-1
H,-2
Q,1
J,1
H,2
AO,2
AI,-1
P,1
AE,1
AB,1
AA,1
AA,-1
AI,-1
AE,-1
H,-2
AA,-1
B,1
AN,-1
J,-1
C,1
AO,-2
P,-1
AI,-1
P,1
I,1
AI,1
AP,1
H,1
A,-1
AA,-4
AI,-1
P,-1
K,-1
A,2
C,-1
AD,1
J,1
H,-1
A,-1
I,-1
AM,1
J,-1
C,1
J,1
AI,3
L,-1
C,-1
AD,-1
J,-1
J,2
AB,-1
AB,1
AE,-1
H,2
J,-1
AM,-1
E,-1
AP,-1
AE,1
AE,-1
P,-1
AE,1
J,-1
J,4
AN,1
AE,-1
AG,-2
AI,-3
AQ,1
J,-1
AP,-1
AI,1
P,1
J,-3
J,1
F,-1
AG,1
P,1
AG,-1
G,1
AG,1
AB,-1
AG,-1
AI,1
AQ,-1
AA,1
AP,-1
AI,-1
AI,1
AI,1
A,1
L,1
G,-1
AO,1
AI,-2
A,-1
AI,1
AI,1
J,-1
F,1
AQ,1
P,-1
AP,2
H,-1
AO,-1
K,1
AI,-1
AA,1
AC,-1
AA,1
AG,3
AG,-1
AA,-2
AK,-1
AA,4
AI,-1
AO,1
AQ,-1
AC,-2
AI,-1
AA,-1
AI,1
AQ,-1
H,1
AQ,1
AF,1
E,1
B,-1
AI,2
AK,1
AE,1
A,1
AK,-1
AB,1
AH,-1
AR,-1
AH,1
AF,-1
H,-2
P,1
J,1
AI,-1
AA,-1
AQ,-1
AR,1
AK,1
AQ,2
C,1
AI,1
A,-1
AD,1
A,-1
AI,-3
H,1
A,2
J,-1
AN,-1
AQ,-1
AB,-1
AA,2
AA,-1
AM,2
AK,-1
AQ,-1
H,1
H,-1
AI,3
AC,1
B,1
H,2
AI,-1
H,-2
AO,1
AA,-2
J,1
AC,-1
AI,-1
AK,1
AA,2
H,-1
AI,2
P,-1
AO,-1
AI,-1
K,-1
I,1
AI,-1
AM,-1
B,1
A,-2
AQ,1
AD,-1
AI,1
AC,3
A,1
A,-1
B,-1
AI,-1
AI,-1
AI,2
J,-1
AM,-1
A,2
B,1
AA,1
AO,-1
J,1
AI,-1
P,1
C,-1
AB,1
AM,1
P,-1
AE,-1
B,-2
E,-1
AM,-1
B,1
AQ,1
F,-1
J,-1
AG,1
P,1
J,1
G,1
P,-2
AI,1
B,2
AI,-2
AA,1
AB,-1
B,-2
AI,1
AC,-1
AN,1
AI,1
AI,-2
J,-1
B,-1
AI,2
B,2
AK,-1
G,-1
AA,1
H,1
AF,1
P,2
F,1
H,-1
AI,-1
AE,1
B,-1
AE,-1
J,1
AA,-1
L,-1
A,-1
I,-1
AF,-1
AA,-1
H,2
AG,-2
AQ,-1
H,-2
AP,1
AP,-2
B,-1
E,1
AA,1
AC,-1
C,1
AA,-1
B,1
AP,2
P,-1
AI,-1
AJ,1
AC,-1
L,1
AC,1
AG,-1
H,1
AJ,-1
AJ,1
AG,1
B,-1
AC,-1
AJ,-1
AP,-1
A,-1
A,1
J,-1
H,1
AC,1
AP,-1
AP,1
AE,1
AO,1
P,-1
C,-1
AI,3
Q,-1
AK,1
AI,-1
B,1
AC,1
AI,-2
J,1
AG,1
A,1
AK,-1
AQ,1
AF,1
P,2
AQ,-1
O,1
AK,1
K,1
J,-1
AO,1
F,3
AE,-1
N,-1
AO,-2
AI,1
AO,2
K,-1
H,1
A,-1
E,1
A,1
AA,-1
N,1
AA,1
D,1
E,1
E,-2
AC,-2
N,-1
AK,-1
L,-1
N,1
P,-1
AC,1
B,-2
H,-1
P,-1
H,1
AC,1
G,1
B,1
B,-2
P,2
AC,-2
E,1
AI,-1
L,1
E,-1
AE,1
AO,-2
AC,2
AE,-1
AC,-1
AE,1
AI,2
AA,-1
E,1
H,-1
AO,2
R,-3
B,3
AO,-2
AO,2
B,-3
B,3
G,-1
M,-1
H,1
X,-1
P,-1
AR,-1
AA,1
AO,1
AI,-2
T,-2
W,-1
AI,2
AE,-1
AQ,-1
T,1
AI,-2
Y,-1
AO,-3
AE,1
AA,-1
H,-1
AQ,1
R,1
AC,-1
AE,-1
AR,1
R,-1
K,1
P,1
U,4
AO,1
B,-1
N,-1
AB,1
AE,1
AR,-1
AB,-1
AO,-1
AC,1
AI,2
P,-1
AA,2
T,1
AI,-1
B,1
AI,-1
AO,2
M,2
AO,-1
AQ,-1
B,-2
K,-1
AO,1
AI,1
R,1
R,-1
AO,-1
Q,1
M,-2
AE,-1
B,1
T,-2
U,-3
B,1
AO,-1
