car,move
P,1
J,1
AA,-2
AL,-1
AM,-1
O,1
P,1
P,-1
J,-1
AQ,-1
H,1
D,1
P,1
A,-6
P,-1
A,4
B,-1
J,1
AA,2
J,1
AJ,-1
H,-1
J,-3
AP,-1
AP,1
AM,1
A,-1
AM,-1
AB,-1
A,-2
AM,1
AJ,1
P,1
A,-1
AC,-2
B,-3
AA,-2
I,-1
B,2
D,-1
L,1
AL,1
AH,1
AH,-1
AC,1
A,1
AK,-1
AQ,1
AH,1
A,1
AC,-1
H,3
H,-3
A,-2
AD,1
AA,1
AQ,-2
AR,-1
AA,1
H,1
AA,-1
G,-1
L,-1
L,1
P,-2
L,-1
F,1
L,1
AQ,2
H,1
AL,-1
AM,-1
F,-1
D,1
AM,1
B,-2
P,1
B,1
AH,1
J,1
AC,-1
G,1
P,-1
AR,1
AK,1
AC,1
AA,1
AD,-1
AD,1
A,2
AI,-3
P,2
AK,-1
J,-1
B,-1
H,-1
H,2
AK,1
AK,-1
AI,3
A,-2
AQ,-2
AK,1
H,-3
P,-2
L,-1
J,3
H,3
A,2
AI,-1
AI,1
AQ,1
AI,-2
H,-2
A,-1
I,1
H,-1
I,-1
H,2
H,1
H,-2
AQ,-1
J,-2
P,1
J,3
AK,-1
AQ,2
H,2
B,-1
AA,-1
P,-1
H,-2
AD,-1
B,2
G,-1
B,-1
AQ,-1
J,-2
P,2
AI,-1
AQ,-1
G,1
J,-2
J,2
B,1
AQ,2
B,1
AI,3
AQ,-2
H,-1
G,-1
P,-2
AD,1
I,1
B,1
B,-1
AC,-1
J,-2
D,-1
J,1
B,2
AJ,-1
H,1
AC,1
L,1
N,-1
B,-3
U,-1
AI,-2
B,1
AP,-1
AO,2
AI,-1
B,1
AK,1
AQ,1
B,1
L,-1
B,-3
H,-2
AQ,-1
B,1
AD,-1
L,1
AE,-1
B,2
AO,-2
AE,1
B,-3
B,2
A,-1
AI,2
P,1
AI,-2
P,1
B,-2
AA,-1
H,2
AA,2
O,-1
H,-1
AP,1
J,-1
AA,-1
AQ,1
AQ,1
AQ,-2
AQ,2
AP,-1
AP,1
AQ,-2
AA,-1
H,1
H,-1
L,-1
AJ,1
AI,3
AH,-1
L,1
AJ,-1
AL,1
K,1
H,1
AA,-2
AA,4
A,1
AQ,1
I,-1
AA,-4
A,-1
AJ,1
AK,-1
AD,1
AA,2
O,1
AC,1
AD,-1
B,1
U,1
AL,-1
AA,-4
AD,1
J,1
AA,4
AK,1
M,1
AC,1
AH,1
AQ,1
AG,1
AA,4
M,-1
AA,-2
AI,-3
D,1
AC,-2
H,1
A,1
AC,1
AD,-1
K,-1
AI,3
AH,-2
AC,1
AG,-1
U,-1
AH,1
AH,1
H,-1
AC,-1
AC,-1
AI,-3
AI,1
I,1
AG,1
AA,1
A,-1
AK,-1
A,1
AI,2
B,-2
AJ,-1
I,-1
P,-1
AH,-2
I,1
B,2
AR,-1
AJ,1
AR,1
AA,2
B,2
D,-1
AA,-4
O,-1
U,1
AA,-1
AA,3
AC,1
AJ,-1
O,1
O,-1
K,1
AA,-1
AA,-6
AR,-1
AC,-1
A,-1
AC,1
P,1
U,-1
AA,4
AA,3
U,1
A,1
AC,-1
AA,-2
H,-1
AL,1
O,1
AA,2
AJ,1
AA,-4
U,-1
AA,5
D,1
P,-1
D,-1
AA,-2
P,-1
AA,3
AA,-1
K,-1
AA,-1
AH,1
H,1
B,-3
K,1
U,1
P,1
AL,-1
AA,-1
B,3
AE,-1
H,-2
AA,3
P,-1
B,-1
P,2
P,-2
K,-1
AA,-4
AM,-1
AC,1
P,2
N,1
AA,4
B,-2
AA,-2
H,-1
AR,1
AA,2
AA,-4
AR,-1
AA,1
H,2
AC,-1
AC,1
AG,-1
K,1
B,1
A,-1
AC,-1
G,1
AE,1
H,1
AA,-5
AC,1
D,1
AJ,-1
AA,3
J,-1
B,-1
B,-1
B,-1
J,1
AQ,-1
AA,-3
B,2
B,2
AJ,1
A,3
AD,1
AQ,1
AR,1
AJ,-1
AA,-1
B,1
A,-1
AR,-1
AA,6
A,2
B,-2
AA,-5
AA,2
AR,1
B,1
P,-1
AA,1
AM,1
AC,-1
AJ,1
AK,1
A,-2
AA,2
AL,1
D,-1
AA,-1
K,-1
O,-1
AG,1
AA,2
AA,1
AF,-1
AK,-1
AC,-1
AK,1
AB,1
AA,1
AF,1
AD,-1
H,-1
AE,-1
AL,-1
AE,1
AE,-1
AK,-1
B,-1
AL,1
AB,-1
O,1
B,1
AC,2
H,-1
B,-1
P,1
I,-1
L,-1
AA,-2
AR,-1
J,-1
J,2
AJ,-1
AA,-1
A,-1
AA,1
AA,-2
I,1
P,-1
J,-2
J,4
B,2
AE,1
AR,1
AA,2
AA,-2
AA,-1
AA,2
J,-3
B,-2
AK,1
B,-1
A,-1
AP,-1
H,1
B,1
B,1
B,-2
AA,-2
AH,-1
L,1
H,-1
A,2
AK,-1
B,2
AR,-1
AO,1
B,1
AG,-1
AH,1
AA,2
B,-2
I,-1
AL,-1
H,2
AG,1
O,-1
P,1
AF,-1
K,1
AA,-6
AN,-1
AM,1
AM,1
AH,1
AR,1
AR,-1
AH,-2
P,-2
A,-2
AC,-2
G,-1
AH,2
AI,-2
AM,-2
AO,-2
P,2
AO,2
F,1
E,1
AO,-2
H,-1
AO,2
AC,2
AE,-1
P,-2
AR,1
AN,1
AR,-1
P,1
AI,1
AG,-1
AC,-2
AR,1
H,1
AQ,-2
AG,-2
AI,-1
AK,1
Q,-1
P,1
H,-1
AQ,1
AB,1
P,-1
AQ,-1
Q,1
A,1
AP,-1
P,-1
P,1
AI,2
AQ,2
AQ,-1
Q,-1
I,1
I,-1
AO,1
A,-1
AK,-1
AB,-1
AO,-2
AQ,-1
AB,1
AP,2
AI,-2
J,-1
AP,-1
AK,1
AK,-1
AQ,1
K,-1
AI,-1
J,1
AI,1
AQ,-1
AI,-1
AR,-1
H,2
AI,1
AP,1
AP,-1
AO,3
A,1
P,1
AB,1
AO,-3
AS,-3
AQ,2
AQ,-2
Q,1
AS,2
P,-1
AS,-1
AS,-1
Q,-1
AO,1
J,-1
P,-1
AK,-2
H,-1
AG,1
AB,-2
AR,-1
AI,1
AP,-2
AQ,-1
AI,-2
I,1
AQ,-1
AJ,1
AQ,-1
AI,2
AJ,1
AK,-1
AA,1
AR,-2
AQ,1
B,1
AO,1
AO,-1
P,1
Q,1
B,-1
B,1
AI,1
AJ,-2
B,-2
I,-1
AJ,2
AJ,-2
AH,-1
Q,-1
H,1
AQ,3
AO,-1
AR,4
AO,1
AJ,1
AK,2
AQ,1
AQ,-3
AR,-1
AJ,1
AM,-1
AK,-2
AJ,-1
AM,1
H,1
B,1
AE,1
AQ,3
L,-1
AH,1
AE,-1
A,-1
AK,-1
AO,-1
A,1
AR,-1
AQ,-4
AR,-1
AG,-1
AI,-1
AO,3
AO,-3
AR,2
AI,1
AI,-1
Q,1
AR,-4
AO,2
AA,-1
H,-2
I,1
AK,-1
AQ,1
H,-1
B,1
P,1
AR,5
AJ,-1
AJ,3
E,-1
AO,-1
AJ,-3
AR,-4
AJ,3
AO,2
B,-1
I,-1
P,-2
AI,-2
AR,-2
AI,3
A,-1
AJ,-2
AR,4
E,1
AK,1
I,1
B,1
AK,1
AO,-1
AG,1
B,-1
Q,-1
AK,2
AJ,-1
AK,-4
AQ,1
AR,-2
AO,-2
AK,2
AI,-2
AQ,-1
AR,1
AG,-1
AJ,2
J,2
AJ,-2
AQ,2
AQ,-4
AO,1
AI,1
AI,1
AQ,4
AP,2
AR,2
A,1
J,-1
A,-1
AR,-2
H,1
AO,2
AO,-2
AR,2
AQ,-2
L,1
AQ,2
AG,2
AQ,-3
AQ,3
AR,-3
AO,2
Q,1
E,-1
E,1
P,1
AC,1
AG,-2
AG,1
A,1
AG,-1
Q,-1
Q,1
AR,1
P,-1
J,-1
B,1
AQ,-4
B,-1
B,1
AI,-3
B,-1
AR,-1
L,-1
AG,3
AF,1
J,1
AF,-1
AR,3
H,-1
AI,1
C,1
AI,2
I,-1
AK,3
A,-2
AE,2
AK,-2
AE,1
AI,-3
AC,-1
AD,3
AO,-2
AR,-1
A,1
AI,3
AI,-2
A,-1
AD,-2
AR,-1
AD,2
AO,2
AP,1
AC,2
AI,1
AK,-1
AJ,1
AJ,-1
AJ,2
AR,1
A,2
AJ,-2
AR,-1
AK,1
H,1
AD,-3
AK,-2
AI,1
AI,-3
AK,1
H,1
AR,2
AK,3
AK,-2
W,3
L,1
H,-1
AJ,1
S,1
AE,-2
AG,-1
AF,1
AE,-1
H,-1
AK,2
S,-1
Y,-1
L,-1
U,1
J,3
O,1
AJ,1
J,-3
AJ,-1
AK,-4
AC,1
AJ,1
AK,2
U,2
N,3
J,2
J,-3
S,1
H,-1
J,2
N,-1
I,1
J,-2
AB,1
I,-1
N,1
N,-1
M,1
I,1
AJ,-1
Q,1
Y,1
AK,-3
AK,2
AJ,1
H,1
AJ,-1
AJ,1
AJ,-2
H,-1
Q,-1
V,1
I,-1
H,3
F,1
U,1
E,1
AP,-1
AG,1
A,-1
U,-1
C,-1
A,1
F,1
F,1
F,-1
Q,-1
E,1
AO,-3
S,-1
AG,1
AO,1
R,-2
AO,-1
F,1
R,-1
R,2
V,-1
AO,2
AK,-2
X,-1
A,-1
O,-1
AR,1
AK,2
AK,-2
X,-1
AG,-1
AO,-1
R,-1
AO,1
V,1
X,1
AO,-1
U,1
M,-2
O,1
AO,-1
E,-1
T,-2
A,1
AE,1
AO,2
AG,-1
E,1
AB,-1
E,-1
AC,-2
AQ,1
AK,2
AC,-1
V,-1
X,2
N,-2
AR,-2
AK,2
AQ,2
AQ,1
AO,1
AC,2
X,-2
O,-1
T,1
P,1
S,1
J,4
N,-1
AO,-3
P,-1
J,-3
J,1
AK,-1
A,-1
AE,-1
S,1
AK,1
J,-2
H,1
S,-2
N,2
AP,1
Y,-1
S,3
X,-1
N,-2
A,1
R,-1
X,2
AK,-2
Y,1
V,1
Q,2
AC,1
S,-1
S,1
AC,-1
C,2
AC,-2
S,-1
P,1
S,-1
V,-1
S,2
AQ,-3
AQ,3
S,-2
T,1
AP,-1
AO,3
M,1
M,-1
AQ,-2
C,-2
Q,-1
Q,1
AR,-2
C,1
AC,1
AO,-2
O,1
L,1
AO,1
C,-1
AE,1
T,-1
AO,-2
AD,1
X,-1
AQ,1
AR,4
K,1
K,-1
X,1
N,3
Q,-1
E,1
AR,-4
F,-1
N,-1
AO,2
T,1
M,1
H,-2
M,-1
E,-1
E,1
M,1
M,-1
AR,2
AR,-2
AD,-1
AQ,-1
P,-1
P,1
Q,1
Q,-1
N,-1
N,1
P,-1
AQ,-1
AO,1
AR,3
H,1
Q,1
V,1
AO,-1
M,1
H,1
E,-1
F,2
M,-1
L,-1
AG,1
N,-2
D,1
AO,-1
P,1
AR,1
N,1
N,2
N,-3
C,1
N,1
AC,-1
C,1
AK,1
AK,-1
L,1
AK,3
P,-1
K,1
AK,-2
T,-2
C,-1
AD,1
T,1
G,1
V,-1
A,1
AO,1
AA,1
B,-1
AA,1
AO,-2
B,-1
AR,-1
T,1
AD,-1
T,-1
V,1
AR,1
S,2
C,1
X,-1
AA,-1
AK,1
AR,-2
AC,1
AR,2
C,-1
V,-1
Y,-1
AC,-1
AG,1
AO,1
P,2
P,-2
AR,-1
B,2
AG,-1
AO,-1
S,-1
D,-1
X,1
C,1
AR,-1
O,-1
AR,2
AO,1
AK,2
AK,-2
AK,-1
AD,1
P,2
N,1
AC,1
N,1
C,-1
A,-1
AR,-1
AG,-1
AC,-1
AO,2
