car,move
AA,-1
AL,-1
AQ,-1
AF,-1
AA,1
P,2
AH,1
AE,-1
AM,-1
AN,-1
AB,-1
P,-1
AB,1
G,-1
H,1
J,2
AJ,-1
P,-1
N,-1
U,-1
H,-1
AE,1
J,-1
AM,2
AA,-1
J,-1
AH,-1
AJ,1
AH,1
AL,1
AH,-1
AA,1
J,1
J,-1
AB,-1
J,3
AJ,-1
AB,1
L,1
AP,-1
AL,-1
AM,-2
AB,-1
L,-1
H,1
AN,1
AP,1
AJ,1
AC,-1
AC,1
H,-1
AB,1
AG,-1
AQ,1
H,1
H,-1
AQ,-1
AA,-1
AB,1
AS,-1
J,-3
AQ,1
J,2
AS,-1
U,1
J,-1
J,2
AQ,-1
AQ,1
AS,1
H,1
AS,1
AQ,-1
P,1
AS,-2
P,-1
U,-1
J,-2
AH,1
AJ,-1
P,2
AB,1
AQ,1
J,-1
AC,-1
H,-1
P,-1
P,-1
AS,1
P,1
U,1
J,2
J,-2
AE,-1
L,1
AC,-1
AK,-1
AM,1
AA,1
AS,-1
AM,-1
AK,-3
AK,1
U,-1
L,-1
AM,1
J,1
AL,1
AR,-2
AR,2
AK,1
H,1
AA,-2
AR,-1
AK,-2
AR,-3
AQ,-3
AA,2
AQ,-1
AR,1
AA,-1
AL,-1
AQ,2
AA,-1
AS,2
AR,3
AS,-3
AQ,-2
AQ,2
AK,4
AG,-1
AQ,1
AK,-3
AL,1
AG,1
AC,2
AQ,1
AC,-1
AK,1
AG,-1
AL,-1
P,1
AG,1
J,-1
H,-1
AM,-1
AR,-2
AR,1
P,-1
AC,-2
AG,-1
H,1
AK,-2
AC,1
AQ,-2
AS,3
AQ,2
AM,1
AA,2
AG,1
AQ,-1
AQ,1
AQ,-2
U,1
J,1
U,-1
AH,1
AA,-2
AG,-1
AQ,1
AQ,-1
AG,1
AS,-2
AR,-3
AI,-3
AE,1
AA,2
AI,3
AI,-3
AR,1
AD,1
AQ,-2
AR,2
AR,-2
AQ,1
AR,-1
AA,-1
AI,3
AQ,1
AS,1
AH,-1
AA,1
AM,-1
AQ,2
AR,1
AS,1
J,-1
AD,-1
AM,1
AC,1
L,1
AD,1
P,-1
AH,1
AC,-1
AD,-1
P,1
AI,-1
AQ,-2
AD,1
AA,-1
AS,-1
AI,1
AQ,1
AA,1
AR,1
AR,1
U,1
AR,1
AR,-4
AD,-1
AA,-2
K,1
H,-1
AR,3
M,1
AK,3
AR,1
AC,1
AI,-1
K,-1
AK,-3
AQ,1
AI,-2
H,1
AE,-1
AK,4
H,-1
AK,-4
K,1
AA,-1
AA,1
AE,1
AS,-2
AK,3
AI,1
AK,-2
AK,3
H,1
K,-1
AS,3
AA,1
AC,-2
P,-1
AI,2
AH,-2
AS,-1
P,1
AH,2
AC,3
L,-1
AC,-1
P,-1
AH,-1
AD,1
M,-1
AA,1
J,3
L,1
AK,-2
AK,2
H,-1
AA,-1
N,1
AC,-1
AC,-1
N,-1
AB,-1
AS,-1
AQ,-4
H,1
AQ,1
AP,-1
AQ,-2
AQ,4
J,2
N,1
P,1
AO,2
AS,1
AQ,-1
L,-1
AM,-1
J,-3
J,-2
AA,-1
P,1
G,1
AK,-3
AS,-2
AK,2
AD,-1
AQ,-1
L,1
AE,-1
AE,1
K,1
AO,-2
AE,-1
AB,-1
AP,-1
AA,-2
AK,-2
AB,-1
AA,2
AK,2
AA,-1
AQ,3
AA,-1
AQ,-1
AC,1
AK,-2
AC,2
AA,1
AP,2
AA,-2
AC,-2
AK,2
AG,1
AA,2
AA,-1
AM,1
AA,2
G,-1
AC,-1
AE,2
AM,-1
AA,-3
AQ,1
AD,2
AP,-1
F,1
AK,1
AK,-3
P,-1
AQ,-2
AO,2
AO,-1
AO,-1
AR,-2
P,-1
AO,1
AM,1
AR,-1
AB,1
P,2
AQ,-1
AQ,1
AQ,1
AH,1
AI,-3
P,-2
AA,1
AI,3
AB,-1
AQ,-1
AO,-1
AO,1
AO,1
AI,-1
AR,3
AO,-1
AD,-2
P,1
AK,2
W,1
AD,1
F,-1
AQ,1
AI,-2
AK,-3
AR,-1
AQ,-2
AR,-1
F,1
AQ,1
AR,-1
AD,-1
AQ,-1
AB,1
AR,3
AK,4
AQ,1
F,-1
AI,1
AI,1
F,1
AA,2
AO,-1
AK,-3
AK,-1
AA,-2
AR,-3
AD,1
AR,-1
AQ,1
AQ,-2
S,1
AO,1
AD,-1
AR,3
AQ,3
AA,1
AO,-1
AA,-2
AG,1
AK,3
AA,2
AR,1
AA,-1
AK,1
AK,-1
AG,-1
AK,-1
AG,2
AG,-2
AQ,-1
AR,-2
P,1
AQ,-2
AQ,3
AQ,-4
AI,-2
W,1
S,-1
AQ,1
V,1
V,-1
AQ,3
Y,-1
AP,1
P,-2
AQ,-1
AB,-1
U,1
AQ,1
P,1
S,1
AG,1
AA,2
F,-1
AC,1
AR,2
AJ,1
AC,-1
AE,1
F,1
AK,1
AC,1
AE,-1
AR,-1
AA,-2
U,-1
W,1
AK,-2
AC,1
E,1
AE,-2
AC,-1
AR,-1
U,4
U,-1
AA,-1
U,1
Y,1
N,1
AK,-1
AR,-2
N,1
AA,2
AR,2
AC,1
AG,-3
V,1
AR,-1
AQ,-1
Q,2
AA,-1
AA,2
AR,-1
AJ,-1
AG,1
AC,-1
N,-2
AE,1
N,1
AJ,1
AA,-2
Q,-3
AR,1
AA,1
AJ,-1
AK,1
Q,3
AK,-1
C,1
AK,1
N,-1
AC,-1
AR,3
