car,move
J,2
AQ,-1
AF,-1
AJ,-1
AH,1
G,-1
AD,1
P,1
AD,-1
AA,-2
AD,1
J,1
AL,-1
L,1
K,1
AP,-1
AG,-1
AP,1
AQ,1
AB,-1
AB,1
AQ,-1
AG,1
AJ,1
AQ,1
AL,1
AF,1
F,1
AG,1
F,-1
AA,1
P,-1
K,-1
AA,1
L,-1
G,1
AF,-1
AJ,-1
AA,1
L,1
AE,1
K,1
W,1
AA,-2
AJ,1
AL,-1
H,1
AH,1
S,1
AH,-1
AE,1
AA,1
P,1
P,-1
AH,1
AJ,-1
P,1
AA,-4
AA,4
AI,-3
AJ,1
W,1
W,1
Q,1
AJ,-1
AE,-1
V,1
AA,1
AA,-5
V,-1
G,-1
AJ,1
G,1
AA,3
P,-1
AJ,-1
AJ,1
AA,4
P,1
Y,-1
K,-1
U,1
AA,-5
H,-1
AA,2
AD,-1
K,1
G,-1
W,-1
AD,1
AG,-1
AQ,-1
N,-1
N,2
AQ,1
G,1
W,1
AE,-1
K,-1
AN,-1
AD,-1
AQ,-1
AM,1
AJ,-1
AJ,1
G,1
AA,-1
AJ,-1
AB,-1
AC,-3
AE,-1
K,1
AP,-1
AO,2
H,1
G,-2
AC,2
AC,1
U,3
AM,-1
AE,1
AO,-2
AN,1
AD,1
N,1
M,1
AQ,1
AG,1
AC,-1
Q,-1
AA,-3
AP,1
AA,2
AA,-1
H,-1
M,-1
AJ,1
AK,-1
AA,6
G,3
AN,-1
AA,-3
S,-1
G,-3
N,-1
P,-1
AC,-1
AN,1
AA,1
G,1
AC,1
AF,1
G,1
O,1
AA,-2
H,1
H,-1
O,-1
S,1
AK,1
AA,2
O,1
AC,-1
H,-1
H,1
G,-1
N,2
H,-1
S,-1
G,1
AD,-1
H,2
K,-1
N,-1
AA,-1
H,-2
L,-1
L,1
H,2
L,-1
J,-3
N,1
M,1
G,-1
P,1
AD,1
N,-1
M,-1
AA,1
M,1
AK,-1
L,1
Y,1
AR,-1
G,1
AR,1
S,1
AA,-3
P,1
AG,-1
K,1
AQ,-1
AC,-1
AA,-1
AQ,-1
AQ,1
H,-1
H,-1
M,-1
AC,2
M,1
