car,move
H,1
P,2
AQ,-1
AB,-1
L,1
O,1
AC,-2
G,-1
F,3
AK,-1
AQ,-1
AK,1
E,1
E,-1
AK,-1
P,-1
AA,-1
F,-1
AK,1
F,1
AA,-1
F,-2
F,1
AC,-1
AB,1
F,1
E,2
E,-1
E,1
AL,-1
G,1
AB,-1
AL,1
AQ,1
AQ,-1
L,-1
AH,1
J,2
R,-3
AA,1
AE,-1
AK,-1
AQ,1
AR,-1
M,-1
R,1
AE,1
AQ,1
AA,-1
R,-1
J,1
AQ,-2
C,1
T,-1
X,-1
J,-2
AC,1
T,1
AH,-1
R,1
J,1
AR,1
T,-2
G,-1
X,2
AR,-1
X,-1
J,1
E,1
C,-1
J,-2
J,1
T,2
M,1
E,-1
M,-1
F,-1
J,-2
L,1
L,-1
H,-1
X,-1
AA,2
X,1
X,-1
T,-1
AR,1
AQ,2
AG,1
AA,3
AA,-3
C,1
H,1
AA,-2
J,3
F,1
AA,4
J,-3
J,2
AC,-1
J,1
AC,2
AA,1
F,-1
H,-1
H,1
H,-1
AG,-1
P,-1
AC,-2
H,1
T,-1
R,-1
J,-3
T,1
AQ,-2
AQ,1
AC,1
H,-1
R,1
H,1
AC,1
J,2
AQ,1
AC,-2
J,-2
H,-1
AQ,-2
AQ,1
J,1
AC,1
AQ,1
AQ,-1
R,-1
P,2
T,1
AC,-1
T,-1
AQ,1
AH,1
R,1
AC,2
J,-1
AG,1
AA,-5
T,1
AA,4
C,-1
L,1
AC,-1
AA,1
P,-1
AE,-1
X,1
AK,1
C,1
AA,-2
L,-1
AJ,-1
T,-2
AE,1
J,3
X,-1
W,-1
AC,2
AH,-1
Y,-1
C,-1
AA,-2
AA,-1
AG,-1
AG,1
R,-1
Y,1
T,2
C,1
AJ,1
T,-1
AC,-2
R,1
Y,-1
AA,4
AA,-2
T,1
AG,-1
AH,1
AQ,-2
P,-1
L,1
T,-1
L,-1
AE,-1
AJ,-1
AA,-1
J,-2
AA,1
AK,-1
T,-1
AP,-1
AQ,2
AK,1
AC,1
AG,1
R,-1
AG,-1
AE,1
AK,-1
C,-1
Y,1
AA,-1
C,1
H,1
H,-1
AO,1
R,1
AE,-1
AK,1
W,1
AG,1
AC,1
AC,-3
X,2
AO,-1
AO,1
R,-1
AB,1
C,-1
P,1
H,1
AA,-1
F,1
AK,-1
X,-2
T,2
R,1
E,1
AL,-1
AG,-1
T,-2
AQ,-1
AE,1
AH,-1
J,1
E,-1
AA,1
AB,-1
AH,2
T,2
AA,-1
AA,1
AI,-3
AA,-1
AB,1
AO,1
J,-2
AD,1
AA,1
AI,1
AK,1
AB,-1
AO,-2
R,-1
X,1
AQ,-1
F,-1
Q,-1
AO,2
T,-1
J,3
F,1
AA,-1
N,-1
AA,1
J,-1
AI,-1
J,-2
R,1
AQ,1
AI,1
T,-1
T,1
J,3
T,1
AO,-1
AQ,-1
AO,1
T,-1
AA,-1
AI,2
N,1
J,-1
AO,-2
E,1
T,-1
AB,1
AK,-1
AQ,1
T,1
X,-1
AD,-1
W,-1
AK,1
AQ,1
E,-1
AO,1
AH,-1
AM,-1
AB,-1
AH,-1
Y,-1
U,1
G,1
AC,3
AO,-1
AC,-3
N,1
