car,move
H,1
O,1
H,-1
D,1
A,-5
AH,1
B,-3
B,-1
B,-1
L,1
J,-1
L,-1
J,4
B,1
B,4
P,1
B,-3
J,-3
AA,-1
AQ,-1
A,1
P,-1
AH,-1
P,2
AJ,-1
P,-1
J,3
L,1
B,-1
AH,1
AP,-1
B,1
A,-1
AH,-1
P,-1
AQ,1
B,3
B,-1
AA,1
K,1
AB,-1
A,2
AC,-2
AO,1
A,2
AQ,-1
AQ,-1
AQ,1
AK,-1
AC,1
A,-2
H,1
AL,-1
A,-1
AC,-1
P,1
H,-1
AM,-1
AM,1
B,-1
H,1
AA,-5
A,2
AM,-1
I,-1
A,-4
AA,3
AO,1
H,-1
AK,1
A,3
AH,1
A,-2
B,-2
B,1
AD,1
A,2
AO,-1
AO,-1
AC,2
AC,-3
AQ,-1
H,2
H,1
H,-1
AB,1
A,-2
A,-1
H,-1
AO,2
A,1
H,2
AK,-1
A,-1
D,-1
H,-4
A,1
I,1
B,2
K,-1
H,1
AO,-1
AK,1
D,1
AM,1
G,-1
AH,1
AO,-1
AD,-1
G,1
AP,1
AK,-1
AH,-1
K,1
A,1
AA,-1
B,1
A,-2
A,1
AA,1
A,4
AM,-1
AQ,1
AE,-1
A,-4
B,-1
G,-1
AM,1
AL,1
AA,-1
AK,1
AK,-1
B,1
F,1
F,-1
B,-4
B,1
AB,-1
H,1
AA,2
AA,-2
AR,-1
AQ,1
B,1
AG,1
B,1
AR,1
AA,-2
AB,1
B,-1
AP,-1
AR,-1
B,1
D,-1
P,-1
AA,-1
H,-3
AE,1
P,1
AO,1
AG,-1
P,-1
AA,2
AD,1
AQ,-1
A,-1
AQ,1
B,1
P,1
AB,-1
B,-3
B,3
AA,2
K,-1
AC,2
B,-1
H,3
F,2
AC,-1
AQ,-2
AQ,2
F,-2
AO,-1
AQ,-1
A,1
B,-1
AC,1
AO,3
AO,-3
AC,-1
AC,-1
G,1
G,-1
H,-3
AA,1
AB,1
AB,-1
K,1
A,-1
AD,-1
H,1
AA,-2
AR,1
B,2
G,1
A,2
AR,-1
AO,2
B,-3
AQ,-1
I,-1
A,-2
AD,1
A,1
AA,2
G,-1
P,-1
H,-1
A,-1
AL,-1
AO,-1
AR,1
A,1
AM,-1
P,1
AM,1
AQ,2
AA,-1
AC,2
A,-1
AM,-1
AG,1
AA,-2
AC,-2
I,1
AG,-1
AA,2
H,2
F,1
AK,1
F,-1
AO,-1
N,-1
K,-1
B,3
AQ,-1
AQ,-1
AM,1
AM,-1
AM,1
AP,1
AM,-1
N,1
AC,1
AP,-1
H,1
H,-3
AA,2
A,1
AK,-1
H,2
F,1
AD,-1
AD,1
B,-2
AR,-1
AR,1
K,1
AK,1
E,1
AO,1
H,-1
AA,-2
AM,1
H,1
AA,-1
H,-1
AO,1
AO,-1
AH,1
B,2
H,2
AQ,1
F,1
F,-1
O,-1
AK,-1
AQ,-1
AO,1
Q,-1
AA,-2
O,1
AD,-1
AD,1
AR,-1
B,-2
AH,-1
AA,4
B,1
AD,-1
AQ,1
H,-1
AA,1
AA,-3
AC,-1
D,1
AO,-2
AE,-1
AH,1
AO,1
AB,1
AB,-1
AA,1
AI,-2
AI,-1
K,-1
AA,1
L,-1
Q,1
AR,1
J,-3
AI,1
E,-1
A,-1
B,-1
AQ,1
AO,-1
AI,2
B,1
AI,-3
P,-1
D,-1
AE,1
H,-1
B,-2
AQ,-1
AO,2
AQ,-1
B,1
A,1
B,2
AO,-1
AD,1
H,1
P,1
O,-1
J,1
H,1
B,-3
AI,1
J,2
J,-3
A,-1
AD,-1
J,1
J,-2
AO,-1
AB,1
P,1
F,-1
P,-1
AI,2
AI,-2
F,1
J,4
AB,-1
AQ,2
AF,-1
AE,-1
AF,1
J,-4
AC,1
AP,1
H,-1
O,1
E,1
AC,-1
AC,1
AP,-1
F,1
L,1
Q,-1
I,-1
P,1
AA,-1
AO,1
AE,1
B,1
AK,1
H,1
H,1
AQ,-1
J,1
B,-1
AI,-1
H,-2
J,-1
E,1
R,-2
Q,1
H,3
AC,2
AI,2
R,1
F,3
R,1
E,3
AB,1
AI,-1
E,-2
E,1
Q,-1
AI,1
K,1
AI,1
AA,1
AB,-1
R,-1
AH,-1
AC,-1
R,-1
P,-2
E,1
M,-1
AA,1
AH,1
AO,-1
E,-3
T,-2
AK,-1
D,1
AO,1
F,-1
F,1
AA,-1
X,-2
X,3
D,-1
AI,-2
AI,-1
F,-3
AA,1
AA,-1
H,-3
AK,1
AQ,1
AC,-2
P,1
H,1
H,-1
Q,1
B,1
J,1
J,-1
AD,1
AG,1
AD,-1
AI,2
B,-1
X,-2
AB,1
J,1
H,1
X,2
AA,-1
F,1
H,1
AE,-1
B,1
J,-1
AO,-1
H,1
E,1
B,-1
AO,1
X,-1
E,-1
X,-1
AI,1
AO,-1
AH,-1
