car,move
AG,1
P,1
AA,1
AL,-1
J,3
J,-1
J,-2
O,1
J,2
AA,-2
G,-1
AA,3
AA,-1
G,1
AH,1
D,1
J,-2
AA,-3
AE,-1
A,-2
P,1
B,-1
H,1
AA,4
H,-1
AA,-4
AJ,-1
J,-1
AP,-1
J,2
AG,-1
AH,1
AQ,-1
AA,1
A,-1
AE,1
P,-1
J,2
A,1
A,-4
AI,-2
B,-4
J,-1
AI,-1
A,1
AI,2
AO,1
A,-1
B,2
B,1
J,-3
AB,-1
J,2
AC,-3
A,3
A,1
J,-1
AA,-1
B,1
B,-1
B,2
AO,1
AO,-2
A,2
AA,1
P,-1
P,1
A,-5
AQ,1
AI,-2
J,1
B,-5
B,5
AC,3
B,-5
P,1
P,-2
A,-1
H,1
I,-1
B,1
J,-2
AO,1
AC,-2
AI,2
AA,1
J,1
H,-1
AA,-1
AK,-1
AD,1
J,3
P,1
B,1
J,-4
A,1
I,1
AI,-2
AR,-1
AO,-1
J,2
J,-2
I,-1
H,1
H,-1
J,1
AQ,-1
AQ,1
J,3
H,1
A,1
J,-3
AC,-1
AQ,-2
B,1
AO,1
AR,1
AD,-1
AD,1
J,2
AI,2
AA,-1
J,-1
J,-1
AB,1
J,-1
AQ,1
A,-1
H,2
P,1
H,-1
AI,-1
J,2
AK,1
P,-1
B,-1
AI,-1
AK,-1
AI,1
J,-1
G,-1
AI,1
H,-1
D,-1
AD,-1
F,3
J,-1
AE,-1
AO,1
AB,-1
F,-3
AI,-1
J,4
J,-4
I,1
AC,1
J,1
B,3
J,1
AC,-1
B,-3
B,2
AB,1
J,1
AQ,-1
B,-1
H,-1
J,-1
AR,-1
B,1
H,1
AR,1
AA,1
AE,1
H,-2
N,-1
B,-2
P,1
AR,-1
AA,-1
B,1
AI,-1
H,2
B,1
B,-1
AB,-1
D,1
AD,1
AO,-1
AO,1
H,-1
P,-1
B,2
H,1
J,-1
AB,1
J,1
P,1
P,-1
AO,1
J,-1
N,1
AO,-1
H,-1
J,3
AI,2
B,-4
A,-1
F,1
AD,-1
J,-2
AA,1
J,-1
AO,-2
AR,1
AB,-1
AQ,1
AQ,1
AR,-1
I,-1
AB,1
AG,1
P,1
A,1
B,2
AP,1
F,-1
F,1
J,1
AA,-1
AB,-1
A,-1
H,2
H,-1
AI,-1
D,-1
P,-1
AE,-1
AI,-1
J,2
AI,1
AJ,1
I,1
I,-1
H,-2
L,1
AA,1
AC,1
AR,1
H,3
L,-1
J,-1
AE,1
F,-1
P,-1
J,-1
AJ,-1
AI,2
AA,2
F,1
J,1
AK,1
AH,-1
O,-1
P,1
H,1
AC,1
AC,-1
AP,-1
AO,1
H,-1
AF,-1
AA,-2
AE,-1
A,1
A,-1
J,-1
AA,-1
AC,1
AG,-1
AK,-1
J,-1
F,-1
L,1
AE,1
H,-1
AH,-1
G,1
AC,-2
AL,1
AN,-1
AL,-1
H,-1
AM,-1
L,-1
H,1
AB,1
AK,1
AO,-1
H,-1
AO,-2
AQ,-2
AA,1
AB,-1
P,-1
A,1
AP,1
G,-1
P,1
AJ,1
F,1
I,1
AO,2
AB,1
J,1
A,-1
AO,-1
B,2
B,-1
AK,-1
A,1
AM,1
J,-2
AQ,2
AB,-1
A,-1
AG,1
AH,2
E,1
H,1
E,-1
AI,-1
J,3
AD,1
AC,2
E,1
AR,-1
AD,-1
AI,-2
H,-1
P,-1
AI,1
AI,1
AG,-1
AI,-1
AI,2
AH,-1
AD,1
AC,-2
AG,1
AD,-1
AL,1
J,1
AC,2
AA,4
Q,-1
B,-2
AA,-1
J,-3
B,3
AH,-1
AA,-3
AL,-1
AH,1
AL,1
AA,1
B,-3
Q,1
AL,-1
AA,-1
B,3
B,-2
E,-1
AA,4
B,2
AA,-4
AA,4
P,2
P,-1
AA,-1
AH,1
H,1
E,1
A,1
L,1
B,-1
AA,-3
AA,1
AI,-3
E,-1
E,1
AO,1
AA,3
AI,2
B,1
AR,1
B,-2
B,-1
AI,-1
P,-1
AD,1
AK,1
P,2
AC,1
C,1
J,-1
AI,1
J,1
AI,-2
AB,1
AB,-1
B,2
AA,-3
A,-1
AC,-2
AA,-1
AA,2
AK,-1
AM,1
B,-1
A,1
L,-1
AA,2
J,1
AI,1
AA,-5
AI,-1
AG,-1
AI,2
I,-1
H,1
AA,2
AI,1
AG,1
AG,-1
AC,1
AJ,-1
AA,-1
AH,-1
P,-2
P,2
AR,-1
AC,-2
AJ,1
J,-1
AD,-1
AC,2
AL,2
B,-1
AA,-1
AL,-1
AC,-2
J,-1
AQ,-2
B,1
B,-1
AQ,2
B,1
AG,1
H,-1
A,-1
AJ,-1
H,2
AL,-1
AM,-2
L,1
AJ,1
AM,1
AC,1
AC,1
AH,-1
AA,5
AR,1
P,-2
H,-1
A,-1
A,2
AR,-1
AA,-1
AA,-3
H,-1
AA,4
P,1
AG,-1
AR,1
A,-2
AC,-1
H,2
H,-1
AN,1
AL,1
J,1
L,-1
J,-1
H,1
AG,1
AH,1
AN,-1
AA,-2
AR,-1
AA,-1
AO,-1
AO,1
H,-1
AA,-1
A,2
L,1
AC,-1
J,1
AH,-1
AJ,-1
A,-2
B,-1
K,1
H,-2
J,-1
H,3
AA,-2
H,-2
J,1
AO,-1
AL,-1
B,1
AA,2
AH,2
AA,-1
AP,-1
AA,-2
AD,1
AG,-1
AI,-3
AI,2
AI,-2
B,-1
AC,2
B,1
AA,4
AA,-2
AO,1
AC,-2
AI,2
P,1
AQ,-2
K,-1
P,-1
AM,1
AI,-1
AI,2
AO,1
AM,1
B,-1
K,1
AC,1
H,1
AI,-3
AC,-1
H,-2
AI,1
AC,1
AA,2
AD,-1
AI,-1
AA,-1
AE,-1
P,1
AE,1
AQ,1
J,-1
AI,1
H,2
AO,1
AA,1
H,-2
J,1
AR,1
AI,2
I,1
AM,-1
AI,-1
AI,-1
AA,-2
A,2
B,3
AM,1
H,1
AR,-1
AO,1
AM,-2
AA,1
AN,1
H,-1
AA,-1
AE,-1
P,-1
AC,-1
H,1
AB,1
P,1
AI,2
H,-1
A,-2
AE,2
AI,-2
AD,1
AB,-1
AD,-1
AE,-2
B,-2
I,-1
A,2
AQ,-1
AE,2
AO,-1
AI,1
AA,1
P,-1
AA,-1
AI,-2
AB,1
AA,1
A,-1
AI,1
AD,2
AO,1
AO,-3
J,-1
AQ,1
AI,2
AI,-2
AI,1
H,2
P,1
AA,-4
AI,-2
AR,1
AR,-1
AO,3
B,-1
AB,-1
P,-2
AA,1
AQ,-1
AD,-2
AE,-2
AQ,1
AF,1
AO,-3
AC,1
H,1
AO,3
AA,-1
B,1
B,-1
AF,-1
AI,2
AE,2
AQ,-1
AE,-1
AI,-2
A,-1
AE,-1
AP,1
A,1
H,-1
AG,-1
AP,-1
P,1
AG,1
H,1
AE,2
AQ,1
AD,2
AC,-1
H,-2
AI,1
C,-1
AO,-2
AA,3
AC,1
AA,1
AQ,-1
K,-1
AC,-1
AD,-1
E,-1
AD,-1
L,-1
J,4
AQ,1
H,2
AQ,1
L,1
A,1
L,-1
AQ,-1
J,-1
F,-1
AQ,-1
AO,1
AE,-2
J,1
AO,-2
H,-2
AE,2
AO,2
AC,1
J,-2
J,-2
B,1
AQ,1
A,-1
AA,-1
L,1
I,1
L,-1
AR,1
AC,-1
F,1
J,1
AD,2
J,3
AO,-2
AC,1
AA,1
L,1
AA,1
AO,2
AD,-2
B,-1
AC,1
AO,-2
AP,1
B,1
AR,-1
B,2
AC,-1
A,1
B,-3
AI,2
AH,-1
AD,1
AM,-1
B,1
AE,-1
AR,1
AK,1
AA,-1
AC,2
AB,1
AA,-1
B,-1
B,3
AA,2
AB,-1
E,1
AP,-1
E,-1
B,-3
AQ,1
AM,1
AB,1
P,-1
P,1
AG,-1
AH,1
B,1
AD,-1
H,-1
I,-1
AG,1
AF,1
AA,-1
F,-1
AQ,-1
H,1
AQ,1
O,1
O,-1
AI,-3
H,-1
B,-1
H,2
AI,1
AA,-1
AE,-1
H,-2
A,-1
K,1
AG,1
AI,2
AG,-1
O,1
AH,-1
H,2
B,1
K,-1
AQ,-1
B,-1
B,1
F,1
D,1
A,1
AH,1
AO,2
AI,-2
AA,1
AI,2
AI,-1
D,-1
AO,-1
AA,1
F,3
D,1
AQ,1
AA,-2
AA,1
AA,1
B,-1
L,-1
J,-1
J,-1
E,1
P,-1
B,1
A,-1
A,1
D,-1
G,1
Q,-1
AE,1
B,-1
AQ,-1
F,-1
AI,-2
AI,1
AI,-1
AI,1
J,2
B,1
J,-3
J,1
AD,1
J,2
Q,1
H,-1
J,-1
C,1
AI,1
J,-1
AA,-1
AA,1
A,1
AQ,1
AQ,-1
P,2
AA,-2
AD,-1
J,-1
AO,1
AO,-1
H,1
AQ,1
E,1
F,1
P,-1
L,1
E,-1
AQ,-1
AO,1
AA,1
AA,-1
AA,1
A,-2
AO,-1
E,1
AE,-1
AI,1
G,-1
AI,-2
E,1
AA,1
L,-1
L,1
AA,-1
B,-1
R,-2
D,1
R,2
AI,1
E,-1
B,-1
E,-1
P,1
AA,-1
AO,-1
AQ,1
E,1
C,-1
R,-2
R,1
R,1
B,2
K,1
B,-1
D,-1
J,-1
AQ,-1
K,-1
O,-1
R,-1
Q,-1
L,-1
AI,-2
AQ,1
AI,2
G,1
A,2
AA,1
J,1
X,-2
AE,1
AG,1
AF,-1
AG,-1
AP,1
AA,1
R,-1
A,-2
G,-1
R,1
W,-1
AE,-1
AG,-1
AB,-1
W,1
P,-2
AA,-1
L,1
K,1
X,2
AI,1
AG,-1
AP,-3
Q,1
N,-1
P,2
AP,1
A,1
AI,-2
AC,-1
AC,-2
P,-1
U,-1
AB,1
AQ,-1
C,1
R,1
R,-3
P,1
AA,-1
AI,1
M,-1
J,-1
AQ,-1
P,-1
AA,-1
H,1
AA,1
H,-1
H,1
AO,2
AQ,1
AI,-1
AP,1
AQ,-1
M,1
AA,-1
U,1
M,1
R,3
M,-1
AO,-1
C,-1
AB,1
C,1
F,1
R,-3
AA,-2
AG,1
K,-1
AI,2
AK,-1
AQ,1
R,1
AK,1
AE,1
X,-1
AQ,-1
AS,-3
AI,-1
W,-1
AI,-2
K,1
K,-1
AK,-3
AE,-1
M,-1
K,1
R,-1
AS,1
W,1
AE,1
N,1
N,-1
AI,3
AA,2
AQ,-1
W,-1
M,2
AA,1
AH,-1
AA,1
AO,1
AO,-1
AR,-2
AQ,2
AO,-1
AR,2
AD,1
AR,-3
AD,-1
AA,-1
AO,2
AA,-3
AA,3
AO,-2
AQ,1
AA,-2
P,-1
P,1
M,-2
T,-2
N,1
G,1
AR,2
AH,1
A,1
AS,-1
A,-1
AQ,-3
AK,2
AK,-2
AA,1
AQ,2
AA,1
AB,-1
R,1
F,-1
F,1
AA,-3
AD,1
AQ,-1
P,1
A,1
AR,1
W,1
C,-1
AB,-1
AO,1
AQ,-1
AA,1
X,1
AA,-1
AI,-1
AO,-1
A,-1
AQ,2
AQ,1
P,-2
X,-1
AR,-2
X,1
Q,-1
AI,-2
AB,2
X,-1
AI,1
T,1
AB,-1
AB,1
AQ,-4
AO,2
P,1
T,-1
AI,-1
B,1
AS,1
AA,4
AK,-1
A,-1
AK,2
AQ,2
AR,1
X,2
G,-1
AK,-1
Q,1
A,1
AK,2
AD,-1
AI,1
F,-1
AE,-1
C,1
P,1
K,-1
AI,-1
AO,-1
N,-1
X,-2
F,1
B,-1
N,1
AR,1
X,1
A,-1
T,1
AQ,-2
C,-1
P,-1
AG,-1
P,1
AO,1
P,-1
AK,-1
Q,-1
B,1
T,1
B,-1
AQ,1
AI,2
Q,1
T,-1
AR,-2
T,1
AI,1
AR,1
Q,-1
AQ,-1
G,1
AO,-2
AI,-1
L,-1
X,-2
X,2
AQ,4
AK,-1
AQ,-4
AQ,3
AI,-1
AP,1
A,1
AQ,1
AI,-1
P,1
P,-2
L,1
AQ,-1
T,-1
B,1
R,-1
P,1
AQ,-3
L,-1
G,-1
AQ,1
AK,2
AI,3
AQ,-1
AK,-4
R,1
AK,4
P,-1
F,-1
T,1
AJ,1
Q,1
H,-1
H,1
E,1
AQ,-1
T,-1
AH,-1
AR,1
Q,-1
R,-1
AL,1
AJ,-1
T,1
AK,-4
E,-1
AK,4
AQ,3
E,1
L,1
M,1
P,1
AP,-1
Q,1
X,-1
C,1
H,-1
AS,2
AS,-2
R,1
W,-1
AO,2
P,1
C,-1
L,-1
M,-1
E,-1
AR,-1
Q,-1
L,1
AS,2
X,-1
T,-2
V,1
J,1
AS,-2
AK,-1
AQ,-1
AK,1
V,-1
AQ,-1
A,-1
AO,1
T,2
L,-1
AO,-3
T,-1
G,1
AQ,3
AQ,-2
AQ,1
J,1
G,-1
AS,2
AA,-1
AB,-1
N,-1
A,1
W,1
J,-2
W,-1
N,1
W,1
T,-1
AQ,1
AO,1
E,1
AQ,1
P,-1
AQ,-1
R,-1
P,1
AR,1
R,1
E,-1
X,3
AR,-1
AG,1
AO,-1
AL,-1
AP,1
J,2
AQ,1
J,-2
AQ,-2
AH,1
AJ,1
X,-3
AA,1
AJ,-1
X,1
A,-1
AE,1
T,1
E,1
AB,-1
J,1
AR,1
T,1
J,1
AB,1
AG,1
AP,-1
AO,1
AG,-1
AI,-2
AO,1
J,-2
X,1
H,1
AI,-1
AI,1
AO,-2
AB,1
AQ,1
P,-1
AB,-2
AP,-1
AQ,1
B,-1
AQ,-2
AI,1
X,-1
AI,-2
AI,1
AK,1
X,1
P,-1
AP,2
T,-1
P,1
P,-1
AP,-2
Q,1
AQ,2
T,-1
AQ,-2
AP,1
E,-1
P,1
N,-1
AP,-2
P,1
AP,2
U,-1
AI,1
AG,1
AI,1
T,1
AD,1
AQ,1
C,1
AP,1
AH,-1
AK,-1
AQ,-1
AL,1
B,1
X,-1
AL,-1
AL,1
T,1
F,1
AA,-1
W,-1
AD,-1
AR,-1
L,1
AF,1
AE,-1
AL,-1
K,1
AB,1
AJ,1
AF,-1
AL,1
A,1
AA,-2
U,1
T,-1
AA,3
AL,-1
AA,-4
A,-1
AF,1
AE,1
N,1
AF,-1
Y,-1
E,1
T,-1
A,1
AQ,2
A,-2
AQ,-2
AB,-1
AJ,-1
AQ,1
AM,-1
AM,1
B,-1
AN,-1
AA,4
AM,-1
AJ,1
AM,2
K,-1
AC,1
AC,-1
AE,-1
U,2
N,2
A,2
AQ,1
AL,1
T,2
AG,1
M,2
B,1
K,1
M,-1
N,-2
AC,2
C,-1
AA,4
U,-2
K,-1
R,1
AE,1
AL,1
Q,-1
AD,1
P,-2
B,-1
Q,1
AC,-1
AG,-1
P,2
AQ,-2
AL,-2
L,-1
AC,-1
U,1
R,-1
AH,1
AD,-1
AM,-1
F,-1
AC,1
F,1
AH,-2
B,1
E,-1
E,1
N,1
AC,-1
P,-1
R,-1
B,-1
L,1
F,-1
P,1
B,1
AC,1
P,-2
Q,-1
X,-1
AQ,1
AC,-1
AM,1
K,1
H,-1
AC,2
M,-1
E,-1
AM,-2
AC,-2
AQ,1
H,1
M,1
AM,1
AQ,-1
AQ,-1
AB,1
X,1
R,2
AQ,1
K,-1
G,1
P,2
K,1
A,1
H,-1
B,-1
AH,2
A,-1
J,1
Q,1
K,-1
C,1
R,-1
AR,1
A,-1
AQ,-1
A,1
L,-1
A,1
AI,-3
AQ,2
P,-1
AG,1
AI,1
AA,-1
J,1
J,1
AR,-1
J,-3
AO,-1
R,-1
L,1
R,2
AD,1
AI,2
A,-1
A,-2
P,1
AH,-1
AH,1
AR,1
AK,1
G,-1
P,-2
L,-1
N,-1
J,4
G,1
A,1
J,-4
B,1
J,4
AO,1
AK,-1
AI,-2
AI,2
AM,1
A,-1
AI,-3
AD,-1
J,-4
AK,1
G,-1
AI,1
L,1
G,1
AI,1
AB,-1
AC,1
J,1
A,1
AA,-1
AI,1
P,1
AD,1
L,-1
J,2
J,-1
P,1
AJ,-1
AA,-1
AA,1
J,-1
AH,-1
AA,-2
A,1
AC,1
N,1
C,-1
AC,-2
J,-1
AM,-1
AB,1
H,1
Q,-1
AP,-1
A,-1
Q,1
F,1
G,-1
G,2
AP,1
AN,1
AE,1
AE,-1
AP,-1
Q,-1
F,-1
AH,1
AD,-1
AI,-1
B,-1
AI,1
G,-1
R,-1
AG,-1
AI,-2
R,1
AI,1
AP,1
AF,1
R,-1
X,-1
AG,1
AF,-1
N,-1
P,-2
AB,-1
AN,-1
AC,3
AJ,1
P,1
AA,1
AO,-1
AC,-1
AO,1
AK,-1
AO,-1
AC,-1
AA,3
U,-1
P,-1
Y,1
H,-1
M,-1
H,1
P,1
G,-1
AG,-1
T,-1
E,1
B,1
AI,-2
P,-1
X,1
P,2
AC,1
AC,-2
H,-1
B,-1
AR,-1
X,-1
AR,1
T,1
H,1
L,1
M,1
P,-1
AO,1
AI,3
F,1
W,1
AN,1
AR,-1
W,-1
AF,1
AE,-1
O,1
AB,1
F,-1
Y,-1
U,2
AR,1
F,1
X,1
M,-1
AQ,-2
P,-1
N,2
T,-2
Q,1
AI,-3
AQ,1
AI,2
AB,-1
P,1
E,-1
E,2
C,1
AI,1
AB,1
E,1
AI,-1
P,1
AQ,1
AQ,-2
T,-1
M,2
AI,1
B,1
C,-1
B,-1
P,-1
Q,-1
AB,-1
P,1
M,-1
K,1
N,-1
P,-2
A,1
N,1
AI,-1
AB,1
AI,-2
P,1
U,1
B,1
X,-1
R,1
AB,-1
K,-1
AQ,2
AQ,-1
AI,1
AI,-1
M,1
T,-1
X,1
AI,1
AR,-1
AQ,1
AG,1
AG,-1
X,-1
U,1
U,-2
K,1
AC,1
K,-1
X,1
Q,1
P,-1
B,-1
R,-2
U,2
AQ,-2
L,-1
N,2
AQ,2
AG,1
AI,-1
T,1
AC,-1
M,-2
R,1
T,2
AI,2
AI,-1
T,-3
C,1
C,-1
AR,1
M,1
B,1
M,-1
AC,2
N,-4
AA,-1
P,2
P,-2
R,-1
AC,-2
U,-3
AB,1
U,-1
P,2
U,3
C,1
N,3
AK,1
AI,-1
N,-3
U,-1
P,-2
AA,1
U,2
AA,-1
P,2
AI,1
N,2
N,-2
AI,1
N,2
T,4
C,-1
T,-2
C,1
E,-2
N,2
N,-3
N,2
N,1
C,-1
