car,move
J,3
AQ,-1
AB,-1
AC,-1
H,1
O,1
AL,-1
AK,-1
G,-1
J,-2
F,1
F,2
AM,-1
AC,-1
E,3
AA,-1
E,-2
J,1
AR,-1
AH,1
Q,-1
G,1
AQ,-1
AH,-1
P,1
J,-2
J,1
AJ,-1
AH,1
AC,-1
AQ,1
Q,1
AE,-1
E,-1
AA,-1
E,2
AP,-1
AO,2
R,-2
AC,2
P,1
AE,1
AO,-1
AO,2
C,1
M,-1
G,-1
AC,-1
E,1
C,-1
T,-2
X,-1
W,-1
AA,2
T,2
E,-1
Q,-1
AH,-1
E,1
AA,-1
R,-1
AH,1
J,-1
P,-2
AQ,-1
Q,1
AQ,1
AO,-2
T,-2
AD,1
AC,-1
W,1
Q,-1
J,1
J,2
R,1
T,2
J,-2
M,1
P,2
AO,-1
AR,1
AB,1
AA,-1
AA,1
AM,1
AA,-1
AD,-1
AA,1
AQ,-1
AH,-1
Q,1
Q,-1
X,1
AK,1
AK,-1
AR,-1
R,1
Q,1
P,-2
R,1
P,2
C,1
E,-2
AH,1
E,2
AM,-1
AM,1
R,-1
AH,1
E,-1
C,-1
R,-1
AD,1
AI,-3
AB,-1
P,-1
J,2
AQ,2
G,1
R,1
J,-2
AO,1
AR,1
X,-1
C,1
C,-1
C,1
W,-1
P,1
P,-1
J,-1
AB,1
AO,-1
AR,-1
V,1
G,-1
G,1
AI,1
AR,1
AQ,-2
AO,2
AD,-1
AB,-1
P,1
C,-1
AO,-2
C,1
AI,2
AQ,2
P,-2
P,1
AI,-1
AQ,-1
C,-1
AC,1
V,-1
AA,-1
AE,-1
AQ,1
W,1
L,1
AC,1
AP,1
W,-1
AC,-1
AP,-1
AG,1
C,1
AR,-1
AE,1
AA,1
V,1
C,-1
L,-1
AI,-2
L,1
P,1
AI,3
AR,1
AC,1
AG,-1
AI,-2
AC,-1
AA,-1
AO,1
AI,-1
R,-1
AD,1
C,1
AI,1
K,1
AR,-1
AR,1
K,-1
R,1
R,-1
AC,1
AA,1
AC,-1
V,-1
R,-1
AI,2
R,1
AQ,-2
W,1
L,-1
L,1
AQ,1
AH,-1
M,-1
K,1
P,-2
AO,1
AK,1
AO,-2
T,-2
P,2
AL,1
AA,-2
AA,3
AA,-3
T,1
X,1
AC,2
G,-1
AA,2
X,-1
E,1
P,-2
AL,-1
AP,1
P,2
AC,-3
AP,-1
T,1
P,-1
K,-1
C,-1
AC,2
T,-1
T,-1
R,-1
AP,1
AL,1
AJ,1
X,1
AC,-2
P,1
X,1
AD,-1
AQ,-1
AC,1
AK,-1
AH,-1
AJ,-1
AJ,1
P,-2
AQ,1
X,-1
AK,1
T,2
P,2
Q,-1
AH,1
E,-1
X,-1
AC,1
M,1
K,1
AA,-2
R,2
N,-1
AC,-2
X,-1
AD,1
AC,2
AC,-2
AQ,-1
W,-1
AK,-1
AR,-1
V,1
AQ,2
AC,1
R,-2
R,1
AC,-1
V,-1
M,-1
AL,-1
M,2
AJ,-1
R,-1
AL,1
AG,1
R,2
AG,-1
P,-1
AP,-1
V,1
M,-1
AG,1
R,-2
AC,2
AD,-1
AA,3
AP,1
K,-1
AR,1
AR,-1
AA,-2
U,-1
L,-1
V,-1
AD,1
AA,2
R,2
AA,-2
AA,3
AR,1
J,2
AA,-3
AA,3
U,1
AK,1
AA,-1
AK,-1
AD,-1
AA,1
R,-1
X,1
R,1
AA,-2
U,-1
AC,-1
AA,-1
AH,-1
AA,2
P,-1
P,1
R,-2
AR,-1
AA,1
AL,-1
AH,2
J,-1
U,1
J,1
AE,-1
AR,1
Y,-1
U,-1
AJ,1
J,-1
AI,-2
AA,-3
AJ,-1
AG,-1
AJ,1
R,1
Y,1
AA,2
AI,-1
AI,2
R,-1
AQ,-1
AQ,-1
Q,1
AJ,-1
AK,1
AQ,1
J,1
V,1
AI,-1
R,2
Q,-1
X,-1
V,-1
J,-1
AA,-1
R,-2
J,2
M,-1
W,1
P,-1
J,-2
AE,1
X,1
U,1
X,1
M,2
P,2
AC,1
AC,-1
P,-2
AI,-1
AI,2
AC,1
AC,1
AB,1
J,1
X,-1
J,-2
J,1
AA,1
AJ,1
J,2
R,2
M,-1
AD,1
R,-2
AA,-1
AA,1
AJ,-1
J,-3
X,1
AI,-1
J,2
U,-1
AA,-1
AQ,1
AG,1
AG,-1
J,1
J,-3
L,1
AP,-1
R,2
P,1
AO,1
U,1
N,1
AO,-1
Q,1
Q,-1
AG,1
AP,1
AI,2
K,1
G,1
X,-1
W,-1
P,1
AI,-3
V,1
P,-2
P,1
AA,2
AA,-1
AA,-2
R,-2
G,-1
F,-1
AI,1
K,-1
AI,1
AA,1
P,-1
AI,-2
V,-1
P,2
AI,1
AI,1
AP,-1
AB,-1
R,2
Y,-1
AG,-1
AQ,-1
AO,2
AO,-1
R,-1
AC,-3
AO,-1
AB,1
P,-1
AO,1
F,1
G,1
AO,1
Y,1
AI,-1
G,-1
N,-1
L,-1
W,1
M,-1
AI,-1
AQ,-1
Q,1
L,1
R,-1
AI,3
L,-1
AQ,1
R,1
J,3
AI,-3
L,1
AD,-1
W,-1
M,1
AI,3
AE,-1
U,-1
R,-1
K,1
AK,-1
AA,-1
Q,-1
K,-1
AI,-3
X,-1
AO,-1
K,1
AO,-1
AO,2
AB,-1
K,-1
AI,1
AC,2
AE,1
L,-1
AI,1
R,1
Y,-1
AE,-1
AC,-1
AC,-1
R,-1
AQ,-1
AC,1
AQ,1
AQ,-1
J,-2
X,1
AO,-1
U,3
Q,1
J,-1
J,3
N,2
N,1
E,1
J,-1
C,1
AI,-1
M,-1
M,1
J,1
AQ,1
AO,-1
M,1
J,-1
U,2
J,1
U,-1
R,2
J,-3
J,2
R,-2
AI,-1
J,-1
AR,-1
AQ,-1
Y,1
AP,1
AA,1
E,-1
M,-2
AR,1
T,-1
AK,1
J,2
AQ,2
AG,1
AI,1
N,-1
Y,-1
R,1
Y,1
R,-1
AJ,1
G,1
J,-2
AC,1
Y,-1
Y,1
P,-1
J,2
U,1
U,-1
Y,-1
J,-2
Y,1
T,-1
T,1
V,1
R,1
P,2
AC,-2
C,-1
T,1
N,-1
AC,3
M,1
AI,1
AG,-1
AA,-1
AA,2
AQ,-1
AA,-2
R,-1
AQ,1
J,-1
AQ,-1
AJ,-1
U,1
AQ,1
P,-1
AC,-2
AK,-1
J,1
G,-1
R,1
AG,1
AA,2
F,-1
AG,-1
P,1
F,1
AE,1
R,-1
AP,-1
C,1
AG,1
N,2
M,-1
AI,-1
C,-1
R,1
AK,1
AK,-1
E,1
AC,1
T,-2
