car,move
H,1
G,-1
AL,-1
AA,-1
L,1
G,1
H,-1
O,1
AM,-1
AH,1
H,1
H,-2
G,-1
H,1
H,1
H,-1
P,2
AH,-1
O,-1
F,1
L,-1
AA,-1
F,-1
AB,-1
AG,1
AB,1
L,1
AM,1
N,-1
AA,1
AA,3
U,-1
AA,1
AA,-5
U,1
K,1
AA,-1
U,-1
AA,3
H,1
AJ,-1
AA,-2
AA,-3
AH,2
AA,4
AE,-1
AA,-3
AE,1
P,-2
AG,-1
AB,-1
P,1
P,-1
AJ,1
AI,-1
AC,-1
AQ,-1
AQ,1
P,1
AC,-1
AE,-1
P,-1
AI,-2
AC,1
AI,1
AA,-1
U,1
U,-1
O,1
K,-1
AJ,-1
U,1
D,1
N,1
AI,-1
A,-1
AC,-1
AI,2
K,1
AI,-2
AI,2
AK,-1
AI,-2
AI,1
P,1
A,1
AK,1
AC,1
N,-1
N,1
AA,1
AK,-1
P,1
G,1
D,-1
AA,3
AE,1
AI,1
AA,1
H,-2
AK,1
AP,-1
AE,-1
AQ,-1
AI,-1
AC,1
AB,1
AI,-1
AI,2
AP,1
AI,-1
AQ,1
AA,-1
AA,-2
AP,-1
AG,1
AE,1
AG,-1
AP,1
AB,-1
AA,2
AP,-1
AI,1
AA,1
AE,-1
K,-1
AO,1
AC,-1
AI,-1
AC,-1
K,1
P,-2
AC,2
AB,1
AB,-1
AI,-1
AC,-1
AI,1
H,1
D,1
AC,1
AC,-1
A,-3
A,-2
AC,1
B,-5
AE,1
AG,1
AE,-1
AG,-1
AC,-1
AI,-1
AC,1
B,3
AO,-1
A,3
AG,1
AC,-1
B,1
AC,1
A,-4
AA,1
B,-2
AI,3
B,-2
A,1
B,3
AI,-2
A,3
AC,-1
AC,-1
AA,-1
AI,2
AP,1
AK,-1
AG,-1
A,-3
AK,1
B,-2
K,-1
B,1
I,-1
A,2
AE,1
H,1
A,-1
A,-1
G,-1
G,1
H,1
AD,1
G,-1
AC,1
B,1
AQ,-1
AI,-2
B,-2
P,1
AD,-1
G,1
AC,1
B,1
AP,-1
B,-2
AQ,1
AI,2
AI,-1
AG,1
H,-2
AD,1
AP,1
I,1
L,-1
AA,-2
AI,-1
B,1
J,3
AA,3
AC,-1
J,-2
B,2
J,2
AK,-1
AR,-1
AA,-2
A,3
AJ,1
A,-1
J,-1
H,1
A,-1
B,-1
AJ,-1
J,1
AG,-1
AI,2
J,-1
AI,-1
AQ,-1
D,-1
H,-2
AJ,1
AI,-2
B,1
AC,-1
B,-1
J,1
A,-1
B,3
AI,2
AC,-1
AQ,-1
L,1
B,-3
AD,-1
AR,1
B,3
AB,1
AJ,-1
L,-1
G,-1
J,-3
G,1
B,-2
A,-1
A,1
AI,-2
B,1
P,1
AI,3
AJ,1
H,1
AH,-2
AQ,2
AK,1
B,1
AG,1
G,-1
H,1
AB,-1
AH,1
N,-1
AH,1
A,-1
M,1
AJ,-1
B,-2
J,1
M,-1
AH,-1
U,-1
H,-2
AP,-1
AE,-1
AB,1
AL,1
AG,-1
A,1
J,-2
AK,-1
P,-1
J,2
H,2
J,-1
O,-1
B,1
AQ,-2
AB,-1
J,1
A,-1
AF,-1
AP,1
J,2
AL,-1
L,1
AR,-1
B,-2
AQ,1
B,2
AQ,-1
AG,-1
U,1
AC,1
AG,-1
AL,1
B,1
B,-2
AC,-1
AA,-1
AP,-3
AR,1
U,-1
H,-1
AJ,1
AR,-1
H,1
AQ,1
B,2
AL,-1
AG,1
U,1
AL,1
N,1
A,1
AE,1
AD,1
AO,1
K,1
AQ,-1
AL,-1
AA,-2
AO,-1
AA,-2
K,-1
L,-1
AA,1
N,-1
AR,1
AQ,2
AQ,-1
AM,-1
J,-1
B,-3
B,3
A,-1
AK,1
AD,-1
AD,1
AK,-1
U,-1
AM,1
J,1
AO,1
U,1
AK,1
J,-1
N,1
AJ,-1
J,-1
AL,1
B,-2
B,-1
AK,-1
AP,2
AQ,1
J,-2
AB,2
AS,-3
AK,-5
AO,-1
I,-1
AQ,-2
AB,-2
AK,4
F,1
A,1
AR,-1
AQ,1
J,1
AQ,-3
AR,-1
AO,1
AD,-1
AK,-3
AR,-1
J,-1
AQ,1
AG,1
AQ,1
AO,-1
AR,-2
AN,-1
AQ,1
AQ,-3
AO,3
AG,1
AM,4
H,2
F,-1
N,-1
AR,4
H,-2
AR,-4
AN,1
AE,-1
AG,1
AN,-1
AE,1
P,-1
AL,1
AL,2
H,2
AE,-1
M,1
AE,1
P,1
H,-2
AL,-2
AE,-1
J,1
AL,3
A,-1
AL,-2
AL,-3
AM,-2
AG,-1
AL,1
AR,1
AL,1
AO,-1
I,1
AO,1
J,-1
AM,1
AG,-1
AL,-2
AK,-1
AL,3
AM,1
AG,1
AL,-1
AG,1
B,1
AG,-2
I,-1
AR,1
AK,1
H,2
AL,-1
AN,1
AR,1
AG,1
AG,-1
AG,-2
AC,1
P,-1
H,-2
J,1
AQ,-1
AQ,2
AQ,-1
AQ,-1
AL,2
AR,-2
AL,-2
AR,1
AL,-1
AR,2
AP,-1
AR,-1
A,1
AL,4
AC,-1
AK,2
AR,1
AQ,4
M,-1
AQ,-4
AC,3
AR,-1
AL,-4
AK,-2
AL,4
AC,-1
AC,-2
AQ,1
AQ,-1
AH,1
AQ,1
AK,2
AQ,-1
AA,-1
AB,1
AK,-2
AK,1
AK,1
AI,-3
AI,2
AI,-2
L,1
AQ,2
A,-1
AQ,1
A,1
AQ,-1
L,-1
AL,-1
AQ,1
P,2
H,-1
AP,1
AI,1
AQ,-1
L,1
I,1
AL,1
AQ,2
J,-1
N,1
A,-1
AQ,-3
AB,1
P,-2
A,1
AL,-1
AI,1
AR,1
AS,1
AG,1
L,-1
AG,-1
AK,1
L,1
AQ,1
K,1
AQ,1
AQ,-3
N,-1
U,-1
A,-1
AR,-1
AQ,2
AI,-1
P,1
AQ,2
AL,1
B,1
H,1
A,1
K,-1
K,1
H,-1
AQ,-2
AQ,1
AS,1
B,-1
U,1
A,-1
AI,1
AK,-2
P,-1
J,1
AS,-2
B,1
AR,-1
B,-1
AI,-2
AR,1
AK,1
I,-1
P,1
AR,1
K,-1
M,1
J,-1
AQ,-2
AS,1
J,1
AS,-1
AB,-1
AK,2
AI,1
AI,2
AQ,3
A,1
P,-1
AG,1
AI,-1
AG,-1
AK,-2
AQ,-1
AK,1
AI,1
H,2
AK,-1
AK,-1
AP,-1
AP,1
AI,-2
AK,3
P,2
AQ,-2
AG,2
K,1
AE,1
AE,-1
AF,1
AA,3
O,1
B,-1
J,-1
H,-2
H,3
AG,1
AB,-1
M,-1
AI,1
M,1
D,1
AA,-2
AL,-1
AI,1
A,-1
D,-1
A,1
AA,3
AE,1
AK,-2
AH,-1
K,-1
H,-1
H,-2
AB,1
L,-1
AE,-1
AG,-1
AQ,1
AQ,1
AL,1
AL,-1
AB,-1
AR,-1
M,-1
H,-1
AR,-1
AC,1
I,1
AL,-3
AL,2
AE,1
AL,2
AL,-2
P,-1
AD,1
J,1
B,1
AL,-2
I,-1
H,1
A,-1
H,-1
U,-1
AL,4
J,2
J,-1
I,1
B,-1
B,3
AQ,-1
J,-1
B,-3
AH,1
AI,-1
AK,-1
H,2
B,3
AQ,1
AQ,-2
AL,-1
O,-1
AI,-1
AI,2
AL,1
O,1
L,1
AK,1
B,-3
B,2
AQ,3
AK,-1
AK,1
B,-1
H,-1
AQ,-2
B,-1
B,3
AD,-1
AD,1
AC,-1
AK,-1
AQ,2
AI,-1
AR,1
AK,1
B,-3
AC,1
AR,1
AC,2
L,-1
B,3
AI,-1
AI,-1
H,-1
H,1
AI,2
AC,-1
AK,-1
H,1
O,-1
AR,-3
AC,-2
AR,2
B,-2
AI,1
AQ,-1
AQ,-2
O,1
J,-1
AG,1
D,1
B,-1
H,-1
U,1
A,1
M,1
AR,-1
AR,-1
AI,-1
M,-1
I,-1
AI,1
A,-1
B,1
L,1
U,-1
AR,3
AC,1
AK,2
H,1
AC,-1
B,-2
I,1
I,-1
AI,-2
AB,1
B,1
AK,1
AL,-1
AL,1
AI,-1
AB,-1
AI,1
I,1
D,-1
D,1
AK,-2
J,1
B,1
J,-1
K,1
K,-1
AK,2
AC,1
A,1
L,-1
D,-1
AK,-1
AG,-1
L,1
AK,-1
O,-1
AR,-2
AQ,1
J,1
L,-1
AR,2
AK,1
U,1
L,1
I,-1
N,1
AK,-2
AR,-1
N,-1
L,-1
AK,-1
AI,2
AC,-1
AK,1
M,1
AK,2
AQ,2
AQ,-1
AL,-1
AR,1
P,1
AK,1
I,1
B,1
AB,1
AQ,1
AK,-2
J,-1
J,2
B,-2
B,3
AK,1
AH,-1
AD,-1
AD,1
AL,-3
H,-1
B,-1
AQ,-1
AL,4
B,1
M,-1
AR,-1
A,-1
P,-1
B,-2
AL,-2
AR,1
AL,-2
N,1
P,1
AK,1
AB,-1
AQ,-2
AF,-1
AD,-1
AK,-1
G,1
I,-1
AG,-1
AH,1
AI,-3
AD,1
AC,1
I,1
AI,1
J,-2
AQ,1
AQ,-1
J,1
AI,2
AI,-1
AI,-2
AG,1
AI,2
AG,2
AI,1
AG,-3
B,-1
AQ,1
AC,-1
A,2
AB,1
H,1
AQ,1
B,3
AQ,-2
AP,-1
B,-3
J,1
AK,1
AI,-2
AK,-2
AI,-1
AQ,1
J,-1
B,2
A,-2
AI,3
H,-1
AQ,1
AD,-1
J,1
A,1
B,-1
AI,-2
I,-1
AI,1
I,1
B,-1
AQ,-1
AI,-1
J,-2
B,1
AB,-1
P,-1
AI,2
A,1
B,-1
AK,-2
AK,4
AQ,2
AD,1
AH,-1
B,2
AK,-4
AC,2
B,-2
J,1
AR,-2
AP,1
AR,-2
AP,-1
AL,4
AC,-1
AR,3
AQ,-1
AL,-3
B,3
AR,-2
B,-3
B,1
AQ,-1
A,-2
AP,1
A,2
AQ,-1
AQ,3
AR,3
AR,-2
B,-1
AC,1
AR,2
AK,1
J,1
AR,-2
B,3
J,-1
A,-1
AC,-1
H,1
AP,-1
B,-3
J,-1
B,2
H,-1
AQ,-2
AL,1
G,-1
AK,1
L,1
AQ,2
AL,1
AD,-1
AR,2
AK,-1
AH,-1
AQ,-2
AL,-3
J,1
AL,4
AL,-1
G,1
AQ,2
AC,1
AK,3
AP,1
AP,-1
AL,-1
A,1
H,1
B,-1
AK,-2
AL,-2
AR,-2
AL,2
P,1
A,-1
AP,1
A,1
I,-1
AP,-1
J,-1
P,-1
AL,-2
A,-2
A,2
AC,-1
AL,1
AL,3
AQ,-1
AR,1
AL,-4
AH,2
K,1
I,1
AQ,1
AA,-2
AE,-1
AQ,-3
AA,-1
AA,3
AG,-1
AQ,2
AA,-1
AQ,1
AA,-1
AI,-3
P,1
P,-2
P,1
AQ,-3
AR,-1
AA,-2
AI,2
AG,1
P,-1
AA,1
AQ,3
AI,-2
A,-1
AR,1
B,1
AC,2
AI,2
AI,-1
AI,1
A,1
P,1
K,-1
A,-1
AG,-1
AR,1
AC,-3
J,1
G,-1
AP,-1
L,-1
J,1
AI,-1
A,-1
AQ,-1
P,-1
A,1
AK,2
AQ,-3
J,1
B,-2
J,-3
AQ,1
J,3
AK,-2
AK,2
AG,1
AE,1
B,1
J,1
J,-3
AK,-1
P,1
N,-1
AA,-1
AP,1
AP,1
AQ,2
J,-1
J,4
N,1
AI,-1
AK,1
AG,1
AD,1
AQ,-2
AC,1
AK,-1
P,-1
B,1
B,-1
AQ,3
AC,1
AN,-1
AC,-1
L,1
AC,-1
G,1
AC,1
K,1
AM,-4
AO,-4
AO,3
P,1
AK,1
I,-1
AQ,-3
H,1
AM,3
K,-1
AI,3
AD,-1
J,1
P,1
AQ,1
AA,1
AQ,2
AM,-3
AO,-3
AQ,-1
AI,-1
AD,1
P,-2
H,1
A,1
AI,-1
AD,-1
AQ,-3
H,-2
AI,1
AO,3
AA,-1
H,1
AQ,2
H,1
AM,3
AI,-2
AO,1
K,1
K,-1
AQ,2
AO,-1
A,-1
AM,-1
AD,1
P,1
H,-3
P,1
L,-1
AI,3
H,2
AO,-1
AC,1
L,1
AM,-1
AO,-1
P,-2
AR,1
AI,-1
AA,1
AD,-1
P,2
L,-1
A,1
H,-1
AC,-1
AI,-2
AK,1
H,2
AK,-1
AI,1
A,-2
AQ,-1
B,-1
AQ,1
