car,move
J,1
P,2
G,-1
AA,-1
J,-1
AF,-1
AG,-1
N,-1
P,-1
AB,1
U,-1
AA,-1
AA,1
P,1
AL,-1
U,1
AB,-2
AJ,-1
AJ,1
U,-1
AA,-1
L,1
AC,-1
AJ,-1
AG,2
U,1
AH,2
AC,-2
AK,-1
K,1
AJ,1
AI,-3
K,-1
AC,1
AI,3
AE,-1
AN,-1
AJ,-1
AP,-1
AE,1
N,1
H,1
N,-1
AG,-1
U,-1
AQ,-2
AQ,2
AG,1
AO,-1
AI,-3
AI,1
AO,1
AO,-1
P,-1
AA,3
AO,1
AK,1
AI,1
AA,-3
P,1
AM,1
U,1
AD,1
U,-1
AA,2
AG,-1
P,-1
AC,2
AI,-2
AA,-2
AI,3
P,1
AA,2
AA,-1
K,1
P,-1
AP,1
AQ,-1
K,-1
AC,-2
K,1
AA,1
K,-1
U,1
AA,-2
AI,-1
U,-1
AM,-1
AA,2
AQ,-1
U,1
AQ,2
AA,-1
M,1
K,1
AC,1
AQ,-1
AQ,1
P,1
AA,-2
AK,-1
AD,-1
AI,-1
AD,1
AA,1
AN,1
AC,-1
K,-1
K,1
AC,-1
M,-1
AA,-1
AI,1
H,-1
AP,-1
H,1
AB,1
AO,1
AI,-2
N,1
AE,1
AA,-2
P,-2
AK,1
AQ,-2
AQ,1
G,1
AK,-1
AI,1
AA,1
P,1
AR,-1
AI,1
AD,-1
W,1
AQ,1
AR,1
AK,1
AA,1
AQ,-2
H,-1
AA,1
AD,1
AQ,1
AO,-1
AI,-1
W,-1
AD,1
K,-1
L,-1
AQ,1
AK,-1
P,1
L,1
AR,-1
G,-1
K,1
P,-1
AO,1
F,1
AD,-2
AB,-1
AQ,-2
AA,1
AO,2
W,1
AA,-2
AQ,1
AO,-2
AQ,-1
E,1
AO,1
H,1
S,1
AI,1
AO,1
E,-1
AI,-2
AB,1
AI,2
AO,-2
AO,-1
AA,-1
AA,2
H,-1
H,1
AI,-1
AQ,2
AB,-1
AC,1
AC,-1
AO,1
AA,-3
K,-1
AI,-1
AR,1
AC,2
AC,-2
AQ,-1
AB,1
S,-1
AR,-1
AD,1
AR,1
F,-1
AK,1
W,2
V,1
AQ,1
AD,-1
AQ,-2
AO,1
AD,2
G,1
AK,-1
V,-1
V,1
P,1
P,-1
AD,-2
AD,1
W,-1
P,-1
K,1
AK,1
W,1
P,2
K,-1
S,1
AO,-2
Q,3
AO,1
G,-1
AO,-1
W,-1
G,1
P,-2
Q,-3
K,1
V,-1
AD,-1
AP,1
W,-1
P,2
AJ,1
AI,1
AK,-1
AI,-1
P,-2
AJ,-1
Q,1
G,-1
AQ,1
AQ,-1
P,1
AJ,1
AB,-1
AI,1
G,1
P,1
AA,3
P,-1
AK,1
AC,1
AA,-3
AA,2
AD,1
AI,2
H,-1
Q,-1
P,1
AA,1
P,-1
AD,-1
AD,1
AJ,-1
AA,2
AA,-3
AH,-1
AP,-1
AA,3
AA,-3
P,1
AH,1
AQ,1
AO,1
H,1
P,-1
AH,-1
H,-1
S,-1
P,1
AQ,1
AD,-1
AC,2
AA,3
P,-1
AQ,-1
G,-1
AO,1
AC,-2
AH,1
K,-1
AH,-2
W,-1
AQ,-1
H,1
P,-1
F,1
P,1
AL,1
H,-1
AE,-1
AH,1
AN,-1
AA,-1
AM,3
AA,-1
AL,2
L,-1
AQ,1
AM,-1
AE,-1
J,2
AQ,-1
AK,-1
AA,1
AH,1
AI,-1
J,1
AI,1
AI,-2
AO,-1
AQ,2
AQ,-2
AI,1
AI,-2
AK,1
J,-3
P,-1
H,1
F,-1
L,1
AK,-1
F,1
E,1
AO,1
E,-1
K,1
AE,1
E,1
C,1
AA,1
AQ,1
AD,1
AI,1
C,-1
AO,-1
AD,-1
AR,-1
C,1
AO,2
AA,-1
AO,-2
K,-1
AC,-1
AB,1
AI,1
C,-1
AI,-1
AI,-1
AI,3
AB,-1
AI,-1
AQ,1
AD,1
AC,1
H,-1
P,2
E,-1
P,-2
