car,move
AB,-1
AL,-1
AG,1
AH,1
AH,1
J,1
AI,-1
AG,-1
AC,-1
P,1
AG,1
AF,-1
AE,2
AK,-1
AK,1
AE,-1
AD,2
AC,-1
J,2
AI,1
H,1
AG,-1
AA,-2
AD,-1
J,-1
AJ,-1
AQ,-1
W,1
AC,1
AA,1
J,-2
P,1
S,1
L,1
P,-2
AC,1
AQ,1
AG,1
K,1
AB,1
AA,1
AP,-1
P,2
AO,1
P,-2
AI,-1
AA,-1
P,2
AD,-1
AO,-1
P,-2
AI,1
AA,1
AE,1
G,-1
Q,1
AA,-1
K,-1
N,-1
AE,-1
M,1
AI,-2
L,-1
H,-1
H,1
AI,1
M,-1
AA,2
J,3
J,-1
N,1
AP,1
AB,-1
J,1
Q,-1
AI,-1
AJ,1
S,-1
AC,-1
H,-1
N,-1
AJ,-1
AC,-1
J,-3
AA,-1
L,1
AC,2
L,-1
J,1
U,-1
AI,1
AB,1
P,2
AI,-2
W,1
AG,-1
AD,1
W,1
W,-3
AI,3
AI,-1
J,-1
AI,-2
AI,3
J,1
AD,-1
AH,-2
AH,1
AH,1
AJ,1
H,1
H,-1
AE,-1
AA,-2
H,1
AH,-2
AA,1
P,-1
U,1
AF,1
AB,-1
AC,-3
O,1
J,-1
L,1
P,1
AC,1
N,1
H,-1
F,1
K,1
P,-2
E,1
AM,-1
AK,-1
AJ,-1
AC,1
H,-1
AQ,-1
AA,1
H,1
E,-1
P,1
AA,-2
AM,1
AQ,1
AP,-1
F,-1
AA,-1
N,-1
AA,2
AG,1
AA,1
AC,-1
AA,-2
N,1
AK,1
AK,-1
AC,-1
AM,-1
G,1
AM,1
D,1
A,-3
P,1
AP,1
B,-1
AA,1
B,1
AH,1
P,-1
AP,-1
B,-3
P,-1
I,-1
AE,-1
K,-1
AG,-1
AH,1
P,1
AI,-3
AA,-1
AQ,-1
I,1
AK,1
AQ,-1
A,-3
AQ,1
H,1
AI,3
G,-1
AE,1
AQ,-1
AD,1
AD,-1
N,-1
D,-1
AO,1
K,1
A,1
AA,-2
I,-1
P,-1
AK,-1
M,1
P,1
B,1
AA,3
B,-1
D,1
AD,1
AH,-1
H,1
AA,-2
AO,-1
AB,1
AK,1
B,-1
AA,-1
AQ,2
AA,3
AM,-1
AM,1
AG,1
K,-1
AM,-1
AK,-1
J,-1
AD,-1
J,1
AD,1
AD,-1
AK,1
AB,-1
AG,-1
AE,-1
H,-2
B,1
M,-1
AO,1
AC,3
AC,-1
I,1
H,1
K,1
AC,-1
AA,-1
M,1
AC,1
AE,1
A,-1
AC,1
J,-1
AA,-2
AH,-1
AQ,-1
A,1
J,1
AB,1
P,-1
B,3
D,-1
AA,-2
D,1
AA,1
B,-1
AO,1
AM,1
A,-1
P,2
B,1
AL,1
AO,-1
AA,5
M,-1
P,-1
AA,-5
AH,1
AA,-1
AQ,1
AL,-1
AA,5
B,-2
D,-1
AA,-1
B,-1
D,1
B,1
AH,1
J,-1
AI,-2
AI,-1
B,-1
AB,-1
M,1
AC,-3
AB,1
AQ,-1
AA,-1
H,-1
AA,2
AQ,1
I,-1
AO,-1
K,-1
AG,1
P,-1
J,1
A,1
J,-1
L,-1
AE,-1
AP,1
AE,1
P,2
D,-1
AI,3
AD,1
H,-1
AD,-1
J,1
P,-2
H,2
AI,-3
AP,-1
H,-2
AI,2
I,1
I,-1
B,1
P,1
I,1
AI,1
M,-1
AK,-1
P,-1
P,2
A,-1
H,2
AH,-1
AP,1
AJ,1
AK,1
L,1
H,-2
AA,-1
H,2
B,-1
AK,-1
N,1
AH,1
G,1
H,-2
AJ,-1
AI,-3
I,-1
