car,move
AG,1
P,2
P,-2
H,1
G,-1
H,-1
J,1
AF,-1
P,2
AA,-1
AG,-2
AG,1
AQ,-1
N,-1
M,1
AA,-1
P,-1
AF,1
AA,2
AH,1
P,-1
AQ,1
H,1
AL,-1
AQ,-1
AH,1
M,-1
AI,-3
AJ,-1
AI,2
AP,-1
J,1
U,-1
AA,-1
J,-1
J,2
AO,2
AO,-2
J,-3
U,1
M,1
AE,-1
AQ,1
M,-1
M,1
AQ,-1
AF,-1
J,1
P,1
P,-1
AI,-2
AO,2
AE,2
AE,-2
AG,-2
AB,-1
AC,-3
AI,1
J,1
AC,1
H,-1
AI,-1
AQ,-1
AQ,1
AC,2
M,-1
J,-2
J,3
AP,-2
AJ,1
AI,3
U,-1
AO,-2
U,1
L,1
P,1
M,1
AI,-2
AI,-1
AJ,-1
AA,1
AO,2
AG,1
AO,-2
AI,3
AP,2
AC,-1
AI,-1
P,-1
AC,1
AB,1
AO,1
K,1
AA,-1
AO,-1
H,1
P,1
AO,1
AB,-1
AI,1
AI,-1
AI,-1
AA,-4
AA,3
AE,1
AC,-3
AA,-2
AI,-1
AO,1
AC,2
AC,1
AC,-1
AI,1
AC,1
AI,2
AH,-2
M,-1
M,1
AC,-3
AP,-1
AH,1
AA,3
AH,1
AA,-3
AO,-2
AQ,1
AP,-1
AE,-1
AQ,-1
P,-1
AE,1
AI,-3
AQ,1
AE,-1
AO,1
AP,1
AK,-1
AC,1
AP,1
AG,1
M,-1
AG,-1
AI,3
M,1
AP,-1
AC,-1
AQ,-2
AP,1
AO,1
AQ,1
AB,2
AH,-1
AL,1
AQ,-1
AB,-2
P,1
AG,1
AA,2
AF,1
AE,1
AD,1
AO,-2
AF,-1
AE,1
AK,1
W,1
AQ,1
AC,2
AA,-2
AA,4
M,-1
AC,1
M,1
AL,-1
AA,-4
AL,1
AO,1
M,-1
AL,-1
W,-1
M,1
AC,-2
AM,-1
W,1
AQ,1
AA,4
AQ,-2
AA,-4
AA,2
AD,-1
AH,-1
AO,1
AA,-3
AA,2
AA,3
AA,-5
AM,1
K,-1
AO,-2
P,-1
M,-1
AP,1
M,1
W,-1
AP,-1
AQ,2
AC,-1
M,-1
L,-1
J,-3
AL,1
AE,-1
AH,1
AB,1
AE,-1
J,1
AG,-1
P,2
P,-1
AG,2
AP,1
AE,3
N,1
AH,-1
J,-1
J,1
J,-1
AK,-1
N,-1
P,-1
M,1
W,1
AR,-1
AB,-1
AL,-1
AM,-1
AP,-1
AM,1
J,2
AM,-1
M,-1
N,1
AH,1
S,1
AR,1
AC,1
AP,1
AJ,1
J,1
AM,1
AJ,-1
AH,1
J,-2
S,-1
S,1
F,1
AH,-1
AR,-1
AL,1
P,1
AD,1
AP,-1
J,2
Q,1
J,-2
J,1
AO,1
AO,-1
AE,-1
AG,-1
AO,1
AL,-1
J,-1
J,2
AH,1
E,1
AQ,-1
Q,-1
Q,-1
AO,-1
AI,-2
AI,1
AI,1
AC,1
AI,-1
AI,-2
P,-1
W,2
AP,1
Y,-1
Q,2
Q,-1
P,1
J,-3
U,1
AQ,1
Q,-1
AJ,1
AG,1
AC,-1
P,-1
AD,-1
AD,1
P,1
AE,-1
P,-1
N,1
J,1
N,-1
S,-1
AG,-2
U,-1
AJ,-1
Y,1
AJ,1
AQ,-1
J,1
AQ,1
AD,-1
AG,2
AG,-1
J,-1
AC,1
AG,-1
AG,2
AE,2
W,-2
AI,1
Q,1
AC,-1
AI,-1
P,1
P,1
AC,-1
AC,1
P,-2
C,1
AE,-1
W,2
J,-1
Y,-1
AC,-1
AB,1
AG,-1
AD,1
AQ,-2
P,1
J,3
AD,-1
AD,1
S,1
J,-3
J,1
U,1
W,-1
J,-1
Q,1
L,1
C,1
AB,-1
P,-1
AR,1
C,-1
K,1
AA,1
AJ,-1
Q,-1
Q,1
AP,-1
W,1
C,1
U,-1
P,1
AO,2
AB,1
AE,-1
AR,-1
