car,move
AJ,-1
AA,-1
H,1
AP,-1
G,-1
O,1
N,-1
L,1
K,1
P,2
O,-1
AA,-4
AA,2
H,-1
AA,1
H,1
AH,1
AF,-1
AF,1
AL,-1
AM,-1
AB,-1
AG,1
AC,-2
K,-1
P,-1
O,1
AO,1
AC,1
AA,1
O,-1
AK,-1
AE,-1
AO,-1
M,1
AA,1
AG,-1
AM,1
AH,1
AR,-1
AH,-1
M,-1
AG,1
AA,-1
P,1
AG,-1
AF,-1
P,-2
U,-1
AC,-1
AM,-1
L,-1
AQ,-1
AA,1
AE,2
AA,-1
W,1
AP,1
AC,1
AM,1
AA,1
J,1
J,1
AP,-1
W,-1
AO,2
AO,-1
W,1
S,1
AA,-1
P,1
J,1
Q,1
L,1
AC,-1
AH,-1
AH,2
AA,1
H,-1
P,-1
AQ,1
AI,-3
AI,3
AO,-1
AA,-1
Q,-1
AD,1
AC,1
AI,-1
AO,1
AI,1
AD,-1
AI,-1
L,-1
P,1
AR,1
J,-2
P,-1
AI,1
AH,-1
AC,-2
J,1
AC,2
AM,-1
J,-2
AO,-1
AP,1
J,1
AQ,-1
AP,-1
AQ,1
AO,1
J,-1
AO,-1
J,3
H,1
AA,1
AP,1
AP,-1
J,-3
J,1
AO,1
AQ,-1
J,-1
J,1
J,2
AH,-1
AH,1
U,1
L,1
M,1
S,-1
H,-1
AO,1
AO,-1
AC,-1
AO,-1
AM,1
S,1
M,-1
Q,1
AD,1
AP,1
M,1
AP,-1
AO,1
P,1
AQ,1
L,-1
H,1
AA,-2
L,1
M,-1
AR,-1
AD,-1
AA,2
AO,-1
AH,-1
AH,1
Q,-1
AR,1
AK,1
AG,1
P,-1
S,-1
N,1
K,1
AH,-1
AC,1
F,1
AL,1
E,1
AO,1
AH,1
AE,1
C,1
AH,-1
AA,-1
AA,1
AA,-1
AH,1
S,1
AC,-2
AE,-1
AD,1
AG,-1
AC,1
S,-1
AC,2
AG,1
AA,2
AA,-2
C,-1
E,-1
S,1
AE,1
Q,1
K,-1
