car,move
J,3
J,-3
P,1
AJ,-1
P,1
AG,1
AP,-1
G,-1
O,1
P,-1
J,3
H,-2
H,1
N,-1
AL,-1
AA,-2
AG,-1
U,-1
U,1
AL,1
AA,1
L,1
U,-1
AA,-1
AL,-1
H,1
AP,1
AM,-1
AP,-1
AO,1
AO,-1
AP,1
H,-1
AB,-1
AC,-1
U,1
L,-1
AG,1
J,-2
AM,1
AH,1
N,1
AL,1
H,-1
AC,-2
AC,2
AL,-1
AE,-1
J,-1
J,2
AA,2
J,1
AH,1
J,-2
H,1
AI,-1
AA,-2
G,1
AG,-1
J,1
AE,1
AD,1
AC,-2
J,1
AA,1
AG,1
G,-1
AI,1
L,1
AC,2
G,1
L,-1
AA,1
AJ,1
L,1
AI,-1
AA,1
AC,1
AC,-1
K,1
AA,-2
AC,1
AD,-1
AE,-1
AI,-1
AB,1
H,1
K,-1
G,-1
AI,-1
AA,1
AI,1
O,-1
L,-1
G,1
AI,1
AA,1
AI,1
L,1
AE,1
AE,-1
O,1
AA,-1
D,1
A,-2
AA,2
B,-1
AA,-4
AI,-3
AA,2
K,1
A,1
AE,1
AA,1
AA,-2
AA,-2
AA,3
AA,-3
A,-3
AA,2
AI,2
AJ,-1
AA,-1
AA,1
A,1
AE,-1
AA,2
AB,-1
K,-1
AP,-1
H,1
H,-1
P,-1
B,1
AI,-1
A,3
AC,-2
AC,1
AA,-1
AA,-1
A,-2
K,1
AA,1
B,-1
B,1
AI,-1
A,-2
AA,-1
A,2
A,2
AG,-1
AO,1
A,-5
A,3
A,1
A,-4
AK,-1
A,5
A,-6
B,-4
AI,2
B,3
AC,-1
AG,1
AO,-1
AE,1
AE,-1
B,-4
B,2
AE,1
AO,1
A,3
A,-3
AG,-1
P,1
AI,-1
AI,2
AD,1
AA,-1
AC,-1
AO,-1
AK,1
G,-1
AI,-2
AP,1
AQ,-1
B,-1
A,1
AI,-1
AI,1
AD,-1
AK,-1
AQ,1
AA,-1
B,2
A,-1
B,2
H,1
B,-4
AD,1
N,-1
AA,1
AA,-3
AI,1
U,-1
AJ,1
AJ,-1
AD,-1
AD,1
AQ,-2
AA,2
B,2
AD,-1
U,1
AA,-2
D,-1
AK,1
AP,-1
AI,-1
AE,-1
O,-1
A,1
AI,1
M,1
AO,1
I,-1
AA,2
AA,-3
AO,1
P,-1
AK,-1
P,1
P,-1
AO,-2
K,-1
AI,1
O,1
P,1
AI,-1
D,1
AC,1
AC,-1
AI,1
AE,1
AR,-1
M,-1
L,-1
AQ,1
AD,1
AH,-1
L,1
N,1
AH,1
AI,-3
AQ,-1
AI,2
H,2
D,-1
A,-1
AQ,1
F,5
AI,1
O,-1
AI,-3
AD,-1
AD,1
AQ,1
AC,2
G,1
AO,1
AC,-2
AF,-1
AC,2
AO,-1
E,2
G,-1
E,-1
AI,3
A,1
AA,1
AR,1
P,-1
E,1
R,-2
AI,-2
X,-1
AA,-1
AG,1
G,1
AG,-2
AI,-1
G,-1
N,-1
AK,1
R,-1
AC,-2
W,-1
AG,1
Q,-1
AP,1
AG,-1
R,2
AP,-2
AA,1
AQ,-1
AA,-1
AI,2
R,-2
AA,1
R,2
AI,-2
B,-1
AP,1
P,1
K,1
AC,2
Y,-1
AO,1
X,-1
AK,-1
AI,1
AP,-1
AO,1
AD,-1
AC,-2
AO,-2
AI,-1
AC,2
AO,1
AI,2
N,1
R,-2
N,-1
AC,-1
R,1
X,1
AC,-1
U,-1
AC,2
AA,3
M,-1
U,2
K,-1
AQ,1
B,1
T,-1
AC,-1
T,1
AP,1
AI,1
AG,1
AG,-1
R,-1
AE,-1
AA,2
AC,1
K,1
K,-1
AI,-2
AI,-1
M,2
AI,1
AG,2
AE,1
M,-2
R,1
AK,1
AF,1
AG,-1
L,-1
AI,1
T,-1
AO,-1
AA,-1
AD,1
L,1
A,-1
B,-1
AG,1
B,1
A,1
T,-1
O,1
T,1
X,-1
B,-1
T,1
P,-1
B,1
M,1
R,-1
U,-1
AA,1
U,-1
P,1
R,1
AA,-1
AC,1
F,-2
Y,1
R,1
L,-1
F,2
Y,-1
AC,-1
AI,-2
L,1
K,1
R,-2
AA,-5
U,1
K,-1
R,2
F,-2
AC,-1
R,-2
H,-2
P,-1
AI,1
U,-1
AC,2
H,1
X,1
U,2
N,1
N,1
AI,-1
AO,1
F,1
R,1
AI,3
AD,-1
H,1
G,2
AC,-1
A,-1
AC,-1
AG,-1
AD,1
K,1
AO,-1
AK,-1
AC,-1
A,2
AD,-1
AR,-1
AC,1
AP,1
AR,1
AJ,1
AI,-3
AD,1
H,-1
AC,1
AQ,-1
D,1
R,-1
M,-1
AK,1
A,1
AC,1
AD,-1
A,-2
AC,-2
AI,2
AC,2
AC,-1
AE,-1
U,3
G,-1
H,1
U,-1
U,1
A,1
H,-1
K,-1
N,3
N,-3
N,2
R,1
G,3
N,1
AI,-2
AC,-2
N,-1
AE,1
AC,2
T,-2
AI,1
D,-1
L,-1
O,-1
T,2
AI,1
AD,1
J,-3
AJ,-1
J,-1
L,1
AC,-2
Q,1
AI,-2
AQ,-1
A,-2
G,-3
M,1
O,1
D,1
AD,-1
P,2
M,-1
P,-1
AK,-1
C,1
AD,1
AB,1
C,-1
G,-1
AB,-1
N,-3
AJ,1
K,1
C,1
N,2
AC,1
AQ,1
AK,1
G,1
G,2
T,-1
AI,1
A,-1
AI,-1
A,4
K,-1
H,1
AC,2
A,-1
L,-1
AC,-3
C,-1
A,-1
Y,1
A,2
AK,-1
AQ,-1
AR,-1
AI,1
T,1
A,-2
L,1
T,-2
F,1
L,-1
Q,-1
AI,1
F,-1
E,1
AD,-1
A,1
H,-1
J,3
H,1
J,1
A,1
A,-1
Y,-1
D,-1
E,1
AD,1
P,-1
N,1
AQ,2
AD,-1
AQ,-2
A,-2
AE,-1
Q,1
AC,1
U,-1
N,-1
J,-1
N,1
A,2
R,-1
G,1
AQ,2
AQ,-2
E,-1
T,2
T,-2
AJ,-1
AI,-2
T,2
J,1
M,1
E,1
AC,-1
E,-2
F,-2
P,1
AA,1
J,-1
AB,1
Q,-1
G,-1
J,1
H,-2
AQ,2
AP,-1
AR,1
AG,1
L,1
R,2
AI,2
AO,1
AR,-1
B,-1
L,-1
A,-2
J,-2
R,-1
Q,1
J,2
J,-4
AR,1
I,1
AG,-1
AB,-1
J,3
U,1
N,1
J,-2
B,1
N,-1
AQ,-2
L,1
A,1
I,-1
J,-1
R,1
P,1
A,-1
H,2
N,-1
AB,1
K,1
H,-1
AA,-1
P,-1
A,1
F,2
N,2
AI,-2
N,-2
P,1
J,1
Q,-1
AK,1
AI,1
AI,1
AK,-1
R,-1
U,-1
E,2
E,-2
G,-1
Y,1
N,-1
Q,1
G,-1
R,-1
D,1
W,1
AB,-1
K,-1
N,1
A,2
L,-1
AI,-2
A,-2
AR,-1
N,-2
N,2
N,-1
N,1
C,1
M,-1
P,-2
P,2
J,1
AR,1
AK,1
N,-2
P,-1
AI,1
T,-1
P,-1
W,-1
AO,-1
AB,1
G,-1
AQ,1
AO,2
AO,-1
AO,1
J,1
J,1
N,-1
P,1
J,-3
AO,-2
AI,-1
AK,-1
W,1
P,1
P,-1
D,-1
R,1
J,1
AO,1
P,1
W,-1
N,1
AQ,-1
P,-2
N,2
AO,-1
J,2
O,-1
R,-1
AQ,2
AI,2
T,-1
W,1
AF,-1
N,-3
AB,-1
X,3
J,-1
AF,1
AK,1
J,-3
U,1
H,1
H,-1
N,1
AI,-1
AG,1
L,1
W,-1
P,1
AB,1
X,6
