car,move
AQ,-1
J,2
AH,1
AD,1
AA,-1
AB,-1
AJ,-1
AC,-2
J,1
J,-3
AD,-1
P,1
AF,-1
AC,-1
AP,-1
G,-1
G,1
AL,-1
J,2
AD,1
AM,-1
G,-1
AC,2
H,1
AK,-1
J,-2
F,1
AM,1
AK,1
AG,-1
AL,1
AC,-1
AD,-1
J,3
AD,1
AA,1
AP,-1
AP,1
AA,-1
AP,-1
AA,1
J,-2
AL,-1
AA,-2
AC,2
AA,2
AP,-1
AP,2
AC,-1
AO,2
AO,-2
AA,-1
H,-1
P,-1
AC,-1
J,2
AQ,-1
J,-2
AQ,2
E,1
AP,1
AJ,1
AA,1
AM,-1
E,-1
AG,1
J,1
J,-1
F,-1
AM,1
H,1
AJ,-1
AA,-1
AP,-1
J,1
G,1
AK,-1
AA,1
G,-1
J,1
AC,1
AQ,-1
AA,-1
J,-2
F,1
AR,-1
AR,1
P,1
AO,1
AO,1
AF,1
P,1
AD,-1
AE,-1
F,-1
J,-1
N,-1
AC,-1
M,1
AL,1
J,1
AE,1
AQ,-1
AF,-1
AR,-1
AE,-1
AO,-1
AA,1
AL,-1
AO,1
AA,-1
AE,2
AL,1
P,-2
AE,-1
AO,-2
AD,1
AP,1
M,-1
AF,1
AR,1
AA,1
AK,1
AK,-1
P,1
U,-1
AK,1
J,-1
J,2
J,1
P,-1
O,1
P,1
H,-2
AA,-1
AC,-1
H,1
AK,-1
P,-1
AP,-1
AO,1
AO,1
AC,1
J,-3
L,1
O,-1
AR,-1
L,-1
AO,-1
J,1
AO,-1
J,-1
O,1
H,1
AR,1
H,-2
H,2
H,-1
J,2
AD,-1
AH,-1
AC,-1
H,-1
P,1
AQ,1
AL,-1
J,-1
AL,1
AO,1
AR,-1
AH,1
P,-1
H,2
AC,2
P,2
P,-2
AR,1
J,1
J,-2
AE,-1
AC,-2
U,1
J,2
P,1
M,1
AQ,-1
J,-1
D,1
AO,-1
D,-1
AO,2
AK,1
P,1
AC,1
M,-1
AA,-1
AO,-2
AE,1
H,-2
M,1
AQ,2
AE,-1
AO,1
AA,2
P,-1
AA,-2
P,1
