car,move
G,-1
J,2
F,1
E,1
AG,1
AJ,-1
AJ,1
E,-1
J,-1
J,1
F,-1
O,1
H,1
J,1
AJ,-1
AJ,1
J,-3
J,1
J,-1
J,3
J,-3
AA,3
D,1
N,-1
AA,-2
A,-1
AJ,-1
P,1
N,1
J,3
AA,-2
F,1
J,-2
H,-1
AB,-1
J,1
AA,-1
J,-1
J,-1
AA,1
F,-1
G,1
AA,1
A,-1
H,1
AB,1
AG,-1
A,-3
AA,-2
AA,1
L,1
G,-1
K,1
AP,-1
AA,-5
AB,-1
AH,1
F,1
AB,1
B,-2
AA,5
AA,-2
AA,-3
AP,1
J,-1
E,1
E,-1
I,-1
AE,-1
AA,4
AA,-4
H,-1
P,-1
E,1
AJ,1
AL,-1
H,3
AE,1
AM,-1
AH,-1
A,-1
H,-2
P,2
I,1
AA,4
B,-2
C,1
B,3
P,-1
D,-1
AH,1
F,1
AH,-1
AA,-4
AA,4
F,-1
H,-2
P,1
B,-2
AQ,-1
K,-1
AQ,1
A,1
AB,-1
AJ,-1
H,1
F,1
P,-1
AC,-3
AB,1
K,1
AJ,1
B,1
AJ,-1
F,-1
O,-1
B,1
AQ,-1
AM,1
B,-2
AH,2
AD,1
H,1
AI,-2
AA,-2
J,1
J,-1
B,1
P,-1
AQ,-1
J,1
J,-1
J,1
AI,1
P,1
AI,1
J,-1
AD,-1
J,1
AA,1
AA,1
AA,-3
AH,-2
AA,2
AM,-1
AP,-1
AA,1
AA,-1
H,-1
AK,-1
AQ,2
AB,-1
AA,2
AQ,-2
P,1
P,-1
P,1
AM,1
AA,-2
I,-1
A,-1
AL,1
AH,1
B,-1
J,-1
AC,1
AO,1
I,1
AD,1
AA,3
I,-1
H,1
AF,-1
I,1
AR,-1
A,1
P,-1
A,-1
AA,-5
A,-1
AF,1
AF,-1
AD,-1
P,-1
AO,1
J,1
AE,-1
B,2
AA,1
AO,-1
A,2
AR,1
B,1
AK,1
B,-3
AC,-1
A,-1
AB,1
AG,-1
B,2
P,1
P,-1
P,2
A,1
J,-1
AE,1
AA,-1
AL,-1
AG,1
AG,-1
AM,-1
J,1
AB,-1
P,-2
C,-1
J,-1
AA,1
J,1
AG,1
AF,1
AQ,2
AB,1
A,-1
E,-1
O,1
AH,-1
D,1
J,-1
AH,1
AQ,-2
AK,-1
AH,-1
AA,-1
P,2
AH,1
AQ,1
E,1
J,1
AQ,-1
AA,-1
AA,2
E,-1
F,-1
AQ,2
AB,-1
AC,2
AA,1
B,-1
I,-1
AO,-1
AA,-1
AR,-1
D,-1
AD,1
AD,-1
F,1
H,1
J,-1
AA,-1
B,-1
AR,1
AK,1
P,-1
AO,1
AO,-1
AD,1
A,1
AA,1
AD,-1
AG,1
AE,-1
F,-1
AC,-1
AE,1
AA,1
AA,-2
N,-1
P,1
AH,-1
J,1
N,1
AA,5
AA,-1
AC,2
AA,1
AM,1
F,4
A,-1
AO,1
AA,-2
B,1
O,-1
E,2
AA,1
AO,-1
G,1
A,2
AG,-1
Q,-1
P,-2
AQ,-1
AH,1
O,1
AP,1
B,-1
E,-1
AH,1
AQ,1
O,-1
K,-1
AB,1
L,-1
P,2
Q,1
P,-2
AF,-1
AD,1
AD,-1
AN,-1
A,-2
A,2
P,1
A,-1
A,1
J,3
AN,1
AA,1
AJ,1
AI,-3
AG,-1
C,1
AI,2
P,-1
J,-2
B,1
AG,2
AA,2
B,-1
C,-1
AI,-2
P,2
AE,-1
AI,2
B,1
A,-2
C,1
AI,-1
AA,-2
G,-1
AG,-3
AQ,-1
AI,2
A,1
A,-2
P,-2
P,1
AA,-1
AJ,-1
E,2
J,-2
AB,2
AS,-2
P,1
AC,-1
B,-1
AK,-1
AK,1
A,1
B,1
J,1
AK,-3
R,-1
B,-1
R,-1
AR,-3
X,-1
P,-2
X,1
X,-1
AQ,1
AI,-2
AI,1
P,1
X,1
AI,-1
J,2
AR,3
R,1
J,-2
AR,-1
R,-1
AI,2
AG,1
L,1
AI,-1
E,-1
E,1
AQ,-1
AS,1
L,-1
AG,-1
J,-1
C,-1
AQ,1
AR,-2
R,2
A,1
B,1
AG,1
AR,2
AQ,-1
L,1
R,-3
AS,-1
E,-1
J,1
R,2
AK,1
AC,-1
AA,-1
AQ,-2
AI,-1
AK,1
P,1
E,1
L,-1
X,-1
R,-1
AQ,-1
AI,-1
AE,1
AE,-1
AQ,2
W,-1
AS,-1
AE,1
AQ,-1
J,-1
AI,1
AI,1
R,-1
AK,-2
AK,1
B,-1
R,1
M,-1
AD,1
AC,-1
V,1
T,-1
P,-1
AS,1
AQ,1
B,1
C,1
A,-1
C,-1
AQ,1
AC,2
AC,-2
AK,-1
T,1
A,1
AK,-3
AA,1
AD,-1
Q,-1
P,1
P,-1
AK,1
B,-1
X,-1
AR,-3
AR,3
P,-1
AC,2
J,1
AR,1
B,1
T,-1
AS,1
AK,2
AC,1
T,1
P,2
R,-1
AC,-2
R,1
AA,-1
AQ,-1
J,-1
AR,-3
L,1
E,-1
T,-1
AS,-1
AR,2
AS,-1
AC,-1
AB,-3
AR,-2
AQ,2
V,-1
AE,-1
K,1
AI,-1
A,-1
AB,1
P,-1
AQ,-2
Y,-1
E,1
AI,-1
AQ,-2
AJ,2
AG,2
AJ,1
U,1
AA,-1
AE,3
A,1
AA,1
X,1
H,1
Q,1
R,-1
AI,3
H,-1
AJ,-3
AE,-1
AJ,3
Q,-1
AE,1
X,-1
K,-1
K,1
AJ,-3
AK,-1
N,1
AJ,1
AB,-1
AR,3
AD,1
AK,2
H,1
F,1
N,-1
AA,-3
AR,-1
AC,1
AJ,-1
B,-1
N,1
R,1
R,-1
AI,-1
AA,2
R,1
AD,2
A,-1
T,1
AI,-2
T,-2
AK,1
T,1
AR,1
E,-1
B,1
A,1
AA,-2
AJ,1
AR,-1
N,-2
U,-2
AD,-3
AA,1
Y,1
AE,-2
W,1
AJ,-1
AN,-1
AA,1
AK,-1
AI,2
AK,-1
W,-1
AI,-1
AJ,1
AK,-1
AJ,1
AA,1
AA,-3
AR,-3
W,1
W,-1
AA,2
T,1
U,1
AR,3
V,1
M,1
AR,-1
AR,2
AG,1
U,-1
V,-1
F,-1
AO,-1
AO,1
F,1
B,-1
W,1
R,1
AI,2
AR,-1
AG,-1
AE,-1
R,-1
AK,3
AJ,-2
X,2
AG,-1
B,1
AI,-1
AJ,1
AK,-1
R,2
A,-1
AI,1
AN,1
AA,-3
AA,2
AR,1
AI,-3
AG,-1
AJ,1
AJ,-1
AG,-1
AA,-2
AQ,1
AQ,-1
AK,2
