car,move
J,1
AA,-1
J,1
AB,-1
O,1
J,-1
J,1
J,-1
D,1
AC,-2
H,1
AC,-1
P,1
J,2
G,-1
AK,-1
J,-2
J,2
AQ,-1
N,-1
N,1
N,-1
AQ,-1
H,-1
J,-2
AA,-1
AR,-1
N,1
F,1
F,-1
J,-1
J,3
J,-1
D,-1
AJ,-1
AB,1
J,1
D,1
AB,-1
J,-2
AA,1
AJ,1
AL,-1
AB,1
AB,-1
P,1
N,-1
P,-1
P,-1
AM,-1
J,1
A,-1
N,1
J,-2
AH,1
AJ,-1
AE,-1
AC,1
AA,1
AQ,1
B,-1
J,1
AA,-1
G,1
G,-1
AA,1
G,1
A,-2
A,-2
AQ,1
AP,-1
A,1
B,-2
AO,1
H,1
B,3
A,4
A,-1
J,2
A,-5
AG,1
L,1
H,-1
B,-1
G,-1
N,-1
A,1
D,-1
B,-2
O,-1
I,-1
B,1
AO,-1
AE,1
L,-1
AF,-1
AE,-1
AA,-1
AF,1
AC,-1
J,-1
J,-1
AM,1
J,-2
N,1
L,1
H,3
H,-3
AC,1
AP,1
AG,-1
AC,1
J,1
AC,-1
AH,1
AP,-1
AE,1
AE,-1
AI,-3
B,-1
AQ,-2
AO,2
H,2
N,-1
H,-1
AI,3
AI,-2
N,1
AI,2
AI,-2
AO,-2
AO,3
G,1
AA,1
AO,-1
O,1
K,1
D,1
H,1
AR,1
AK,1
J,-1
AE,1
AO,-2
H,-1
I,1
I,-1
B,-2
AI,2
B,3
B,-1
AI,-2
H,1
G,-1
H,1
AK,-1
G,1
B,-2
P,1
K,-1
B,1
AI,2
P,1
AQ,2
AI,-3
B,2
K,1
A,1
AQ,-1
AI,3
AI,-3
A,1
P,-2
AR,-1
AQ,-1
AO,1
A,-1
A,1
H,-1
AE,-1
AO,-1
A,-2
AO,1
AA,-1
B,-1
AI,2
AQ,2
D,-1
AI,-2
P,2
H,-2
I,1
H,-1
AA,1
AI,2
J,1
AA,-3
A,-1
AC,1
B,1
H,2
B,-1
AR,1
AI,1
AA,1
AI,-3
B,3
A,2
H,-1
AO,-1
H,-1
AA,2
AA,-1
B,-1
AI,2
AI,1
J,-1
AA,-1
H,1
A,-1
P,-1
AP,1
AE,1
AI,-2
AA,-1
O,-1
AK,1
AD,1
AD,-1
P,1
AA,2
B,-2
AP,-1
J,1
AC,1
I,-1
AI,1
AI,-2
AI,2
AF,-1
B,1
I,1
AD,1
AB,1
P,-2
B,1
AI,1
G,-1
B,1
AF,1
AI,-3
AG,1
AF,-1
AI,2
AI,1
A,-1
P,1
AP,1
B,-2
P,-1
AA,1
B,2
AE,1
AP,-1
F,1
