car,move
AQ,-1
AA,-1
J,3
J,-2
AF,-1
AE,1
P,1
J,-1
J,2
W,1
S,1
AB,-1
AH,1
AH,-1
J,-2
AB,1
S,-1
AB,-1
AC,-2
AL,-1
S,1
G,-1
AL,1
Q,1
AQ,-1
AA,1
AL,-1
N,-1
J,2
P,-1
J,-1
N,1
F,1
F,-1
H,1
AQ,1
AM,-1
J,1
AQ,-1
AM,1
J,-2
L,1
AA,-1
G,1
AM,-1
H,-1
AQ,2
Q,-1
AA,1
AC,1
G,-1
F,1
Q,1
AQ,-1
P,1
AQ,1
P,-1
AQ,-1
L,-1
AM,1
F,-1
J,3
AC,-1
AJ,-1
J,-2
F,1
J,1
AH,2
F,-1
AJ,1
AH,-1
AK,-1
N,-1
J,1
AC,1
AH,-1
N,1
G,1
AA,-1
J,-3
Q,-1
AQ,1
AQ,-1
AR,-1
AL,1
J,2
AC,-2
AQ,-1
G,-1
N,-1
J,-1
AQ,2
AL,-1
AJ,-1
S,-1
J,-1
P,1
W,-1
AG,1
AE,1
AC,2
AA,1
AC,-1
J,1
P,-1
M,1
AE,-2
M,-1
U,-1
AJ,1
H,1
J,1
AH,1
AN,-1
AN,1
U,1
AF,1
AM,-1
N,1
AJ,-1
H,-1
O,1
G,1
AA,-1
AA,1
AA,-1
AD,1
AM,1
G,-1
J,-2
AC,1
AC,-2
J,3
O,-1
J,-3
AC,2
AR,1
AA,2
N,-1
L,1
AC,-1
AA,-1
K,1
H,1
AJ,1
AJ,-1
H,-1
AC,1
AH,1
AF,-1
AD,-1
AH,-2
M,1
P,2
M,-1
M,1
P,-2
K,-1
AP,-1
M,-1
M,1
AO,1
AF,1
AH,1
H,1
K,1
AA,1
P,2
AA,-6
AK,1
P,-2
O,1
AG,-1
AC,-1
AC,2
AL,1
K,-1
AG,1
AC,-1
AL,-1
P,2
AK,-1
K,1
AO,-1
AC,-1
AH,1
P,-1
AC,-1
AR,-1
AD,1
AP,1
AA,1
AI,-2
P,1
AJ,1
AR,1
P,-2
AR,-1
AR,1
M,-1
AR,-1
AG,-1
AJ,-1
O,-1
AP,-1
N,1
AI,1
O,1
AG,1
AB,1
AI,-2
AA,-1
G,1
P,1
AB,-1
D,1
A,-5
A,5
AI,1
A,-4
AA,2
B,-3
AC,1
AC,1
AD,-1
A,-1
AA,2
B,-1
A,-1
B,3
G,-1
P,-1
AG,-1
P,2
AI,-1
A,1
AI,1
H,-1
AP,1
F,1
AC,-2
H,1
AI,2
P,-1
AQ,-2
AC,1
AQ,1
AA,-4
E,1
AP,-1
AI,-1
AA,3
AO,2
AI,1
AI,-1
AI,-2
P,1
AE,-1
AC,-1
H,-1
C,1
H,1
C,-1
AI,2
AA,-4
AB,1
AQ,-1
AI,-2
AA,2
AQ,1
E,-1
AA,1
AR,1
B,1
B,-1
AE,1
B,1
AB,-1
D,-1
O,-1
AD,1
AO,-2
AQ,-1
AB,1
H,-1
AO,2
B,-1
AI,3
AF,-1
AI,-1
E,1
J,-1
A,-1
AI,-1
AN,-1
AN,1
P,-1
AN,-1
E,-1
AR,-1
AI,2
AM,2
AM,-1
J,1
